YR	TSI[W/m2]	CO2[ppm]	VOLC[AOD]
1421	1360.647237	280.2720032	0.001109083
1422	1360.612467	280.2659912	0.00110408
1423	1360.586823	280.2630005	0.0011024
1424	1360.557872	280.2739868	0.001101835
1425	1360.530111	280.2999878	0.001101646
1426	1360.501912	280.3039856	0.001101582
1427	1360.473887	280.3240051	0.001101561
1428	1360.450368	280.3340149	0.001101554
1429	1360.444885	280.3760071	0.001101551
1430	1360.446879	280.4100037	0.001101551
1431	1360.446167	280.4219971	0.00110155
1432	1360.446421	280.427002	0.00110155
1433	1360.44632	280.4249878	0.00110155
1434	1360.446391	280.4339905	0.00110155
1435	1360.446279	280.4379883	0.00110155
1436	1360.446045	280.428009	0.00110155
1437	1360.445791	280.4649963	0.00110155
1438	1360.445536	280.4869995	0.00110155
1439	1360.445272	280.5180054	0.00110155
1440	1360.445028	280.5509949	0.00110155
1441	1360.444763	280.57901	0.003429548
1442	1360.444509	280.6300049	0.002864546
1443	1360.444336	280.6719971	0.00190866
1444	1360.444336	280.7160034	0.001383325
1445	1360.444336	280.7539978	0.001196577
1446	1360.444336	280.7900085	0.001133512
1447	1360.444336	280.82901	0.001112291
1448	1360.444336	280.868988	0.002828413
1449	1360.444336	280.9110107	0.002634554
1450	1360.444336	280.9509888	0.001775254
1451	1360.444336	280.9899902	0.001331815
1452	1360.444336	281.0239868	0.001178753
1453	1360.444336	281.0580139	0.047488
1454	1360.444336	281.0880127	0.01875237
1455	1360.444336	281.1019897	0.006119636
1456	1360.444356	281.1090088	0.003161728
1457	1360.445984	281.1149902	0.002021278
1458	1360.452871	281.1019897	0.179800423
1459	1360.458872	281.1099854	0.117941586
1460	1360.4652	281.1340027	0.025786326
1461	1360.471415	281.1600037	0.007529891
1462	1360.477671	281.1789856	0.003545641
1463	1360.483388	281.1940002	0.003742893
1464	1360.484273	281.2309875	0.002794696
1465	1360.476044	281.2650146	0.00185481
1466	1360.47113	281.3009949	0.001361585
1467	1360.465037	281.3359985	0.001189185
1468	1360.459381	281.3779907	0.001131019
1469	1360.453552	281.4140015	0.001111453
1470	1360.447774	281.4549866	0.005011737
1471	1360.44755	281.4700012	0.003773732
1472	1360.464793	281.4930115	0.0023808
1473	1360.477346	281.5209961	0.001591229
1474	1360.491628	281.5589905	0.001266701
1475	1360.505259	281.5910034	0.001157098
1476	1360.519124	281.6289978	0.001120218
1477	1360.530243	281.6589966	0.019915782
1478	1360.527802	281.7099915	0.014336782
1479	1360.511607	281.7630005	0.006425714
1480	1360.500427	281.8240051	0.007746068
1481	1360.487417	281.8770142	0.004746976
1482	1360.475077	281.9309998	0.002757406
1483	1360.462484	281.9899902	0.001797835
1484	1360.450511	282.0469971	0.001337618
1485	1360.44869	282.1059875	0.001180934
1486	1360.472646	282.1640015	0.001128226
1487	1360.487193	282.2250061	0.001110512
1488	1360.505157	282.2749939	0.00110456
1489	1360.521891	282.32901	0.001102561
1490	1360.539093	282.3919983	0.00110189
1491	1360.551056	282.447998	0.001101664
1492	1360.542674	282.5010071	0.001101588
1493	1360.524963	282.5599976	0.001101563
1494	1360.510681	282.6130066	0.001101554
1495	1360.495117	282.6700134	0.001101552
1496	1360.480062	282.7229919	0.001101551
1497	1360.464813	282.7749939	0.00110155
1498	1360.451131	282.8309937	0.00110155
1499	1360.449961	282.8880005	0.00110155
1500	1360.471252	282.9400024	0.00110155
1501	1360.484355	282.9960022	0.00110155
1502	1360.500437	283.0409851	0.003943168
1503	1360.515432	283.0870056	0.003175905
1504	1360.530853	283.1359863	0.002084788
1505	1360.540802	283.178009	0.003358372
1506	1360.530986	283.2179871	0.002907031
1507	1360.515757	283.2479858	0.001919983
