SEF	1.0.0
ID	Basel_Fuerstenberger
Name	Basel
Lat	47.55686
Lon	7.59057
Alt	270
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Fuerstenberger | Address=Schlüsselberg 13
Year	Month	Day	Hour	Minute	Period	Value	Meta
1828	1	13	24	0	day	9.4	
1828	1	14	24	0	day	8.2	
1828	1	15	24	0	day	5.4	
1828	1	16	24	0	day	1.3	
1828	1	17	24	0	day	3.3	
1828	1	19	24	0	day	1.1	
1828	1	20	24	0	day	2.6	
1828	1	21	24	0	day	3	
1828	1	22	24	0	day	1.8	
1828	1	23	24	0	day	2.7	
1828	1	24	24	0	day	6.8	
1828	1	25	24	0	day	3.2	
1828	1	26	24	0	day	1.9	
1828	1	27	24	0	day	4.4	
1828	1	28	24	0	day	3.7	
1828	1	31	24	0	day	3.7	
1828	2	1	24	0	day	8.1	
1828	2	2	24	0	day	10.7	
1828	2	3	24	0	day	4.7	
1828	2	4	24	0	day	3.7	
1828	2	9	24	0	day	1.3	
1828	2	10	24	0	day	-0.5	
1828	2	11	24	0	day	3.1	
1828	2	12	24	0	day	-1.9	
1828	2	13	24	0	day	-2.9	
1828	2	14	24	0	day	2.3	
1828	2	15	24	0	day	2.8	
1828	2	17	24	0	day	-0.3	
1828	2	18	24	0	day	2.5	
1828	2	19	24	0	day	1.5	
1828	2	20	24	0	day	2.3	
1828	2	21	24	0	day	2.7	
1828	2	23	24	0	day	5.1	
1828	2	24	24	0	day	5	
1828	2	26	24	0	day	3.2	
1828	2	28	24	0	day	3.1	
1828	2	29	24	0	day	5	
1828	3	1	24	0	day	0.9	
1828	3	2	24	0	day	4.9	
1828	3	3	24	0	day	4.2	
1828	3	4	24	0	day	6	
1828	3	5	24	0	day	2.9	
1828	3	6	24	0	day	1	
1828	3	8	24	0	day	1	
1828	3	9	24	0	day	5.6	
1828	3	10	24	0	day	4.2	
1828	3	11	24	0	day	5.1	
1828	3	12	24	0	day	7	
1828	3	13	24	0	day	9.3	
1828	3	14	24	0	day	9.3	
1828	3	15	24	0	day	9.7	
1828	3	16	24	0	day	9.7	
1828	3	17	24	0	day	9.8	
1828	3	19	24	0	day	8.9	
1828	3	20	24	0	day	8.1	
1828	3	21	24	0	day	9.9	
1828	3	22	24	0	day	7.1	
1828	3	23	24	0	day	5.5	
1828	3	24	24	0	day	4.9	
1828	3	25	24	0	day	4.5	
1828	3	26	24	0	day	3.2	
1828	3	27	24	0	day	7.8	
1828	3	29	24	0	day	6.8	
1828	3	30	24	0	day	5.6	
1828	3	31	24	0	day	7.1	
1828	4	1	24	0	day	5.2	
1828	4	2	24	0	day	7.9	
1828	4	3	24	0	day	4.7	
1828	4	4	24	0	day	4.9	
1828	4	5	24	0	day	4.9	
1828	4	6	24	0	day	8	
1828	4	7	24	0	day	10	
1828	4	8	24	0	day	7.3	
1828	4	9	24	0	day	9	
