SEF	1.0.0
ID	Basel_Huber
Name	Basel
Lat	47.55477
Lon	7.59771
Alt	270
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Huber | Address=Haus n.1327|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1789	1	1	24	0	day	-15	
1789	1	2	24	0	day	-8.1	
1789	1	3	24	0	day	-11	
1789	1	4	24	0	day	-21	
1789	1	5	24	0	day	-20.8	
1789	1	6	24	0	day	-16	
1789	1	7	24	0	day	-18.5	
1789	1	8	24	0	day	-17.2	
1789	1	9	24	0	day	-9.4	
1789	1	10	24	0	day	-5.9	
1789	1	11	24	0	day	-0.5	
1789	1	12	24	0	day	-2.6	
1789	1	13	24	0	day	-1.3	
1789	1	14	24	0	day	2.4	
1789	1	15	24	0	day	3.3	
1789	1	17	24	0	day	1.2	
1789	1	18	24	0	day	4.1	
1789	1	19	24	0	day	4.1	
1789	1	20	24	0	day	4.2	
1789	1	21	24	0	day	2.9	
1789	1	22	24	0	day	0.8	
1789	1	23	24	0	day	0.4	
1789	1	24	24	0	day	-0.1	
1789	1	25	24	0	day	6.7	
1789	1	26	24	0	day	10.3	
1789	1	27	24	0	day	10.2	
1789	1	28	24	0	day	7.5	
1789	1	29	24	0	day	8.4	
1789	1	30	24	0	day	2.7	
1789	1	31	24	0	day	3.7	
1789	2	1	24	0	day	3.9	
1789	2	2	24	0	day	4.5	
1789	2	3	24	0	day	8.7	
1789	2	4	24	0	day	8.1	
1789	2	5	24	0	day	4.3	
1789	2	6	24	0	day	2.9	
1789	2	7	24	0	day	2.9	
1789	2	8	24	0	day	3.4	
1789	2	9	24	0	day	3.3	
1789	2	10	24	0	day	3.2	
1789	2	11	24	0	day	3	
1789	2	12	24	0	day	0.1	
1789	2	13	24	0	day	-0.7	
1789	2	14	24	0	day	2	
1789	2	15	24	0	day	4.6	
1789	2	16	24	0	day	2.6	
1789	2	17	24	0	day	2.3	
1789	2	18	24	0	day	4.6	
1789	2	19	24	0	day	5.3	
1789	2	20	24	0	day	6.3	
1789	2	21	24	0	day	3.8	
1789	2	22	24	0	day	7.4	
1789	2	23	24	0	day	7	
1789	2	24	24	0	day	5	
1789	2	25	24	0	day	5.8	
1789	2	26	24	0	day	4.7	
1789	2	27	24	0	day	2.6	
1789	2	28	24	0	day	0.5	
1789	3	1	24	0	day	1.3	
1789	3	2	24	0	day	0.7	
1789	3	3	24	0	day	0.1	
1789	3	4	24	0	day	-1.2	
1789	3	5	24	0	day	-1.6	
1789	3	6	24	0	day	-3.1	
1789	3	7	24	0	day	-2.7	
1789	3	8	24	0	day	-2.9	
1789	3	9	24	0	day	-3	
1789	3	10	24	0	day	-0.2	
1789	3	11	24	0	day	NA	
1789	3	12	24	0	day	-1.6	
1789	3	13	24	0	day	0.3	
1789	3	14	24	0	day	4.3	
1789	3	15	24	0	day	5.8	
1789	3	16	24	0	day	4.9	
1789	3	17	24	0	day	1.1	
1789	3	18	24	0	day	1.5	
1789	3	19	24	0	day	2	
1789	3	20	24	0	day	1.6	
1789	3	21	24	0	day	1.5	
1789	3	22	24	0	day	7	
1789	3	23	24	0	day	7.1	
1789	3	24	24	0	day	3	
1789	3	25	24	0	day	6.1	
1789	3	26	24	0	day	3.7	
1789	3	27	24	0	day	-1	
1789	3	28	24	0	day	-1.3	
1789	3	29	24	0	day	0.5	
1789	3	30	24	0	day	0.4	
1789	3	31	24	0	day	1.1	
1789	4	1	24	0	day	4	
1789	4	2	24	0	day	9.9	
1789	4	3	24	0	day	11.8	
1789	4	4	24	0	day	12.1	
1789	4	5	24	0	day	8.3	
1789	4	6	24	0	day	7.6	
1789	4	7	24	0	day	8	
1789	4	8	24	0	day	8.5	
1789	4	9	24	0	day	9	
1789	4	10	24	0	day	10.4	
1789	4	11	24	0	day	11.2	
1789	4	12	24	0	day	11.2	
1789	4	13	24	0	day	4.8	
