SEF	1.0.0
ID	Basel_Merian
Name	Basel
Lat	47.55722
Lon	7.58909
Alt	270
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Merian | Address=Freie Strasse 23|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1833	10	23	24	0	day	10.3	
1833	10	24	24	0	day	11.4	
1833	10	25	24	0	day	10	
1833	10	26	24	0	day	9.2	
1833	10	27	24	0	day	9.3	
1833	10	28	24	0	day	8.7	
1833	10	29	24	0	day	7.8	
1833	10	30	24	0	day	8.3	
1833	10	31	24	0	day	7.8	
1833	11	1	24	0	day	9.7	
1833	11	2	24	0	day	11.9	
1833	11	3	24	0	day	11.1	
1833	11	4	24	0	day	6.5	
1833	11	5	24	0	day	6	
1833	11	6	24	0	day	6.9	
1833	11	7	24	0	day	10	
1833	11	8	24	0	day	6.6	
1833	11	9	24	0	day	3.9	
1833	11	10	24	0	day	1.8	
1833	11	11	24	0	day	0.6	
1833	11	12	24	0	day	0.7	
1833	11	13	24	0	day	0.6	
1833	11	14	24	0	day	0.3	
1833	11	15	24	0	day	3.1	
1833	11	16	24	0	day	3.5	
1833	11	17	24	0	day	2.4	
1833	11	18	24	0	day	3.5	
1833	11	19	24	0	day	3.1	
1833	11	20	24	0	day	6.1	
1833	11	21	24	0	day	5.2	
1833	11	22	24	0	day	6.8	
1833	11	23	24	0	day	7.3	
1833	11	24	24	0	day	5.8	
1833	11	25	24	0	day	6.1	
1833	11	26	24	0	day	4	
1833	11	27	24	0	day	2.1	
1833	11	28	24	0	day	5.8	
1833	11	29	24	0	day	8.4	
1833	11	30	24	0	day	4.5	
1833	12	1	24	0	day	1.4	
1833	12	2	24	0	day	3.5	
1833	12	3	24	0	day	6.7	
1833	12	4	24	0	day	8.2	
1833	12	5	24	0	day	9.2	
1833	12	6	24	0	day	7.3	
1833	12	7	24	0	day	8.2	
1833	12	8	24	0	day	6.9	
1833	12	9	24	0	day	7.1	
1833	12	10	24	0	day	10.7	
1833	12	11	24	0	day	7	
1833	12	12	24	0	day	2.5	
1833	12	13	24	0	day	1.8	
1833	12	14	24	0	day	1.6	
1833	12	15	24	0	day	5.7	
1833	12	16	24	0	day	5.5	
1833	12	17	24	0	day	6.8	
1833	12	18	24	0	day	8.8	
1833	12	19	24	0	day	8.8	
1833	12	20	24	0	day	11	
1833	12	21	24	0	day	8.3	
1833	12	22	24	0	day	5.1	
1833	12	23	24	0	day	12.2	
1833	12	24	24	0	day	10.5	
1833	12	25	24	0	day	8.4	
1833	12	26	24	0	day	3.4	
1833	12	27	24	0	day	2.4	
1833	12	28	24	0	day	5	
1833	12	29	24	0	day	7.4	
1833	12	30	24	0	day	12.3	
1833	12	31	24	0	day	11.1	
1834	1	1	24	0	day	5.8	
1834	1	2	24	0	day	3.5	
1834	1	3	24	0	day	2.8	
1834	1	4	24	0	day	6.5	
1834	1	5	24	0	day	2	
1834	1	6	24	0	day	1.6	
1834	1	7	24	0	day	3.8	
1834	1	8	24	0	day	4.5	
1834	1	9	24	0	day	3.7	
1834	1	10	24	0	day	4.9	
1834	1	11	24	0	day	5.3	
1834	1	12	24	0	day	5.5	
1834	1	13	24	0	day	6.9	
1834	1	14	24	0	day	5	
1834	1	15	24	0	day	5.8	
1834	1	16	24	0	day	5.3	
1834	1	17	24	0	day	9.8	
1834	1	18	24	0	day	8.6	
1834	1	19	24	0	day	8.9	
1834	1	20	24	0	day	7	
1834	1	21	24	0	day	4.8	
1834	1	22	24	0	day	7.4	
1834	1	23	24	0	day	9.4	
1834	1	24	24	0	day	12.4	
1834	1	25	24	0	day	11.2	
1834	1	26	24	0	day	9.5	
1834	1	27	24	0	day	11.6	
1834	1	28	24	0	day	10.9	
1834	1	29	24	0	day	5	
1834	1	30	24	0	day	1.8	
1834	1	31	24	0	day	0.2	
1834	2	1	24	0	day	0	
1834	2	2	24	0	day	1.3	
1834	2	3	24	0	day	0.8	
1834	2	4	24	0	day	1.3	
1834	2	5	24	0	day	4.8	
1834	2	6	24	0	day	4.9	
1834	2	7	24	0	day	4.1	
1834	2	8	24	0	day	3.2	
1834	2	9	24	0	day	2.5	
1834	2	10	24	0	day	-1.4	
1834	2	11	24	0	day	-0.9	
1834	2	12	24	0	day	-1.3	
1834	2	13	24	0	day	1.2	
1834	2	14	24	0	day	0.9	
1834	2	15	24	0	day	0.3	
1834	2	16	24	0	day	-1.1	
1834	2	17	24	0	day	-1.7	
1834	2	18	24	0	day	0.7	
1834	2	19	24	0	day	3.1	
1834	2	20	24	0	day	4.6	
1834	2	21	24	0	day	5.3	
1834	2	22	24	0	day	4.4	
1834	2	23	24	0	day	3.4	
1834	2	24	24	0	day	4.7	
1834	2	25	24	0	day	5.5	
1834	2	26	24	0	day	5	
1834	2	27	24	0	day	6.9	
1834	2	28	24	0	day	10.1	
1834	3	1	24	0	day	7.6	
1834	3	2	24	0	day	7.3	
1834	3	3	24	0	day	7.8	
1834	3	4	24	0	day	7.4	
1834	3	5	24	0	day	7.8	
1834	3	6	24	0	day	9.3	
1834	3	7	24	0	day	9.3	
1834	3	8	24	0	day	8.5	
1834	3	9	24	0	day	8.3	
1834	3	10	24	0	day	9.4	
1834	3	11	24	0	day	7.4	
1834	3	12	24	0	day	5.3	
1834	3	13	24	0	day	3	
1834	3	14	24	0	day	1.8	
1834	3	15	24	0	day	1.5	
1834	3	16	24	0	day	3	
1834	3	17	24	0	day	2.8	
1834	3	18	24	0	day	0.7	
1834	3	19	24	0	day	1.1	
1834	3	20	24	0	day	2.5	
1834	3	21	24	0	day	3.8	
1834	3	22	24	0	day	5.9	
1834	3	23	24	0	day	8.6	
1834	3	24	24	0	day	9	
1834	3	25	24	0	day	2.3	
1834	3	26	24	0	day	2.7	
1834	3	27	24	0	day	4.4	
1834	3	28	24	0	day	5.6	
1834	3	29	24	0	day	7.2	
1834	3	30	24	0	day	7.1	
1834	3	31	24	0	day	5.9	
1834	4	1	24	0	day	4.4	
1834	4	2	24	0	day	6	
1834	4	3	24	0	day	5.5	
1834	4	4	24	0	day	4.7	
1834	4	5	24	0	day	5.8	
1834	4	6	24	0	day	6.2	
1834	4	7	24	0	day	8.1	
1834	4	8	24	0	day	8.3	
1834	4	9	24	0	day	5.2	
1834	4	10	24	0	day	3.6	
1834	4	11	24	0	day	2.8	
1834	4	12	24	0	day	4.5	
1834	4	13	24	0	day	4	
1834	4	14	24	0	day	3.6	
1834	4	15	24	0	day	5.4	
1834	4	16	24	0	day	7	
1834	4	17	24	0	day	9.8	
1834	4	18	24	0	day	11.2	
1834	4	19	24	0	day	13.2	
1834	4	20	24	0	day	12.9	
1834	4	21	24	0	day	12.4	
1834	4	22	24	0	day	8.5	
1834	4	23	24	0	day	8.2	
1834	4	24	24	0	day	9.2	
1834	4	25	24	0	day	9.8	
1834	4	26	24	0	day	10.3	
1834	4	27	24	0	day	13.9	
1834	4	28	24	0	day	13.3	
1834	4	29	24	0	day	13.1	
1834	4	30	24	0	day	13.6	
1834	5	1	24	0	day	15	
1834	5	2	24	0	day	17.5	
1834	5	3	24	0	day	17	
1834	5	4	24	0	day	16.4	
1834	5	5	24	0	day	17.4	
1834	5	6	24	0	day	17.9	
1834	5	7	24	0	day	19.2	
1834	5	8	24	0	day	19	
1834	5	9	24	0	day	20.8	
1834	5	10	24	0	day	20.5	
1834	5	11	24	0	day	20.6	
1834	5	12	24	0	day	21.1	
1834	5	13	24	0	day	18.4	
1834	5	14	24	0	day	14.6	
1834	5	15	24	0	day	17.2	
1834	5	16	24	0	day	15	
1834	5	17	24	0	day	14	
1834	5	18	24	0	day	8.9	
1834	5	19	24	0	day	13.2	
1834	5	20	24	0	day	16.6	
1834	5	21	24	0	day	19.7	
1834	5	22	24	0	day	20.5	
1834	5	23	24	0	day	19.8	
1834	5	24	24	0	day	18.2	
1834	5	25	24	0	day	16.3	
1834	5	26	24	0	day	11.7	
1834	5	27	24	0	day	11.5	
1834	5	28	24	0	day	12.1	
1834	5	29	24	0	day	13.3	
1834	5	30	24	0	day	15	
1834	5	31	24	0	day	15	
1834	6	1	24	0	day	15.3	
1834	6	2	24	0	day	16.9	
1834	6	3	24	0	day	20.3	
1834	6	4	24	0	day	19.6	
1834	6	5	24	0	day	15.5	
1834	6	6	24	0	day	14.6	
1834	6	7	24	0	day	16.5	
1834	6	8	24	0	day	16.9	
1834	6	9	24	0	day	15.8	
1834	6	10	24	0	day	17.3	
1834	6	11	24	0	day	14.9	
1834	6	12	24	0	day	14.8	
1834	6	13	24	0	day	16.3	
1834	6	14	24	0	day	20	
1834	6	15	24	0	day	22.5	
1834	6	16	24	0	day	19.5	
1834	6	17	24	0	day	15.4	
1834	6	18	24	0	day	15.7	
1834	6	19	24	0	day	18.1	
1834	6	20	24	0	day	21.3	
1834	6	21	24	0	day	23.9	
1834	6	22	24	0	day	24.2	
1834	6	23	24	0	day	19.6	
1834	6	24	24	0	day	18.9	
1834	6	25	24	0	day	21.5	
1834	6	26	24	0	day	22.6	
1834	6	27	24	0	day	20.7	
1834	6	28	24	0	day	15.2	
1834	6	29	24	0	day	17.3	
1834	6	30	24	0	day	17.9	
1834	7	1	24	0	day	18.9	
1834	7	2	24	0	day	20.9	
1834	7	3	24	0	day	20.4	
1834	7	4	24	0	day	20.8	
1834	7	5	24	0	day	21.2	
1834	7	6	24	0	day	21.8	
1834	7	7	24	0	day	21.1	
1834	7	8	24	0	day	21.4	
1834	7	9	24	0	day	20.5	
1834	7	10	24	0	day	20.6	
1834	7	11	24	0	day	21.7	
1834	7	12	24	0	day	23.9	
1834	7	13	24	0	day	26	
1834	7	14	24	0	day	22.1	
1834	7	15	24	0	day	21.2	
1834	7	16	24	0	day	21.4	
1834	7	17	24	0	day	23.3	
1834	7	18	24	0	day	25.1	
1834	7	19	24	0	day	21.8	
1834	7	20	24	0	day	22.7	
1834	7	21	24	0	day	19.9	
1834	7	22	24	0	day	18.6	
1834	7	23	24	0	day	19.2	
1834	7	24	24	0	day	19.5	
1834	7	25	24	0	day	19.5	
1834	7	26	24	0	day	20.6	
1834	7	27	24	0	day	21	
1834	7	28	24	0	day	22.6	
1834	7	29	24	0	day	23.8	
1834	7	30	24	0	day	23	
1834	7	31	24	0	day	20.2	
1834	8	1	24	0	day	21.2	
1834	8	2	24	0	day	21.6	
1834	8	3	24	0	day	19	
1834	8	4	24	0	day	19.5	
1834	8	5	24	0	day	19.7	
1834	8	6	24	0	day	21	
1834	8	7	24	0	day	20.9	
1834	8	8	24	0	day	22.1	
1834	8	9	24	0	day	18.9	
1834	8	10	24	0	day	19.1	
1834	8	11	24	0	day	18.8	
1834	8	12	24	0	day	19.9	
1834	8	13	24	0	day	20.7	
1834	8	14	24	0	day	20.9	
1834	8	15	24	0	day	21.5	
1834	8	16	24	0	day	21.5	
1834	8	17	24	0	day	21.1	
