SEF	1.0.0
ID	Basel_Schneider
Name	Basel
Lat	47.55594
Lon	7.59196
Alt	270
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Schneider|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1838	6	1	24	0	day	17.3	
1838	6	2	24	0	day	16.1	
1838	6	3	24	0	day	17.4	
1838	6	4	24	0	day	16.9	
1838	6	5	24	0	day	17.4	
1838	6	6	24	0	day	16.7	
1838	6	7	24	0	day	15.7	
1838	6	8	24	0	day	14.1	
1838	6	9	24	0	day	12.4	
1838	6	10	24	0	day	14.6	
1838	6	11	24	0	day	14.9	
1838	6	12	24	0	day	14.1	
1838	6	13	24	0	day	12.8	
1838	6	14	24	0	day	14.9	
1838	6	15	24	0	day	18	
1838	6	16	24	0	day	19	
1838	6	17	24	0	day	20.5	
1838	6	18	24	0	day	20.3	
1838	6	19	24	0	day	16.6	
1838	6	20	24	0	day	18.8	
1838	6	21	24	0	day	20.6	
1838	6	22	24	0	day	21.6	
1838	6	23	24	0	day	20.5	
1838	6	24	24	0	day	22.6	
1838	6	25	24	0	day	23.3	
1838	6	26	24	0	day	19.5	
1838	6	27	24	0	day	20.4	
1838	6	28	24	0	day	21.9	
1838	6	29	24	0	day	18.6	
1838	6	30	24	0	day	15.6	
1838	7	1	24	0	day	17.6	
1838	7	2	24	0	day	20.6	
1838	7	13	24	0	day	25.6	
1838	7	14	24	0	day	26.4	
1838	7	15	24	0	day	26.5	
1838	7	16	24	0	day	23.1	
1838	7	23	24	0	day	15.9	
1838	7	24	24	0	day	17.5	
1838	8	2	24	0	day	21.8	
1838	8	3	24	0	day	15.8	
1838	10	9	24	0	day	10.1	
1838	10	10	24	0	day	8.4	
1838	10	11	24	0	day	8.9	
1838	10	12	24	0	day	9.2	
1838	10	13	24	0	day	7	
1838	10	14	24	0	day	5.4	
1838	12	5	24	0	day	5.5	
1838	12	6	24	0	day	3	
1838	12	7	24	0	day	2.8	
1838	12	8	24	0	day	2.1	
1838	12	11	24	0	day	0.4	
1838	12	13	24	0	day	2.4	
1838	12	14	24	0	day	2.9	
