SEF	1.0.0
ID	Basel_Zwinger
Name	Basel
Lat	47.558
Lon	7.588
Alt	NA
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Zwinger
Year	Month	Day	Hour	Minute	Period	Value	Meta
1755	1	1	24	0	day	-0.8	
1755	1	2	24	0	day	-1.3	
1755	1	3	24	0	day	-2.2	
1755	1	4	24	0	day	-4.5	
1755	1	5	24	0	day	-7.9	
1755	1	6	24	0	day	-10.9	
1755	1	7	24	0	day	-12.9	
1755	1	8	24	0	day	-12.4	
1755	1	9	24	0	day	-12.4	
1755	1	10	24	0	day	-7.8	
1755	1	11	24	0	day	-5.9	
1755	1	12	24	0	day	-4.9	
1755	1	13	24	0	day	-4.5	
1755	1	14	24	0	day	-2.2	
1755	1	15	24	0	day	0	
1755	1	16	24	0	day	-1.2	
1755	1	17	24	0	day	1.1	
1755	1	18	24	0	day	1.6	
1755	1	19	24	0	day	1.9	
1755	1	20	24	0	day	2	
1755	1	21	24	0	day	0.4	
1755	1	22	24	0	day	-3.5	
1755	1	23	24	0	day	-5.7	
1755	1	24	24	0	day	-5.7	
1755	1	25	24	0	day	-7.2	
1755	1	26	24	0	day	-8	
1755	1	27	24	0	day	-9.8	
1755	1	28	24	0	day	-6.7	
1755	1	29	24	0	day	-6.1	
1755	1	30	24	0	day	-4	
1755	1	31	24	0	day	-5.9	
1755	2	1	24	0	day	-6.1	
1755	2	2	24	0	day	-6.8	
1755	2	3	24	0	day	-6.4	
1755	2	4	24	0	day	-12.9	
1755	2	5	24	0	day	-12.9	
1755	2	6	24	0	day	-9.2	
1755	2	7	24	0	day	-1	
1755	2	8	24	0	day	-0.8	
1755	2	9	24	0	day	-0.2	
1755	2	10	24	0	day	1	
1755	2	11	24	0	day	2	
1755	2	12	24	0	day	3.3	
1755	2	13	24	0	day	2	
1755	2	14	24	0	day	0.9	
1755	2	15	24	0	day	1.5	
1755	2	16	24	0	day	-0.1	
1755	2	17	24	0	day	-0.1	
1755	2	18	24	0	day	-1.1	
1755	2	19	24	0	day	-1.9	
1755	2	20	24	0	day	-1.8	
1755	2	21	24	0	day	-3.4	
1755	2	22	24	0	day	-3	
1755	2	23	24	0	day	-2.5	
