SEF	1.0.0
ID	Basel_Burckhardt
Name	Basel
Lat	47.55777
Lon	7.58828
Alt	NA
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Burckhardt
Year	Month	Day	Hour	Minute	Period	Value	Meta
1825	9	NA	NA	NA	month	NA	
1825	10	NA	NA	NA	month	9.8	
1825	11	NA	NA	NA	month	7.2	
1825	12	NA	NA	NA	month	5.2	
1826	1	NA	NA	NA	month	-4.7	
1826	2	NA	NA	NA	month	4.1	
1826	3	NA	NA	NA	month	6.4	
1826	4	NA	NA	NA	month	9.7	
1826	5	NA	NA	NA	month	12	
1826	6	NA	NA	NA	month	18.3	
1826	7	NA	NA	NA	month	21.5	
1826	8	NA	NA	NA	month	NA	
1826	9	NA	NA	NA	month	NA	
1826	10	NA	NA	NA	month	13.5	
1826	11	NA	NA	NA	month	NA	
1826	12	NA	NA	NA	month	3.3	
1827	1	NA	NA	NA	month	0.4	
1827	2	NA	NA	NA	month	-0.7	
1827	3	NA	NA	NA	month	7.4	
1827	4	NA	NA	NA	month	11.1	
1827	5	NA	NA	NA	month	NA	
1827	6	NA	NA	NA	month	NA	
1827	7	NA	NA	NA	month	NA	
1827	8	NA	NA	NA	month	NA	
1827	9	NA	NA	NA	month	NA	
1827	10	NA	NA	NA	month	NA	
1827	12	NA	NA	NA	month	NA	
