SEF	1.0.0
ID	Basel_Huber
Name	Basel
Lat	47.55662
Lon	7.59158
Alt	270
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Huber | Address=Haus n.1373|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1817	11	NA	NA	NA	month	6.7	
1817	12	NA	NA	NA	month	1.2	
1818	1	NA	NA	NA	month	2.2	
1818	2	NA	NA	NA	month	3.3	
1818	3	NA	NA	NA	month	6.1	
1818	4	NA	NA	NA	month	11	
1818	5	NA	NA	NA	month	13.5	
1818	6	NA	NA	NA	month	19.2	
1818	7	NA	NA	NA	month	NA	
1818	8	NA	NA	NA	month	NA	
1818	9	NA	NA	NA	month	NA	
1818	10	NA	NA	NA	month	9.9	
1818	11	NA	NA	NA	month	7.5	
1818	12	NA	NA	NA	month	-0.4	
1819	1	NA	NA	NA	month	1.6	
1819	2	NA	NA	NA	month	3.7	
1819	3	NA	NA	NA	month	6.5	
1819	4	NA	NA	NA	month	NA	
1819	5	NA	NA	NA	month	NA	
1819	6	NA	NA	NA	month	NA	
1819	7	NA	NA	NA	month	NA	
1819	8	NA	NA	NA	month	19.1	
1819	9	NA	NA	NA	month	15.2	
1819	10	NA	NA	NA	month	10.7	
1819	11	NA	NA	NA	month	4.5	
1819	12	NA	NA	NA	month	2.4	
1820	1	NA	NA	NA	month	-3.8	
1820	2	NA	NA	NA	month	1.8	
1820	3	NA	NA	NA	month	NA	
1820	4	NA	NA	NA	month	10.7	
1820	5	NA	NA	NA	month	14.8	
1820	6	NA	NA	NA	month	NA	
1820	7	NA	NA	NA	month	NA	
1820	8	NA	NA	NA	month	NA	
1820	9	NA	NA	NA	month	13.6	
1820	10	NA	NA	NA	month	NA	
1820	11	NA	NA	NA	month	3	
1820	12	NA	NA	NA	month	1	
1821	1	NA	NA	NA	month	1.6	
1821	2	NA	NA	NA	month	-0.6	
1821	3	NA	NA	NA	month	6.2	
1821	4	NA	NA	NA	month	11.5	
1821	5	NA	NA	NA	month	13.3	
1821	6	NA	NA	NA	month	15.1	
1821	7	NA	NA	NA	month	17.7	
1821	8	NA	NA	NA	month	19.4	
1821	9	NA	NA	NA	month	16.4	
1821	10	NA	NA	NA	month	9.6	
1821	11	NA	NA	NA	month	7.8	
1821	12	NA	NA	NA	month	6.1	
1822	1	NA	NA	NA	month	2	
1822	2	NA	NA	NA	month	4.1	
1822	3	NA	NA	NA	month	9.4	
1822	4	NA	NA	NA	month	10.8	
1822	5	NA	NA	NA	month	17.2	
1822	6	NA	NA	NA	month	23	
1822	7	NA	NA	NA	month	20.4	
1822	8	NA	NA	NA	month	NA	
1822	9	NA	NA	NA	month	16.3	
1822	10	NA	NA	NA	month	12.4	
1822	11	NA	NA	NA	month	7.8	
1822	12	NA	NA	NA	month	-2.1	
1823	1	NA	NA	NA	month	-3	
1823	2	NA	NA	NA	month	4.3	
