SEF	1.0.0
ID	Basel_Kaufmann
Name	Basel
Lat	47.5576
Lon	7.59025
Alt	260
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Kaufmann|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1862	6	NA	NA	NA	month	17.7	
1862	7	NA	NA	NA	month	20.3	
1862	8	NA	NA	NA	month	19.2	
1862	9	NA	NA	NA	month	17	
1862	10	NA	NA	NA	month	13.3	
1862	11	NA	NA	NA	month	6.5	
1862	12	NA	NA	NA	month	4	
1863	1	NA	NA	NA	month	4.7	
1863	2	NA	NA	NA	month	4.5	
1863	3	NA	NA	NA	month	7.2	
1863	4	NA	NA	NA	month	12.4	
1863	5	NA	NA	NA	month	16.2	
1863	6	NA	NA	NA	month	18.9	
1863	7	NA	NA	NA	month	20.7	
1863	8	NA	NA	NA	month	21.7	
1863	9	NA	NA	NA	month	15.9	
1863	10	NA	NA	NA	month	NA	
