SEF	1.0.0
ID	Basel_Merian
Name	Basel
Lat	47.55722
Lon	7.58909
Alt	270
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Merian | Address=Freie Strasse 23|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1833	10	NA	NA	NA	month	NA	
1833	11	NA	NA	NA	month	5.1	
1833	12	NA	NA	NA	month	6.9	
1834	1	NA	NA	NA	month	6.2	
1834	2	NA	NA	NA	month	2.6	
1834	3	NA	NA	NA	month	5.6	
1834	4	NA	NA	NA	month	8.2	
1834	5	NA	NA	NA	month	16.6	
1834	6	NA	NA	NA	month	18.3	
1834	7	NA	NA	NA	month	21.4	
1834	8	NA	NA	NA	month	19.5	
1834	9	NA	NA	NA	month	17.2	
1834	10	NA	NA	NA	month	10.2	
1834	11	NA	NA	NA	month	5.6	
1834	12	NA	NA	NA	month	1	
1835	1	NA	NA	NA	month	1.6	
1835	2	NA	NA	NA	month	4	
1835	3	NA	NA	NA	month	5.4	
1835	4	NA	NA	NA	month	8.8	
1835	5	NA	NA	NA	month	14.1	
1835	6	NA	NA	NA	month	17.4	
1835	7	NA	NA	NA	month	20.9	
1835	8	NA	NA	NA	month	18.4	
1835	9	NA	NA	NA	month	14.9	
1835	10	NA	NA	NA	month	8.4	
1835	11	NA	NA	NA	month	1.4	
1835	12	NA	NA	NA	month	-2.3	
1836	1	NA	NA	NA	month	0.1	
1836	2	NA	NA	NA	month	1.3	
1836	3	NA	NA	NA	month	8.7	
1836	4	NA	NA	NA	month	8.8	
1836	5	NA	NA	NA	month	11.8	
1836	6	NA	NA	NA	month	17.6	
1836	7	NA	NA	NA	month	19.2	
1836	8	NA	NA	NA	month	18.2	
1836	9	NA	NA	NA	month	13.3	
1836	10	NA	NA	NA	month	10	
1836	11	NA	NA	NA	month	5.2	
1836	12	NA	NA	NA	month	2.5	
1837	1	NA	NA	NA	month	-0.8	
1837	2	NA	NA	NA	month	2.4	
1837	3	NA	NA	NA	month	1.5	
1837	4	NA	NA	NA	month	6.2	
1837	5	NA	NA	NA	month	11.1	
1837	6	NA	NA	NA	month	19	
1837	7	NA	NA	NA	month	18.3	
1837	8	NA	NA	NA	month	20.1	
1837	9	NA	NA	NA	month	NA	
