SEF	1.0.0
ID	Basel_Ryhiner
Name	Basel
Lat	47.55777
Lon	7.58828
Alt	
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Ryhiner|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1766	1	NA	NA	NA	month	-6.9	
1766	2	NA	NA	NA	month	-0.9	
1766	3	NA	NA	NA	month	4.9	
1766	4	NA	NA	NA	month	11.5	
1766	5	NA	NA	NA	month	15.6	
1766	6	NA	NA	NA	month	18.5	
1766	7	NA	NA	NA	month	18.5	
1766	8	NA	NA	NA	month	18.9	
1766	9	NA	NA	NA	month	15.6	
1766	10	NA	NA	NA	month	10.6	
1766	11	NA	NA	NA	month	4.1	
1766	12	NA	NA	NA	month	NA	
1767	1	NA	NA	NA	month	-5.3	
1767	2	NA	NA	NA	month	5.7	
1767	3	NA	NA	NA	month	4.4	
1767	4	NA	NA	NA	month	NA	
1767	5	NA	NA	NA	month	11.9	
1767	6	NA	NA	NA	month	15.5	
1767	7	NA	NA	NA	month	18.3	
1767	8	NA	NA	NA	month	17.6	
1767	9	NA	NA	NA	month	14.6	
1767	10	NA	NA	NA	month	10.1	
1767	11	NA	NA	NA	month	NA	
1767	12	NA	NA	NA	month	-1.5	
1769	1	NA	NA	NA	month	0.9	
1769	2	NA	NA	NA	month	2.6	
1769	3	NA	NA	NA	month	4.2	
1769	4	NA	NA	NA	month	9.6	
1769	5	NA	NA	NA	month	14.1	
1769	6	NA	NA	NA	month	16.4	
1769	7	NA	NA	NA	month	18.3	
1769	8	NA	NA	NA	month	NA	
1769	9	NA	NA	NA	month	NA	
1769	10	NA	NA	NA	month	5.5	
1769	11	NA	NA	NA	month	6.3	
1769	12	NA	NA	NA	month	1.9	
1770	1	NA	NA	NA	month	-1	
1770	2	NA	NA	NA	month	0.3	
1770	3	NA	NA	NA	month	2.7	
1770	4	NA	NA	NA	month	7	
1770	5	NA	NA	NA	month	14.1	
1770	6	NA	NA	NA	month	16	
1770	7	NA	NA	NA	month	NA	
1770	8	NA	NA	NA	month	17.7	
1770	9	NA	NA	NA	month	16	
1770	10	NA	NA	NA	month	8.1	
1770	11	NA	NA	NA	month	6.1	
1770	12	NA	NA	NA	month	2.6	
1771	1	NA	NA	NA	month	0	
1771	2	NA	NA	NA	month	0.8	
1771	3	NA	NA	NA	month	3.7	
1771	4	NA	NA	NA	month	6.6	
1771	5	NA	NA	NA	month	15.5	
1771	6	NA	NA	NA	month	15.1	
1771	7	NA	NA	NA	month	NA	
1771	8	NA	NA	NA	month	17.2	
1771	9	NA	NA	NA	month	14.4	
1771	10	NA	NA	NA	month	9.2	
1771	11	NA	NA	NA	month	1.5	
1771	12	NA	NA	NA	month	2.1	
1772	1	NA	NA	NA	month	-0.8	
1772	2	NA	NA	NA	month	4	
1772	3	NA	NA	NA	month	6.7	
1772	4	NA	NA	NA	month	8.4	
1772	5	NA	NA	NA	month	11.3	
1772	6	NA	NA	NA	month	17.5	
1772	7	NA	NA	NA	month	18.2	
1772	8	NA	NA	NA	month	17.6	
1772	9	NA	NA	NA	month	16.1	
1772	10	NA	NA	NA	month	NA	
1772	11	NA	NA	NA	month	6.4	
1772	12	NA	NA	NA	month	1.6	
