SEF	1.0.0
ID	JU01_Delemont
Name	Delemont
Lat	47.3653
Lon	7.34336
Alt	432
Source	CHIMES
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=François-Joseph Helg
Year	Month	Day	Hour	Minute	Period	Value	Meta
1801	12	NA	NA	NA	month	NA	
1802	1	NA	NA	NA	month	-7.2	
1802	2	NA	NA	NA	month	1	
1802	3	NA	NA	NA	month	4.5	
1802	4	NA	NA	NA	month	10	
1802	5	NA	NA	NA	month	14.7	
1802	6	NA	NA	NA	month	19.1	
1802	7	NA	NA	NA	month	17.4	
1802	8	NA	NA	NA	month	20.9	
1802	9	NA	NA	NA	month	15.5	
1802	10	NA	NA	NA	month	12.5	
1802	11	NA	NA	NA	month	7.3	
1802	12	NA	NA	NA	month	3.6	
1803	1	NA	NA	NA	month	-1.3	
1803	2	NA	NA	NA	month	-1.3	
1803	3	NA	NA	NA	month	4.1	
1803	4	NA	NA	NA	month	11.3	
1803	5	NA	NA	NA	month	12	
1803	6	NA	NA	NA	month	17.7	
1803	7	NA	NA	NA	month	20	
1803	8	NA	NA	NA	month	19.5	
1803	9	NA	NA	NA	month	13	
1803	10	NA	NA	NA	month	9.3	
1803	11	NA	NA	NA	month	6.2	
1803	12	NA	NA	NA	month	3.8	
1804	1	NA	NA	NA	month	NA	
1804	2	NA	NA	NA	month	-0.5	
1804	3	NA	NA	NA	month	3.2	
1804	4	NA	NA	NA	month	9.9	
1804	5	NA	NA	NA	month	17.1	
1804	6	NA	NA	NA	month	18.9	
1804	7	NA	NA	NA	month	18.6	
1804	8	NA	NA	NA	month	17.9	
1804	9	NA	NA	NA	month	15.4	
1804	10	NA	NA	NA	month	11.3	
1804	11	NA	NA	NA	month	7.1	
1804	12	NA	NA	NA	month	-0.1	
1805	1	NA	NA	NA	month	-0.8	
1805	2	NA	NA	NA	month	1.9	
1805	3	NA	NA	NA	month	3.9	
1805	4	NA	NA	NA	month	9.1	
1805	5	NA	NA	NA	month	13.3	
1805	6	NA	NA	NA	month	15.7	
1805	7	NA	NA	NA	month	17.1	
1805	8	NA	NA	NA	month	16.6	
1805	9	NA	NA	NA	month	15	
1805	10	NA	NA	NA	month	6.9	
1805	11	NA	NA	NA	month	NA	
1805	12	NA	NA	NA	month	NA	
1806	1	NA	NA	NA	month	4.4	
1806	2	NA	NA	NA	month	4.2	
1806	3	NA	NA	NA	month	4.9	
1806	4	NA	NA	NA	month	7.4	
1806	5	NA	NA	NA	month	16.9	
1806	6	NA	NA	NA	month	18.6	
1806	7	NA	NA	NA	month	18.3	
1806	8	NA	NA	NA	month	17.8	
1806	9	NA	NA	NA	month	15.3	
1806	10	NA	NA	NA	month	11.2	
1806	11	NA	NA	NA	month	7.7	
1806	12	NA	NA	NA	month	6.4	
1807	1	NA	NA	NA	month	-1.7	
1807	2	NA	NA	NA	month	2.3	
1807	3	NA	NA	NA	month	0	
1807	4	NA	NA	NA	month	8.2	
1807	5	NA	NA	NA	month	16.4	
1807	6	NA	NA	NA	month	16.7	
1807	7	NA	NA	NA	month	21.7	
1807	8	NA	NA	NA	month	21.7	
1807	9	NA	NA	NA	month	13.6	
1807	10	NA	NA	NA	month	11.8	
1807	11	NA	NA	NA	month	6.5	
1807	12	NA	NA	NA	month	-3.6	
1808	1	NA	NA	NA	month	-0.8	
1808	2	NA	NA	NA	month	-1.3	
1808	3	NA	NA	NA	month	1.2	
1808	4	NA	NA	NA	month	7.1	
