SEF	1.0.0
ID	Mulhouse
Name	Mulhouse
Lat	47.75
Lon	7.34
Alt	240
Source	DigiHom
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1800	1	1	NA	NA	day	-12.5	correction=-0.34
1800	1	2	NA	NA	day	-0.7	correction=-0.37
1800	1	3	NA	NA	day	2.9	correction=-0.4
1800	1	4	NA	NA	day	4.6	correction=-0.42
1800	1	5	NA	NA	day	4.5	correction=-0.45
1800	1	6	NA	NA	day	2.3	correction=-0.48
1800	1	7	NA	NA	day	0.8	correction=-0.51
1800	1	8	NA	NA	day	1.3	correction=-0.54
1800	1	9	NA	NA	day	1.6	correction=-0.57
1800	1	10	NA	NA	day	1.3	correction=-0.6
1800	1	11	NA	NA	day	1.2	correction=-0.63
1800	1	12	NA	NA	day	4.5	correction=-0.66
1800	1	13	NA	NA	day	2.9	correction=-0.69
1800	1	14	NA	NA	day	1.4	correction=-0.72
1800	1	15	NA	NA	day	3.5	correction=-0.75
1800	1	16	NA	NA	day	6.2	correction=-0.78
1800	1	17	NA	NA	day	6.4	correction=-0.82
1800	1	18	NA	NA	day	8.7	correction=-0.85
1800	1	19	NA	NA	day	6.8	correction=-0.88
1800	1	20	NA	NA	day	6.5	correction=-0.91
1800	1	21	NA	NA	day	4.1	correction=-0.94
1800	1	22	NA	NA	day	-0.6	correction=-0.98
1800	1	23	NA	NA	day	-0.6	correction=-1.01
1800	1	24	NA	NA	day	1.9	correction=-1.04
1800	1	25	NA	NA	day	3	correction=-1.07
1800	1	26	NA	NA	day	3.2	correction=-1.11
1800	1	27	NA	NA	day	6.1	correction=-1.14
1800	1	28	NA	NA	day	5.9	correction=-1.17
1800	1	29	NA	NA	day	3.3	correction=-1.2
1800	1	30	NA	NA	day	4.7	correction=-1.23
1800	1	31	NA	NA	day	3	correction=-1.26
1800	2	1	NA	NA	day	2	correction=-1.29
1800	2	2	NA	NA	day	5.2	correction=-1.32
1800	2	3	NA	NA	day	4.9	correction=-1.35
1800	2	4	NA	NA	day	4	correction=-1.38
1800	2	5	NA	NA	day	1.4	correction=-1.41
1800	2	6	NA	NA	day	-0.2	correction=-1.44
1800	2	7	NA	NA	day	-3.5	correction=-1.47
1800	2	8	NA	NA	day	-5	correction=-1.49
1800	2	9	NA	NA	day	-5.9	correction=-1.52
1800	2	10	NA	NA	day	-4.2	correction=-1.55
