SEF	1.0.0
ID	Basel_Fuerstenberger
Name	Basel
Lat	47.56085
Lon	7.58222
Alt	270
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Fuerstenberger | Address=Hebelstrasse 22
Year	Month	Day	Hour	Minute	Period	Value	Meta
1826	4	1	24	0	day	3.8	correction=-0.03
1826	4	2	24	0	day	6.4	correction=-0.03
1826	4	3	24	0	day	9	correction=-0.04
1826	4	4	24	0	day	12	correction=-0.04
1826	4	5	24	0	day	11	correction=-0.05
1826	4	6	24	0	day	11.5	correction=-0.06
1826	4	7	24	0	day	10.5	correction=-0.06
1826	4	8	24	0	day	12.5	correction=-0.07
1826	4	9	24	0	day	15.8	correction=-0.07
1826	4	10	24	0	day	10.4	correction=-0.08
1826	4	11	24	0	day	10.9	correction=-0.08
1826	4	12	24	0	day	13.7	correction=-0.09
1826	4	13	24	0	day	9.1	correction=-0.1
1826	4	14	24	0	day	9.9	correction=-0.1
1826	4	15	24	0	day	13.7	correction=-0.11
1826	4	16	24	0	day	13.2	correction=-0.11
1826	4	17	24	0	day	7.9	correction=-0.12
1826	4	18	24	0	day	8.7	correction=-0.12
1826	4	19	24	0	day	9.7	correction=-0.13
1826	4	20	24	0	day	13.3	correction=-0.14
1826	4	21	24	0	day	15.4	correction=-0.14
1826	4	22	24	0	day	13	correction=-0.15
1826	4	23	24	0	day	11.1	correction=-0.15
1826	4	24	24	0	day	13.6	correction=-0.16
1826	4	25	24	0	day	6.9	correction=-0.16
1826	4	26	24	0	day	10.4	correction=-0.17
1826	4	27	24	0	day	6.4	correction=-0.17
1826	4	28	24	0	day	5.1	correction=-0.18
1826	4	29	24	0	day	3	correction=-0.18
1826	4	30	24	0	day	5.7	correction=-0.19
1826	5	1	24	0	day	6.9	correction=-0.19
1826	5	2	24	0	day	9.7	correction=-0.2
1826	5	3	24	0	day	11.2	correction=-0.2
1826	5	4	24	0	day	10.6	correction=-0.21
1826	5	5	24	0	day	8.2	correction=-0.21
1826	5	6	24	0	day	6.4	correction=-0.22
1826	5	7	24	0	day	8.4	correction=-0.22
1826	5	8	24	0	day	10.7	correction=-0.23
1826	5	9	24	0	day	13.2	correction=-0.23
1826	5	10	24	0	day	11.2	correction=-0.24
1826	5	11	24	0	day	13.5	correction=-0.24
