SEF	1.0.0
ID	Basel_Fuerstenberger
Name	Basel
Lat	47.55724
Lon	7.5856
Alt	270
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Fuerstenberger | Address=Nadelberg 37
Year	Month	Day	Hour	Minute	Period	Value	Meta
1828	10	23	24	0	day	9.4	correction=-2.03
1828	10	24	24	0	day	9.3	correction=-2.03
1828	10	25	24	0	day	8.4	correction=-2.03
1828	10	26	24	0	day	8.1	correction=-2.03
1828	10	27	24	0	day	6.4	correction=-2.03
1828	10	28	24	0	day	4.6	correction=-2.03
1828	10	29	24	0	day	2.2	correction=-2.03
1828	10	30	24	0	day	-0.2	correction=-2.03
1828	10	31	24	0	day	0.3	correction=-2.03
1828	11	1	24	0	day	2.3	correction=-2.03
1828	11	2	24	0	day	1.8	correction=-2.03
1828	11	3	24	0	day	3.4	correction=-2.03
1828	11	4	24	0	day	1.3	correction=-2.03
1828	11	5	24	0	day	1.7	correction=-2.03
1828	11	6	24	0	day	2.4	correction=-2.03
1828	11	7	24	0	day	0.3	correction=-2.03
1828	11	8	24	0	day	-3.9	correction=-2.03
1828	12	15	24	0	day	-0.5	correction=-2.03
1828	12	16	24	0	day	-1	correction=-2.03
1828	12	17	24	0	day	0.6	correction=-2.03
1828	12	18	24	0	day	5.8	correction=-2.03
1828	12	19	24	0	day	5.8	correction=-2.03
1828	12	20	24	0	day	6.5	correction=-2.03
1828	12	23	24	0	day	2	correction=-2.03
1828	12	24	24	0	day	4	correction=-2.03
1828	12	25	24	0	day	2.9	correction=-2.03
1828	12	26	24	0	day	2.6	correction=-2.03
1828	12	27	24	0	day	2.5	correction=-2.03
1828	12	28	24	0	day	3.6	correction=-2.03
1828	12	29	24	0	day	1.9	correction=-2.03
1828	12	30	24	0	day	-1	correction=-2.03
1828	12	31	24	0	day	-1.6	correction=-2.03
1829	1	2	24	0	day	1.5	correction=-2.03
1829	1	3	24	0	day	0.9	correction=-2.03
1829	1	4	24	0	day	1.1	correction=-2.03
1829	1	5	24	0	day	0.5	correction=-2.03
1829	1	6	24	0	day	-3.5	correction=-2.03
