SEF	1.0.0
ID	Basel_Huber
Name	Basel
Lat	47.55477
Lon	7.59771
Alt	270
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Huber | Address=Haus n.1327|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1789	1	NA	NA	NA	month	-2.4	
1789	2	NA	NA	NA	month	3.4	
1789	3	NA	NA	NA	month	0.5	
1789	4	NA	NA	NA	month	9.9	
1789	5	NA	NA	NA	month	16.3	
1789	6	NA	NA	NA	month	15.5	
1789	7	NA	NA	NA	month	18.1	
1789	8	NA	NA	NA	month	17.4	
1789	9	NA	NA	NA	month	14	
1789	10	NA	NA	NA	month	10.3	
1789	11	NA	NA	NA	month	4.8	
1789	12	NA	NA	NA	month	2.5	
1790	1	NA	NA	NA	month	0.4	
1790	2	NA	NA	NA	month	2.5	
1790	3	NA	NA	NA	month	NA	
1790	4	NA	NA	NA	month	7.9	
1790	5	NA	NA	NA	month	15.1	
1790	6	NA	NA	NA	month	17.9	
1790	7	NA	NA	NA	month	17.5	
1790	8	NA	NA	NA	month	18.2	
1790	9	NA	NA	NA	month	13.9	
1790	10	NA	NA	NA	month	12.2	
1790	11	NA	NA	NA	month	6.5	
1790	12	NA	NA	NA	month	3.6	
1791	1	NA	NA	NA	month	3.3	
1791	2	NA	NA	NA	month	0.9	
1791	3	NA	NA	NA	month	NA	
1791	4	NA	NA	NA	month	NA	
1791	5	NA	NA	NA	month	13.9	
1791	6	NA	NA	NA	month	18.3	
1791	7	NA	NA	NA	month	19	
1791	8	NA	NA	NA	month	18.8	
1791	9	NA	NA	NA	month	13.8	
1791	10	NA	NA	NA	month	10.5	
1791	11	NA	NA	NA	month	3.7	
1791	12	NA	NA	NA	month	3.8	
1792	1	NA	NA	NA	month	1.3	
1792	2	NA	NA	NA	month	0.8	
1792	3	NA	NA	NA	month	5.4	
1792	4	NA	NA	NA	month	11.1	
1792	5	NA	NA	NA	month	13.6	
1792	6	NA	NA	NA	month	17.6	
1792	7	NA	NA	NA	month	18.8	
1792	8	NA	NA	NA	month	18.4	
1792	9	NA	NA	NA	month	13.6	
1792	10	NA	NA	NA	month	11.6	
1792	11	NA	NA	NA	month	6	
1792	12	NA	NA	NA	month	3	
1793	1	NA	NA	NA	month	-1.5	
1793	2	NA	NA	NA	month	3	
1793	3	NA	NA	NA	month	5.3	
1793	4	NA	NA	NA	month	7.7	
1793	5	NA	NA	NA	month	13	
1793	6	NA	NA	NA	month	16.7	
1793	7	NA	NA	NA	month	21.1	
1793	8	NA	NA	NA	month	19.3	
1793	9	NA	NA	NA	month	13.5	
1793	10	NA	NA	NA	month	11.8	
1793	11	NA	NA	NA	month	6.8	
1793	12	NA	NA	NA	month	4	
1794	1	NA	NA	NA	month	0.7	
1794	2	NA	NA	NA	month	4.7	
1794	3	NA	NA	NA	month	7	
1794	4	NA	NA	NA	month	12	
1794	5	NA	NA	NA	month	13.9	
1794	6	NA	NA	NA	month	18.1	
1794	7	NA	NA	NA	month	21.3	
1794	8	NA	NA	NA	month	17.6	
1794	9	NA	NA	NA	month	13.6	
1794	10	NA	NA	NA	month	10.5	
1794	11	NA	NA	NA	month	7.2	
1794	12	NA	NA	NA	month	-0.6	
1795	1	NA	NA	NA	month	-6.6	
1795	2	NA	NA	NA	month	1.3	
1795	3	NA	NA	NA	month	3.6	
1795	4	NA	NA	NA	month	10.9	
1795	5	NA	NA	NA	month	14.4	
1795	6	NA	NA	NA	month	17.4	
1795	7	NA	NA	NA	month	NA	
1796	1	NA	NA	NA	month	4	
1796	2	NA	NA	NA	month	2.3	
1796	3	NA	NA	NA	month	1.4	
1796	4	NA	NA	NA	month	9	
1796	5	NA	NA	NA	month	14.1	
1796	6	NA	NA	NA	month	17.6	
1796	7	NA	NA	NA	month	18.2	
1796	8	NA	NA	NA	month	NA	
1796	10	NA	NA	NA	month	NA	
1796	11	NA	NA	NA	month	5.5	
1796	12	NA	NA	NA	month	-0.7	
1797	1	NA	NA	NA	month	1	
1797	2	NA	NA	NA	month	0	
1797	3	NA	NA	NA	month	2.8	
1797	4	NA	NA	NA	month	10.8	
1797	5	NA	NA	NA	month	15.7	
1797	6	NA	NA	NA	month	NA	
1797	8	NA	NA	NA	month	18.3	
1797	9	NA	NA	NA	month	14.8	
1797	10	NA	NA	NA	month	10.6	
1797	11	NA	NA	NA	month	6.3	
1797	12	NA	NA	NA	month	4.7	
1798	1	NA	NA	NA	month	0.5	
1798	2	NA	NA	NA	month	1	
1798	3	NA	NA	NA	month	3.2	
1798	4	NA	NA	NA	month	10	
1798	5	NA	NA	NA	month	15	
1798	6	NA	NA	NA	month	18.4	
1798	7	NA	NA	NA	month	18.4	
1798	8	NA	NA	NA	month	19.1	
1798	9	NA	NA	NA	month	15.2	
1798	10	NA	NA	NA	month	11.1	
