SEF	1.0.0
ID	Basel_Merian
Name	Basel
Lat	47.56267
Lon	7.58445
Alt	268
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Merian | Address=Spitalstrasse 14|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1828	1	NA	NA	NA	month	3	
1828	2	NA	NA	NA	month	2.9	
1828	3	NA	NA	NA	month	6	
1828	4	NA	NA	NA	month	10.6	
1828	5	NA	NA	NA	month	15.2	
1828	6	NA	NA	NA	month	18.7	
1828	7	NA	NA	NA	month	NA	
1828	10	NA	NA	NA	month	NA	
1828	11	NA	NA	NA	month	5.1	
1828	12	NA	NA	NA	month	3	
1829	1	NA	NA	NA	month	-2.9	
1829	2	NA	NA	NA	month	-0.8	
1829	3	NA	NA	NA	month	5.2	
1829	4	NA	NA	NA	month	10.3	
1829	5	NA	NA	NA	month	14.5	
1829	6	NA	NA	NA	month	16.2	
1829	7	NA	NA	NA	month	18.9	
1829	8	NA	NA	NA	month	16.9	
1829	9	NA	NA	NA	month	13.5	
1829	10	NA	NA	NA	month	8.4	
1829	11	NA	NA	NA	month	2.8	
1829	12	NA	NA	NA	month	-3.9	
1830	1	NA	NA	NA	month	-7.8	
1830	2	NA	NA	NA	month	-1.7	
1830	3	NA	NA	NA	month	7.3	
1830	4	NA	NA	NA	month	12	
1830	5	NA	NA	NA	month	14.6	
1830	6	NA	NA	NA	month	16.8	
1830	7	NA	NA	NA	month	20	
1830	8	NA	NA	NA	month	17.4	
1830	9	NA	NA	NA	month	13.3	
1830	10	NA	NA	NA	month	8.9	
1830	11	NA	NA	NA	month	6.2	
1830	12	NA	NA	NA	month	1.3	
1831	1	NA	NA	NA	month	-1.5	
1831	2	NA	NA	NA	month	2.8	
1831	3	NA	NA	NA	month	7.6	
1831	4	NA	NA	NA	month	11.1	
1831	5	NA	NA	NA	month	13.9	
1831	6	NA	NA	NA	month	16.9	
1831	7	NA	NA	NA	month	19.1	
1831	8	NA	NA	NA	month	18.3	
1831	9	NA	NA	NA	month	13.7	
1831	10	NA	NA	NA	month	13.4	
1831	11	NA	NA	NA	month	5.8	
1831	12	NA	NA	NA	month	2.8	
1832	1	NA	NA	NA	month	-0.3	
1832	2	NA	NA	NA	month	1.4	
1832	3	NA	NA	NA	month	4.3	
1832	4	NA	NA	NA	month	10.2	
1832	5	NA	NA	NA	month	13.4	
1832	6	NA	NA	NA	month	16.5	
1832	7	NA	NA	NA	month	19.8	
1832	8	NA	NA	NA	month	20.9	
1832	9	NA	NA	NA	month	14.3	
1832	10	NA	NA	NA	month	9	
1832	11	NA	NA	NA	month	4.6	
1832	12	NA	NA	NA	month	1.9	
1833	1	NA	NA	NA	month	-3.4	
1833	2	NA	NA	NA	month	5.7	
1833	3	NA	NA	NA	month	4.2	
1833	4	NA	NA	NA	month	8.2	
1833	5	NA	NA	NA	month	18	
1833	6	NA	NA	NA	month	18.8	
1833	7	NA	NA	NA	month	17.4	
1833	8	NA	NA	NA	month	16.2	
1833	9	NA	NA	NA	month	13.5	
1833	10	NA	NA	NA	month	NA	
