SEF	1.0.0
ID	Basel_Ryhiner
Name	Basel
Lat	47.55777
Lon	7.58828
Alt	
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Ryhiner|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1766	1	1	24	0	day	-10.2	correction=1.03
1766	1	2	24	0	day	-10.1	correction=0.99
1766	1	3	24	0	day	-9.5	correction=0.95
1766	1	4	24	0	day	-6.6	correction=0.91
1766	1	5	24	0	day	-6.3	correction=0.86
1766	1	6	24	0	day	-7	correction=0.82
1766	1	7	24	0	day	-10.1	correction=0.78
1766	1	8	24	0	day	-9.7	correction=0.74
1766	1	9	24	0	day	-11	correction=0.69
1766	1	10	24	0	day	-14.6	correction=0.65
1766	1	11	24	0	day	-10.2	correction=0.61
1766	1	12	24	0	day	-8.3	correction=0.56
1766	1	13	24	0	day	-6.7	correction=0.52
1766	1	14	24	0	day	-5.3	correction=0.48
1766	1	15	24	0	day	-2	correction=0.43
1766	1	16	24	0	day	-4.6	correction=0.39
1766	1	17	24	0	day	-7.7	correction=0.35
1766	1	18	24	0	day	-8.1	correction=0.3
1766	1	19	24	0	day	-6.6	correction=0.26
1766	1	20	24	0	day	-2.5	correction=0.22
1766	1	21	24	0	day	-4.9	correction=0.18
1766	1	22	24	0	day	-4	correction=0.13
1766	1	23	24	0	day	-2.8	correction=0.09
1766	1	24	24	0	day	-3.3	correction=0.05
1766	1	25	24	0	day	-4.9	correction=0.01
1766	1	26	24	0	day	-5.2	correction=-0.03
1766	1	27	24	0	day	-4.8	correction=-0.07
1766	1	28	24	0	day	-0.7	correction=-0.11
1766	1	29	24	0	day	-1.1	correction=-0.15
1766	1	30	24	0	day	-5.6	correction=-0.19
1766	1	31	24	0	day	-7	correction=-0.23
1766	2	1	24	0	day	-6.3	correction=-0.27
1766	2	2	24	0	day	1.5	correction=-0.3
1766	2	3	24	0	day	0.2	correction=-0.34
1766	2	4	24	0	day	-1	correction=-0.38
1766	2	5	24	0	day	-4.2	correction=-0.41
1766	2	6	24	0	day	-7.6	correction=-0.44
1766	2	7	24	0	day	-9.9	correction=-0.48
1766	2	8	24	0	day	-7.2	correction=-0.51
1766	2	9	24	0	day	-11.2	correction=-0.54
1766	2	10	24	0	day	-12.8	correction=-0.57
1766	2	11	24	0	day	-3.5	correction=-0.6
1766	2	12	24	0	day	-0.6	correction=-0.63
1766	2	13	24	0	day	3.3	correction=-0.66
1766	2	14	24	0	day	3	correction=-0.69
1766	2	15	24	0	day	3.4	correction=-0.71
1766	2	16	24	0	day	2.9	correction=-0.74
1766	2	17	24	0	day	5.1	correction=-0.76
1766	2	18	24	0	day	5.4	correction=-0.78
1766	2	19	24	0	day	2	correction=-0.8
1766	2	20	24	0	day	-0.5	correction=-0.82
1766	2	21	24	0	day	0.5	correction=-0.84
1766	2	22	24	0	day	0.2	correction=-0.86
1766	2	23	24	0	day	-2.1	correction=-0.88
1766	2	24	24	0	day	-1.7	correction=-0.89
1766	2	25	24	0	day	-1.9	correction=-0.91
1766	2	26	24	0	day	-0.6	correction=-0.92
1766	2	27	24	0	day	0	correction=-0.93
1766	2	28	24	0	day	-0.8	correction=-0.95
1766	3	1	24	0	day	-0.4	correction=-0.96
1766	3	2	24	0	day	3.2	correction=-0.96
1766	3	3	24	0	day	5.8	correction=-0.97
1766	3	4	24	0	day	5.1	correction=-0.98
1766	3	5	24	0	day	5.2	correction=-0.98
1766	3	6	24	0	day	4.6	correction=-0.99
1766	3	7	24	0	day	5.5	correction=-0.99
1766	3	8	24	0	day	3.1	correction=-0.99
1766	3	9	24	0	day	2.3	correction=-0.99
1766	3	10	24	0	day	4.2	correction=-0.99
1766	3	11	24	0	day	5.7	correction=-0.99
1766	3	12	24	0	day	5.1	correction=-0.99
1766	3	13	24	0	day	5	correction=-0.98
1766	3	14	24	0	day	5	correction=-0.98
1766	3	15	24	0	day	4.7	correction=-0.97
1766	3	16	24	0	day	4.4	correction=-0.96
1766	3	17	24	0	day	4.7	correction=-0.95
1766	3	18	24	0	day	7.2	correction=-0.94
1766	3	19	24	0	day	1.1	correction=-0.93
1766	3	20	24	0	day	1.8	correction=-0.92
1766	3	21	24	0	day	2	correction=-0.91
1766	3	22	24	0	day	3.4	correction=-0.89
1766	3	23	24	0	day	1	correction=-0.88
1766	3	24	24	0	day	-0.8	correction=-0.86
1766	3	25	24	0	day	0	correction=-0.85
1766	3	26	24	0	day	6.6	correction=-0.83
1766	3	27	24	0	day	4.2	correction=-0.81
1766	3	28	24	0	day	2	correction=-0.79
1766	3	29	24	0	day	4.5	correction=-0.77
1766	3	30	24	0	day	7.1	correction=-0.75
1766	3	31	24	0	day	8.4	correction=-0.73
1766	4	1	24	0	day	5.8	correction=-0.7
1766	4	2	24	0	day	9.5	correction=-0.68
1766	4	3	24	0	day	10.1	correction=-0.66
1766	4	4	24	0	day	11.4	correction=-0.63
1766	4	5	24	0	day	10.8	correction=-0.61
1766	4	6	24	0	day	10	correction=-0.58
1766	4	7	24	0	day	10.6	correction=-0.55
1766	4	8	24	0	day	7.5	correction=-0.53
1766	4	9	24	0	day	6.4	correction=-0.5
1766	4	10	24	0	day	7.7	correction=-0.47
1766	4	11	24	0	day	8.7	correction=-0.44
1766	4	12	24	0	day	9.6	correction=-0.41
1766	4	13	24	0	day	10.3	correction=-0.38
1766	4	14	24	0	day	11.1	correction=-0.35
1766	4	15	24	0	day	10.8	correction=-0.32
1766	4	16	24	0	day	10.9	correction=-0.29
1766	4	17	24	0	day	12.1	correction=-0.26
1766	4	18	24	0	day	11.8	correction=-0.23
1766	4	19	24	0	day	10.9	correction=-0.2
1766	4	20	24	0	day	11.9	correction=-0.17
1766	4	21	24	0	day	10.3	correction=-0.14
1766	4	22	24	0	day	10.7	correction=-0.11
1766	4	23	24	0	day	13.6	correction=-0.08
1766	4	24	24	0	day	15.7	correction=-0.05
1766	4	25	24	0	day	15.6	correction=-0.01
1766	4	26	24	0	day	15.8	correction=0.02
1766	4	27	24	0	day	14.2	correction=0.05
1766	4	28	24	0	day	14.2	correction=0.08
1766	4	29	24	0	day	14.3	correction=0.11
1766	4	30	24	0	day	13.6	correction=0.14
1766	5	1	24	0	day	14.4	correction=0.17
1766	5	2	24	0	day	13.9	correction=0.2
1766	5	3	24	0	day	10.9	correction=0.23
1766	5	7	24	0	day	16.7	correction=0.34
1766	5	8	24	0	day	19.8	correction=0.37
1766	5	9	24	0	day	20.5	correction=0.4
1766	5	10	24	0	day	16.3	correction=0.43
1766	5	11	24	0	day	13.4	correction=0.45
1766	5	12	24	0	day	15.1	correction=0.48
1766	5	13	24	0	day	13.2	correction=0.5
1766	5	14	24	0	day	12	correction=0.53
1766	5	15	24	0	day	13.1	correction=0.55
1766	5	16	24	0	day	14.8	correction=0.57
1766	5	17	24	0	day	15	correction=0.6
1766	5	18	24	0	day	16.1	correction=0.62
1766	5	19	24	0	day	16.8	correction=0.64
1766	5	20	24	0	day	17	correction=0.66
1766	5	21	24	0	day	16.7	correction=0.68
1766	5	22	24	0	day	18.3	correction=0.7
1766	5	23	24	0	day	18.3	correction=0.71
1766	5	24	24	0	day	18.6	correction=0.73
1766	5	25	24	0	day	17.3	correction=0.75
1766	5	26	24	0	day	18.8	correction=0.76
1766	5	27	24	0	day	19.9	correction=0.78
1766	5	28	24	0	day	19.6	correction=0.79
1766	5	29	24	0	day	18.3	correction=0.81
1766	5	30	24	0	day	13.8	correction=0.82
1766	5	31	24	0	day	15.3	correction=0.83
1766	6	1	24	0	day	14.6	correction=0.84
1766	6	2	24	0	day	15.6	correction=0.85
1766	6	3	24	0	day	15.8	correction=0.86
1766	6	4	24	0	day	18.4	correction=0.87
1766	6	5	24	0	day	21.8	correction=0.87
1766	6	6	24	0	day	21.1	correction=0.88
1766	6	7	24	0	day	21	correction=0.89
1766	6	8	24	0	day	20.5	correction=0.89
1766	6	9	24	0	day	23	correction=0.89
1766	6	10	24	0	day	22.4	correction=0.9
1766	6	11	24	0	day	20.7	correction=0.9
1766	6	12	24	0	day	18	correction=0.9
1766	6	13	24	0	day	15.8	correction=0.9
1766	6	14	24	0	day	17.6	correction=0.9
1766	6	15	24	0	day	17.5	correction=0.9
1766	6	16	24	0	day	20.4	correction=0.9
1766	6	17	24	0	day	21.4	correction=0.89
1766	6	18	24	0	day	19.9	correction=0.89
1766	6	19	24	0	day	18.4	correction=0.89
1766	6	20	24	0	day	17.4	correction=0.88
1766	6	21	24	0	day	18.9	correction=0.88
1766	6	22	24	0	day	20.2	correction=0.87
1766	6	23	24	0	day	20.7	correction=0.86
1766	6	24	24	0	day	20.7	correction=0.86
1766	6	25	24	0	day	20.6	correction=0.85
1766	6	26	24	0	day	17.9	correction=0.84
1766	6	27	24	0	day	20.1	correction=0.83
1766	6	28	24	0	day	20.2	correction=0.82
1766	6	29	24	0	day	23.3	correction=0.81
1766	6	30	24	0	day	17.8	correction=0.8
1766	7	1	24	0	day	20	correction=0.79
1766	7	2	24	0	day	18	correction=0.78
1766	7	3	24	0	day	17.5	correction=0.76
1766	7	4	24	0	day	18.7	correction=0.75
1766	7	5	24	0	day	19.9	correction=0.74
1766	7	6	24	0	day	20.2	correction=0.72
1766	7	7	24	0	day	18.5	correction=0.71
1766	7	8	24	0	day	19.6	correction=0.7
1766	7	9	24	0	day	19.9	correction=0.68
1766	7	10	24	0	day	21.6	correction=0.67
1766	7	11	24	0	day	21.3	correction=0.65
1766	7	12	24	0	day	17	correction=0.64
1766	7	13	24	0	day	16.8	correction=0.62
1766	7	14	24	0	day	20.3	correction=0.61
1766	7	15	24	0	day	18.6	correction=0.59
1766	7	16	24	0	day	19.3	correction=0.58
1766	7	17	24	0	day	17.7	correction=0.56
1766	7	18	24	0	day	16.8	correction=0.55
1766	7	19	24	0	day	18.8	correction=0.53
1766	7	20	24	0	day	20	correction=0.52
1766	7	22	24	0	day	21.2	correction=0.49
1766	7	23	24	0	day	19	correction=0.47
1766	7	24	24	0	day	17.6	correction=0.46
1766	7	25	24	0	day	20.7	correction=0.44
1766	7	26	24	0	day	21.7	correction=0.43
1766	7	27	24	0	day	18.8	correction=0.42
1766	7	28	24	0	day	15.2	correction=0.4
1766	7	29	24	0	day	15.2	correction=0.39
1766	7	31	24	0	day	24	correction=0.37
1766	8	1	24	0	day	23.1	correction=0.35
1766	8	2	24	0	day	24.1	correction=0.34
1766	8	3	24	0	day	22.9	correction=0.33
1766	8	4	24	0	day	19.8	correction=0.32
1766	8	5	24	0	day	20.2	correction=0.31
1766	8	6	24	0	day	20.9	correction=0.3
1766	8	7	24	0	day	20.9	correction=0.29
1766	8	8	24	0	day	20.3	correction=0.28
1766	8	9	24	0	day	20.2	correction=0.28
1766	8	10	24	0	day	18.6	correction=0.27
1766	8	11	24	0	day	17.5	correction=0.26
1766	8	12	24	0	day	16.1	correction=0.26
1766	8	13	24	0	day	17.4	correction=0.25
1766	8	14	24	0	day	16.5	correction=0.25
1766	8	15	24	0	day	17.8	correction=0.24
1766	8	16	24	0	day	16.2	correction=0.24
1766	8	17	24	0	day	16.3	correction=0.24
1766	8	18	24	0	day	16.4	correction=0.24
1766	8	19	24	0	day	17.9	correction=0.24
1766	8	20	24	0	day	19.3	correction=0.24
1766	8	21	24	0	day	18.1	correction=0.24
1766	8	22	24	0	day	18.5	correction=0.24
1766	8	23	24	0	day	21.5	correction=0.24
1766	8	24	24	0	day	22.3	correction=0.25
1766	8	25	24	0	day	20.2	correction=0.25
1766	8	26	24	0	day	19.7	correction=0.26
1766	8	27	24	0	day	17.4	correction=0.26
1766	8	28	24	0	day	17.4	correction=0.27
1766	8	29	24	0	day	19.1	correction=0.28
1766	8	30	24	0	day	19.5	correction=0.28
1766	8	31	24	0	day	19.3	correction=0.29
