SEF	1.0.0
ID	Basel_Wolleb
Name	Basel
Lat	47.55936
Lon	7.58848
Alt	255
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Wolleb
Year	Month	Day	Hour	Minute	Period	Value	Meta
1777	4	NA	NA	NA	month	8.2	
1777	5	NA	NA	NA	month	13.7	
1777	6	NA	NA	NA	month	16.9	
1777	7	NA	NA	NA	month	17.7	
1777	8	NA	NA	NA	month	19.3	
1777	9	NA	NA	NA	month	14.9	
1777	10	NA	NA	NA	month	12	
1777	11	NA	NA	NA	month	7	
1777	12	NA	NA	NA	month	0.6	
1778	1	NA	NA	NA	month	NA	
1778	2	NA	NA	NA	month	0	
1778	3	NA	NA	NA	month	3.9	
1778	4	NA	NA	NA	month	10.1	
1778	5	NA	NA	NA	month	15.3	
1778	6	NA	NA	NA	month	17.2	
1778	7	NA	NA	NA	month	NA	
1778	8	NA	NA	NA	month	19.3	
1778	9	NA	NA	NA	month	12.8	
1778	10	NA	NA	NA	month	9.9	
1778	11	NA	NA	NA	month	7.5	
1778	12	NA	NA	NA	month	5.2	
1779	1	NA	NA	NA	month	-5.6	
1779	2	NA	NA	NA	month	1.5	
1779	3	NA	NA	NA	month	4.7	
1779	4	NA	NA	NA	month	11.7	
1779	5	NA	NA	NA	month	15.9	
1779	6	NA	NA	NA	month	15.8	
1779	7	NA	NA	NA	month	18.6	
1779	8	NA	NA	NA	month	18.5	
1779	9	NA	NA	NA	month	16.7	
1779	10	NA	NA	NA	month	13	
1779	11	NA	NA	NA	month	7.6	
1779	12	NA	NA	NA	month	6.3	
1780	1	NA	NA	NA	month	-2.5	
1780	2	NA	NA	NA	month	-2.3	
1780	3	NA	NA	NA	month	6.9	
1780	4	NA	NA	NA	month	7.4	
1780	5	NA	NA	NA	month	15.2	
1780	6	NA	NA	NA	month	18.4	
1780	7	NA	NA	NA	month	19.5	
1780	8	NA	NA	NA	month	19.6	
1780	9	NA	NA	NA	month	15.7	
1780	10	NA	NA	NA	month	11.9	
1780	11	NA	NA	NA	month	5.8	
1780	12	NA	NA	NA	month	0.5	
1781	1	NA	NA	NA	month	0.4	
1781	2	NA	NA	NA	month	2.3	
1781	3	NA	NA	NA	month	5.2	
1781	4	NA	NA	NA	month	10.9	
1781	5	NA	NA	NA	month	16.1	
1781	6	NA	NA	NA	month	18.4	
1781	7	NA	NA	NA	month	19.4	
1781	8	NA	NA	NA	month	19.5	
1781	9	NA	NA	NA	month	15.9	
1781	10	NA	NA	NA	month	9.3	
1781	11	NA	NA	NA	month	6.2	
1781	12	NA	NA	NA	month	4.1	
1782	1	NA	NA	NA	month	2	
1782	2	NA	NA	NA	month	-4.8	
1782	3	NA	NA	NA	month	2.9	
1782	4	NA	NA	NA	month	7.2	
1782	5	NA	NA	NA	month	13.4	
1782	6	NA	NA	NA	month	19.5	
1782	7	NA	NA	NA	month	20.8	
1782	8	NA	NA	NA	month	17.4	
1782	9	NA	NA	NA	month	14.5	
1782	10	NA	NA	NA	month	8.2	
1782	11	NA	NA	NA	month	2.5	
1782	12	NA	NA	NA	month	0.5	
1783	1	NA	NA	NA	month	3.7	
1783	2	NA	NA	NA	month	2.8	
1783	3	NA	NA	NA	month	2.9	
1783	4	NA	NA	NA	month	9.3	
1783	5	NA	NA	NA	month	14.5	
1783	6	NA	NA	NA	month	17.1	
1783	7	NA	NA	NA	month	20.7	
1783	8	NA	NA	NA	month	17.5	
1783	9	NA	NA	NA	month	15.1	
1783	10	NA	NA	NA	month	11.4	
1783	11	NA	NA	NA	month	6.2	
1783	12	NA	NA	NA	month	1	
1784	1	NA	NA	NA	month	-3.9	
1784	2	NA	NA	NA	month	-3.1	
1784	3	NA	NA	NA	month	2.9	
1784	4	NA	NA	NA	month	6.3	
1784	5	NA	NA	NA	month	16.8	
1784	6	NA	NA	NA	month	18.7	
1784	7	NA	NA	NA	month	19.6	
1784	8	NA	NA	NA	month	16.6	
1784	9	NA	NA	NA	month	17.3	
1784	10	NA	NA	NA	month	7.3	
1784	11	NA	NA	NA	month	5.9	
1784	12	NA	NA	NA	month	-0.3	
1785	1	NA	NA	NA	month	0.2	
1785	2	NA	NA	NA	month	-2.3	
1785	3	NA	NA	NA	month	-2.8	
1785	4	NA	NA	NA	month	5.7	
1785	5	NA	NA	NA	month	14.9	
