SEF	1.0.0
ID	Basel_Wolleb
Name	Basel
Lat	47.55936
Lon	7.58848
Alt	255
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Wolleb
Year	Month	Day	Hour	Minute	Period	Value	Meta
1777	4	5	24	0	day	0.4	correction=-1.62
1777	4	6	24	0	day	0	correction=-1.58
1777	4	7	24	0	day	-0.3	correction=-1.54
1777	4	8	24	0	day	1.9	correction=-1.5
1777	4	9	24	0	day	7.3	correction=-1.45
1777	4	10	24	0	day	8.1	correction=-1.41
1777	4	11	24	0	day	9.5	correction=-1.37
1777	4	12	24	0	day	13.4	correction=-1.33
1777	4	13	24	0	day	10.1	correction=-1.29
1777	4	14	24	0	day	8.9	correction=-1.25
1777	4	15	24	0	day	7.9	correction=-1.21
1777	4	16	24	0	day	7.9	correction=-1.17
1777	4	17	24	0	day	9.8	correction=-1.12
1777	4	18	24	0	day	11.5	correction=-1.08
1777	4	19	24	0	day	8	correction=-1.04
1777	4	20	24	0	day	8.7	correction=-1
1777	4	21	24	0	day	7.6	correction=-0.96
1777	4	22	24	0	day	14.3	correction=-0.92
1777	4	23	24	0	day	13.6	correction=-0.88
1777	4	24	24	0	day	11.1	correction=-0.84
1777	4	25	24	0	day	9.9	correction=-0.8
1777	4	26	24	0	day	9.1	correction=-0.76
1777	4	27	24	0	day	5.7	correction=-0.73
1777	4	28	24	0	day	6.9	correction=-0.69
1777	4	29	24	0	day	10.5	correction=-0.65
1777	4	30	24	0	day	12.5	correction=-0.61
1777	5	1	24	0	day	14.7	correction=-0.58
1777	5	2	24	0	day	13.3	correction=-0.54
1777	5	3	24	0	day	14	correction=-0.51
1777	5	4	24	0	day	11.5	correction=-0.48
1777	5	5	24	0	day	13.5	correction=-0.44
1777	5	6	24	0	day	13.1	correction=-0.41
1777	5	7	24	0	day	14.1	correction=-0.38
1777	5	8	24	0	day	15.4	correction=-0.35
1777	5	9	24	0	day	15.7	correction=-0.32
1777	5	10	24	0	day	13.7	correction=-0.29
1777	5	11	24	0	day	12.9	correction=-0.26
1777	5	12	24	0	day	10.9	correction=-0.24
1777	5	13	24	0	day	14.2	correction=-0.21
1777	5	14	24	0	day	10.8	correction=-0.19
1777	5	15	24	0	day	10.1	correction=-0.16
1777	5	16	24	0	day	9.6	correction=-0.14
1777	5	17	24	0	day	10.3	correction=-0.12
1777	5	18	24	0	day	9.7	correction=-0.1
1777	5	19	24	0	day	13.5	correction=-0.08
1777	5	20	24	0	day	16.3	correction=-0.06
1777	5	21	24	0	day	14.3	correction=-0.04
1777	5	22	24	0	day	15	correction=-0.02
1777	5	23	24	0	day	17.7	correction=-0.01
1777	5	24	24	0	day	16.7	correction=0.01
1777	5	25	24	0	day	14	correction=0.02
1777	5	26	24	0	day	14.2	correction=0.03
1777	5	27	24	0	day	13.5	correction=0.04
1777	5	28	24	0	day	13.1	correction=0.05
1777	5	29	24	0	day	15.1	correction=0.06
1777	5	30	24	0	day	14.6	correction=0.07
1777	5	31	24	0	day	17.7	correction=0.07
1777	6	1	24	0	day	20	correction=0.08
1777	6	2	24	0	day	21.1	correction=0.08
1777	6	3	24	0	day	22.2	correction=0.09
1777	6	4	24	0	day	21.7	correction=0.09
1777	6	5	24	0	day	21.7	correction=0.09
1777	6	6	24	0	day	18.2	correction=0.09
1777	6	7	24	0	day	14.6	correction=0.09
1777	6	8	24	0	day	15.6	correction=0.09
1777	6	9	24	0	day	14.4	correction=0.08
1777	6	10	24	0	day	13.4	correction=0.08
1777	6	11	24	0	day	14.7	correction=0.07
1777	6	12	24	0	day	15.7	correction=0.07
1777	6	13	24	0	day	14.4	correction=0.06
1777	6	14	24	0	day	17.2	correction=0.05
1777	6	15	24	0	day	18	correction=0.04
1777	6	16	24	0	day	20.4	correction=0.04
1777	6	17	24	0	day	19.3	correction=0.02
1777	6	18	24	0	day	16	correction=0.01
1777	6	19	24	0	day	15.2	correction=0
1777	6	20	24	0	day	18.1	correction=-0.01
1777	6	21	24	0	day	15	correction=-0.03
1777	6	22	24	0	day	15.4	correction=-0.04
1777	6	23	24	0	day	14	correction=-0.06
1777	6	24	24	0	day	14.3	correction=-0.07
1777	6	25	24	0	day	14.3	correction=-0.09
1777	6	26	24	0	day	16.1	correction=-0.11
1777	6	27	24	0	day	16.9	correction=-0.12
1777	6	28	24	0	day	16.5	correction=-0.14
1777	6	29	24	0	day	16.2	correction=-0.16
1777	6	30	24	0	day	16.3	correction=-0.18
1777	7	1	24	0	day	15.9	correction=-0.2
1777	7	2	24	0	day	16.5	correction=-0.22
1777	7	3	24	0	day	22.2	correction=-0.24
1777	7	4	24	0	day	18.4	correction=-0.26
1777	7	5	24	0	day	17.6	correction=-0.28
1777	7	6	24	0	day	18	correction=-0.3
1777	7	7	24	0	day	16.7	correction=-0.33
1777	7	8	24	0	day	14.1	correction=-0.35
1777	7	9	24	0	day	14.1	correction=-0.37
1777	7	10	24	0	day	15.2	correction=-0.39
1777	7	11	24	0	day	18	correction=-0.41
1777	7	12	24	0	day	16.1	correction=-0.44
1777	7	13	24	0	day	18.5	correction=-0.46
1777	7	14	24	0	day	18.5	correction=-0.48
1777	7	15	24	0	day	19.6	correction=-0.5
1777	7	16	24	0	day	20	correction=-0.52
1777	7	17	24	0	day	21.4	correction=-0.55
1777	7	18	24	0	day	23.3	correction=-0.57
1777	7	19	24	0	day	18.9	correction=-0.59
1777	7	20	24	0	day	19.3	correction=-0.61
1777	7	21	24	0	day	19.1	correction=-0.63
