SEF	1.0.0
ID	Basel_Zwinger
Name	Basel
Lat	47.558
Lon	7.588
Alt	NA
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Zwinger
Year	Month	Day	Hour	Minute	Period	Value	Meta
1755	1	1	24	0	day	-0.5	correction=0.26
1755	1	2	24	0	day	-1	correction=0.26
1755	1	3	24	0	day	-1.9	correction=0.26
1755	1	4	24	0	day	-4.2	correction=0.26
1755	1	5	24	0	day	-7.6	correction=0.26
1755	1	6	24	0	day	-10.6	correction=0.26
1755	1	7	24	0	day	-12.6	correction=0.26
1755	1	8	24	0	day	-12.1	correction=0.26
1755	1	9	24	0	day	-12.1	correction=0.26
1755	1	10	24	0	day	-7.5	correction=0.26
1755	1	11	24	0	day	-5.6	correction=0.26
1755	1	12	24	0	day	-4.6	correction=0.26
1755	1	13	24	0	day	-4.2	correction=0.26
1755	1	14	24	0	day	-1.9	correction=0.26
1755	1	15	24	0	day	0.3	correction=0.26
1755	1	16	24	0	day	-0.9	correction=0.26
1755	1	17	24	0	day	1.4	correction=0.26
1755	1	18	24	0	day	1.9	correction=0.26
1755	1	19	24	0	day	2.2	correction=0.26
1755	1	20	24	0	day	2.3	correction=0.26
1755	1	21	24	0	day	0.7	correction=0.26
1755	1	22	24	0	day	-3.2	correction=0.26
1755	1	23	24	0	day	-5.4	correction=0.26
1755	1	24	24	0	day	-5.4	correction=0.26
1755	1	25	24	0	day	-6.9	correction=0.26
1755	1	26	24	0	day	-7.7	correction=0.26
1755	1	27	24	0	day	-9.5	correction=0.26
1755	1	28	24	0	day	-6.4	correction=0.26
1755	1	29	24	0	day	-5.8	correction=0.26
1755	1	30	24	0	day	-3.7	correction=0.26
1755	1	31	24	0	day	-5.6	correction=0.26
1755	2	1	24	0	day	-5.8	correction=0.26
1755	2	2	24	0	day	-6.5	correction=0.26
1755	2	3	24	0	day	-6.1	correction=0.26
1755	2	4	24	0	day	-12.6	correction=0.26
1755	2	5	24	0	day	-12.6	correction=0.26
1755	2	6	24	0	day	-8.9	correction=0.26
1755	2	7	24	0	day	-0.7	correction=0.26
1755	2	8	24	0	day	-0.5	correction=0.26
1755	2	9	24	0	day	0.1	correction=0.26
1755	2	10	24	0	day	1.3	correction=0.26
1755	2	11	24	0	day	2.3	correction=0.26
1755	2	12	24	0	day	3.6	correction=0.26
1755	2	13	24	0	day	2.3	correction=0.26
1755	2	14	24	0	day	1.2	correction=0.26
1755	2	15	24	0	day	1.8	correction=0.26
1755	2	16	24	0	day	0.2	correction=0.26
1755	2	17	24	0	day	0.2	correction=0.26
1755	2	18	24	0	day	-0.8	correction=0.26
1755	2	19	24	0	day	-1.6	correction=0.26
1755	2	20	24	0	day	-1.5	correction=0.26
1755	2	21	24	0	day	-3.1	correction=0.26
1755	2	22	24	0	day	-2.7	correction=0.26
1755	2	23	24	0	day	-2.2	correction=0.26
1755	2	24	24	0	day	-0.3	correction=0.26
1755	2	25	24	0	day	1.2	correction=0.26
1755	2	26	24	0	day	0.8	correction=0.26
1755	2	27	24	0	day	2	correction=0.26
1755	2	28	24	0	day	3.6	correction=0.26
1755	3	1	24	0	day	5.4	correction=0.26
1755	3	2	24	0	day	3.4	correction=0.26
1755	3	3	24	0	day	3.7	correction=0.26
1755	3	4	24	0	day	3.7	correction=0.26
1755	3	5	24	0	day	3.5	correction=0.26
1755	3	6	24	0	day	4.9	correction=0.26
1755	3	7	24	0	day	3.7	correction=0.26
1755	3	8	24	0	day	3.8	correction=0.26
1755	3	9	24	0	day	3.3	correction=0.26
1755	3	10	24	0	day	3.9	correction=0.26
1755	3	11	24	0	day	2	correction=0.26
1755	3	12	24	0	day	2.7	correction=0.26
1755	3	13	24	0	day	2.1	correction=0.26
1755	3	14	24	0	day	2.4	correction=0.26
1755	3	15	24	0	day	2.4	correction=0.26
1755	3	16	24	0	day	3.7	correction=0.26
1755	3	17	24	0	day	3.2	correction=0.26
1755	3	18	24	0	day	3.3	correction=0.26
1755	3	19	24	0	day	3.8	correction=0.26
1755	3	20	24	0	day	2.8	correction=0.26
1755	3	21	24	0	day	3.8	correction=0.26
1755	3	22	24	0	day	3.6	correction=0.26
1755	3	23	24	0	day	3.2	correction=0.26
1755	3	24	24	0	day	4.9	correction=0.26
1755	3	25	24	0	day	4.8	correction=0.26
1755	3	26	24	0	day	8	correction=0.26
1755	3	27	24	0	day	10.8	correction=0.26
1755	3	28	24	0	day	9.9	correction=0.26
1755	3	29	24	0	day	11.3	correction=0.26
1755	3	30	24	0	day	10.5	correction=0.26
1755	3	31	24	0	day	11.1	correction=0.26
1755	4	1	24	0	day	12.7	correction=0.26
1755	4	2	24	0	day	12.7	correction=0.26
1755	4	3	24	0	day	12.7	correction=0.26
1755	4	4	24	0	day	12.7	correction=0.26
1755	4	5	24	0	day	14.4	correction=0.26
1755	4	6	24	0	day	11.2	correction=0.26
1755	4	7	24	0	day	12.3	correction=0.26
1755	4	8	24	0	day	12.7	correction=0.26
1755	4	9	24	0	day	11.9	correction=0.26
1755	4	10	24	0	day	14.2	correction=0.26
1755	4	11	24	0	day	14.2	correction=0.26
1755	4	12	24	0	day	13.4	correction=0.26
1755	4	13	24	0	day	12.8	correction=0.26
1755	4	14	24	0	day	13.5	correction=0.26
1755	4	15	24	0	day	13.7	correction=0.26
1755	4	16	24	0	day	14.3	correction=0.26
1755	4	17	24	0	day	14.6	correction=0.26
1755	4	18	24	0	day	14.5	correction=0.26
1755	4	19	24	0	day	15.4	correction=0.26
1755	4	20	24	0	day	18.1	correction=0.26
1755	4	21	24	0	day	17.7	correction=0.26
1755	4	22	24	0	day	18.1	correction=0.26
1755	4	23	24	0	day	18.6	correction=0.26
1755	4	24	24	0	day	17.2	correction=0.26
1755	4	25	24	0	day	14.5	correction=0.26
1755	4	26	24	0	day	16.9	correction=0.26
1755	4	27	24	0	day	13.4	correction=0.26
1755	4	28	24	0	day	12.9	correction=0.26
1755	4	29	24	0	day	10.1	correction=0.26
1755	4	30	24	0	day	8.6	correction=0.26
1755	5	1	24	0	day	8.3	correction=0.26
1755	5	2	24	0	day	10.3	correction=0.26
1755	5	3	24	0	day	13	correction=0.26
1755	5	4	24	0	day	8.1	correction=0.26
1755	5	5	24	0	day	10	correction=0.26
1755	5	6	24	0	day	12.3	correction=0.26
1755	5	7	24	0	day	14.3	correction=0.26
1755	5	8	24	0	day	12.7	correction=0.26
1755	5	9	24	0	day	10	correction=0.26
1755	5	10	24	0	day	10.3	correction=0.26
1755	5	11	24	0	day	12.5	correction=0.26
1755	5	12	24	0	day	12	correction=0.26
1755	5	13	24	0	day	11.5	correction=0.26
1755	5	14	24	0	day	11.1	correction=0.26
1755	5	15	24	0	day	11.9	correction=0.26
1755	5	16	24	0	day	12.4	correction=0.26
1755	5	17	24	0	day	12.9	correction=0.26
1755	5	18	24	0	day	8.9	correction=0.26
1755	5	19	24	0	day	7.3	correction=0.26
1755	5	20	24	0	day	7.7	correction=0.26
1755	5	21	24	0	day	9.7	correction=0.26
1755	5	22	24	0	day	10.7	correction=0.26
1755	5	23	24	0	day	11.5	correction=0.26
1755	5	24	24	0	day	13.7	correction=0.26
1755	5	25	24	0	day	14.8	correction=0.26
1755	5	26	24	0	day	15.9	correction=0.26
1755	5	27	24	0	day	16	correction=0.26
1755	5	28	24	0	day	17.9	correction=0.26
1755	5	29	24	0	day	12.9	correction=0.26
1755	5	30	24	0	day	13	correction=0.26
1755	5	31	24	0	day	14.3	correction=0.26
