Date,Ta_mean,Std_err
1755-01,-4.5,0.12
1755-02,-1.6,0.16
1755-03,4.8,0.19
1755-04,14,0.24
1755-05,11.9,0.27
1755-06,20.2,0.24
1755-07,18.9,0.23
1755-08,15.9,0.21
1755-09,13.5,0.17
1755-10,9.9,0.13
1755-11,7.2,0.11
1755-12,2.7,0.1
1756-01,3.3,0.11
1756-02,2.1,0.14
1756-03,4.2,0.18
1756-04,7.8,0.23
1756-05,12.8,0.24
1756-06,19.7,0.24
1756-07,19.1,0.23
1756-08,16.8,0.21
1756-09,15.3,0.17
1756-10,10.2,0.14
1756-11,4.2,0.11
1756-12,-0.5,0.1
1757-01,-1.6,0.11
1757-02,0.2,0.14
1757-03,3.3,0.16
1757-04,9.9,0.2
1757-05,14.6,0.23
1757-06,18.6,0.24
1757-07,20.7,0.23
1757-08,17.4,0.22
1757-09,12,0.18
1757-10,6.4,0.14
1757-11,7.1,0.12
1757-12,1.8,0.1
1758-01,-4,0.11
1758-02,0.3,0.14
1758-03,4.5,0.16
1758-04,8.4,0.2
1758-05,15.5,0.23
1758-06,19.1,0.24
1758-07,15.3,0.23
1758-08,17.4,0.21
1758-09,12.7,0.18
1758-10,8.9,0.13
1758-11,5.4,0.11
1758-12,2.9,0.1
1759-01,1.6,0.11
1759-02,2.1,0.14
1759-03,4.5,0.16
1759-04,10.6,0.2
1759-05,15.1,0.23
1759-06,17.9,0.24
1759-07,22.1,0.23
1759-08,17.7,0.21
1759-09,15.4,0.18
1759-10,12.3,0.13
1759-11,3.2,0.11
1759-12,0.9,0.1
1760-01,0.3,0.11
1760-02,1.5,0.13
1760-03,3.3,0.16
1760-04,11.7,0.2
1760-05,15.3,0.23
1760-06,19.2,0.24
1760-07,20,0.24
1760-08,17.5,0.21
1760-09,15.5,0.17
1760-10,11.2,0.14
1760-11,7,0.11
1760-12,6,0.1
1761-01,-2,0.11
1761-02,3.2,0.14
1761-03,6.3,0.16
1761-04,9.2,0.2
1761-05,15.8,0.23
1761-06,18.3,0.24
1761-07,NA,NA
1761-08,NA,NA
1761-09,NA,NA
1761-10,9.2,0.13
1761-11,6.1,0.11
1761-12,-0.9,0.1
1762-01,2.4,0.11
1762-02,0.9,0.14
1762-03,1.5,0.16
1762-04,12.4,0.2
1762-05,16.7,0.23
1762-06,18,0.24
1762-07,21.6,0.23
1762-08,17.6,0.21
1762-09,14.5,0.17
1762-10,9.2,0.13
1762-11,5.4,0.11
1762-12,-2,0.1
1763-01,-4.8,0.11
1763-02,4.4,0.14
1763-03,3,0.16
1763-04,9.1,0.2
1763-05,13.3,0.23
1763-06,18,0.24
1763-07,19.5,0.23
1763-08,20.4,0.21
1763-09,13.8,0.17
1763-10,9.2,0.14
1763-11,5.8,0.11
1763-12,4.5,0.1
1764-01,4.8,0.11
1764-02,3.8,0.14
1764-03,2.2,0.16
1764-04,8.2,0.2
1764-05,16.3,0.23
1764-06,19,0.24
1764-07,20.7,0.23
1764-08,16.5,0.21
1764-09,13.4,0.17
1764-10,9,0.13
1764-11,6.5,0.11
1764-12,3.7,0.1
1765-01,2.6,0.11
1765-02,-1.6,0.14
1765-03,6.4,0.16
1765-04,9.1,0.2
1765-05,14.4,0.23
1765-06,19.3,0.24
1765-07,18.2,0.23
1765-08,17.5,0.24
1765-09,14.5,0.18
1765-10,11.5,0.13
1765-11,5.6,0.11
1765-12,0.3,0.1
1766-01,-6.6,0.11
1766-02,-2,0.14
1766-03,3.8,0.16
1766-04,10.9,0.2
1766-05,15.4,0.23
1766-06,18.2,0.24
1766-07,18.1,0.23
1766-08,18.6,0.21
1766-09,15.8,0.18
1766-10,11.3,0.14
1766-11,5.3,0.11
1766-12,0.2,0.1
1767-01,-4.9,0.11
1767-02,5.2,0.14
1767-03,3.8,0.16
1767-04,7.8,0.2
1767-05,12.9,0.23
1767-06,17.4,0.25
1767-07,19.3,0.23
1767-08,18.4,0.21
1767-09,15,0.17
1767-10,10.9,0.13
1767-11,8.7,0.11
1767-12,-0.3,0.1
1768-01,-2.3,0.11
1768-02,1.1,0.13
1768-03,2.2,0.16
1768-04,9.9,0.2
1768-05,15.6,0.23
1768-06,17.5,0.24
1768-07,19.3,0.23
1768-08,18.2,0.21
1768-09,14.2,0.17
1768-10,11.5,0.13
1768-11,7.4,0.11
1768-12,2.5,0.1
1769-01,1.4,0.11
1769-02,2,0.14
1769-03,3.2,0.16
1769-04,9.7,0.2
1769-05,15.2,0.23
1769-06,16.6,0.24
1769-07,19.1,0.23
1769-08,18,0.21
1769-09,15,0.17
1769-10,6.9,0.13
1769-11,8.4,0.11
1769-12,3.6,0.1
1770-01,-0.6,0.11
1770-02,-0.3,0.14
1770-03,1.9,0.16
1770-04,6.4,0.2
1770-05,14.8,0.23
1770-06,16.7,0.24
1770-07,16.5,0.23
1770-08,18,0.21
1770-09,16.5,0.17
1770-10,10.1,0.13
1770-11,7.7,0.11
1770-12,4,0.1
1771-01,0.3,0.11
1771-02,0.3,0.14
1771-03,2.8,0.16
1771-04,6.6,0.2
1771-05,17,0.23
1771-06,15.9,0.24
1771-07,19.7,0.23
1771-08,17,0.21
1771-09,14.6,0.17
1771-10,10.6,0.14
1771-11,3.3,0.11
1771-12,3.6,0.1
1772-01,-0.3,0.11
1772-02,3.5,0.13
1772-03,6.3,0.16
1772-04,8.3,0.2
1772-05,12.5,0.23
1772-06,19.8,0.24
1772-07,19.2,0.23
1772-08,18,0.21
1772-09,16.3,0.17
1772-10,12.6,0.13
1772-11,7.9,0.11
1772-12,3.1,0.1
1773-01,2.5,0.11
1773-02,-1.9,0.14
1773-03,4,0.16
1773-04,8.5,0.2
1773-05,14,0.23
1773-06,17,0.24
1773-07,17,0.23
1773-08,17.5,0.21
1773-09,15.5,0.17
1773-10,11.4,0.13
