SEF	1.0.0
ID	Bern_Fueter
Name	Bern
Lat	46.946688
Lon	7.432487
Alt	540
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Fueter
Year	Month	Day	Hour	Minute	Period	Value	Meta
1803	12	10	24	0	day	-7.5	
1803	12	11	24	0	day	-1.2	
1803	12	12	24	0	day	-0.1	
1803	12	13	24	0	day	6.1	
1804	1	11	24	0	day	0.5	
1804	2	7	24	0	day	-3.3	
1804	2	8	24	0	day	-9.5	
1804	2	9	24	0	day	-6.2	
1804	2	10	24	0	day	1.3	
1804	2	11	24	0	day	5.3	
1804	2	12	24	0	day	5.3	
1804	2	13	24	0	day	3	
1804	2	14	24	0	day	-0.4	
1804	2	16	24	0	day	-1.5	
1804	2	17	24	0	day	-1.5	
1804	2	18	24	0	day	-0.9	
1804	2	19	24	0	day	-3.1	
1804	2	21	24	0	day	0.4	
1804	2	22	24	0	day	1.1	
1804	2	23	24	0	day	3.2	
1804	2	24	24	0	day	2.7	
1804	2	25	24	0	day	2.2	
1804	2	27	24	0	day	0	
1804	2	29	24	0	day	1.2	
1804	3	1	24	0	day	0.6	
1804	3	2	24	0	day	-7.1	
1804	3	3	24	0	day	-6.1	
1804	3	4	24	0	day	-5.5	
1804	3	5	24	0	day	0.2	
1804	3	6	24	0	day	4.1	
1804	12	3	24	0	day	0.5	
1804	12	4	24	0	day	-2.4	
1804	12	18	24	0	day	-0.2	
1804	12	20	24	0	day	-2.5	
1804	12	21	24	0	day	-7.1	
1804	12	22	24	0	day	-5.9	
1804	12	23	24	0	day	-3.6	
1804	12	24	24	0	day	-1.3	
1804	12	25	24	0	day	-0.8	
1804	12	26	24	0	day	-0.2	
1804	12	31	24	0	day	-0.8	
1805	1	10	24	0	day	-2.5	
1805	1	11	24	0	day	-2.4	
1805	1	12	24	0	day	-5.3	
1805	1	13	24	0	day	-4.1	
1805	1	14	24	0	day	1.6	
1805	1	15	24	0	day	4.4	
1805	1	16	24	0	day	4.4	
1805	1	17	24	0	day	-1.2	
1805	1	20	24	0	day	-1.8	
1805	2	6	24	0	day	6.9	
1805	2	7	24	0	day	-3.3	
1805	2	8	24	0	day	-2.2	
1805	2	10	24	0	day	2.4	
1805	2	14	24	0	day	-0.9	
1805	2	15	24	0	day	-2.1	
1805	2	16	24	0	day	-0.9	
1805	2	17	24	0	day	-1.4	
1805	2	19	24	0	day	4.3	
1805	4	1	24	0	day	6.7	
1805	4	2	24	0	day	8.8	
1805	4	3	24	0	day	9.3	
1805	4	4	24	0	day	8.5	
1805	4	5	24	0	day	8.2	
1805	4	6	24	0	day	6.6	
1805	4	7	24	0	day	6.9	
1805	4	8	24	0	day	7	
1805	4	9	24	0	day	7.9	
1805	4	10	24	0	day	7.9	
1805	4	11	24	0	day	7.8	
1805	4	12	24	0	day	7.8	
1805	4	13	24	0	day	9.6	
1805	4	14	24	0	day	10.6	
1805	4	15	24	0	day	10.5	
1805	4	16	24	0	day	9.6	
1805	4	17	24	0	day	10	
1805	4	18	24	0	day	9.6	
1805	4	19	24	0	day	8.7	
1805	4	20	24	0	day	7.9	
1805	4	21	24	0	day	8.2	
1805	4	22	24	0	day	9.1	
1805	4	23	24	0	day	8.1	
1805	4	24	24	0	day	8.8	
1805	4	25	24	0	day	9.7	
1805	4	26	24	0	day	9	
1805	4	27	24	0	day	10	
1805	4	28	24	0	day	10	
1805	4	29	24	0	day	11.1	
1805	4	30	24	0	day	12.1	
1805	5	1	24	0	day	13.5	
1805	5	2	24	0	day	13.5	
1805	5	3	24	0	day	14.3	
1805	5	4	24	0	day	13.9	
1805	5	5	24	0	day	11.5	
1805	5	6	24	0	day	10.6	
1805	5	7	24	0	day	11.2	
1805	5	8	24	0	day	13.6	
1805	5	9	24	0	day	14.2	
1805	5	10	24	0	day	11.5	
1805	5	11	24	0	day	12.7	
1805	5	12	24	0	day	11.2	
1805	5	13	24	0	day	10.4	
1805	5	14	24	0	day	10.4	
1805	5	15	24	0	day	10.7	
1805	5	16	24	0	day	12.3	
1805	5	17	24	0	day	14.7	
1805	5	18	24	0	day	14.2	
1805	5	19	24	0	day	15.1	
1805	5	20	24	0	day	16.5	
1805	5	21	24	0	day	16.7	
1805	5	22	24	0	day	17.6	
1805	5	23	24	0	day	16	
1805	5	24	24	0	day	13.6	
1805	5	25	24	0	day	11.6	
1805	5	26	24	0	day	12.2	
1805	5	27	24	0	day	14.5	
1805	5	28	24	0	day	15.5	
1805	5	29	24	0	day	15.6	
1805	5	30	24	0	day	16.4	
1805	5	31	24	0	day	16.9	
1805	6	1	24	0	day	14.3	
1805	6	2	24	0	day	13.9	
1805	6	3	24	0	day	15.7	
1805	6	4	24	0	day	16.2	
1805	6	5	24	0	day	15.8	
1805	6	6	24	0	day	14.5	
1805	6	7	24	0	day	15.4	
1805	6	8	24	0	day	16.7	
1805	6	9	24	0	day	18.5	
1805	6	10	24	0	day	19.4	
1805	6	11	24	0	day	16.8	
1805	6	12	24	0	day	16.4	
1805	6	13	24	0	day	17.8	
1805	6	14	24	0	day	19.5	
1805	6	15	24	0	day	16.1	
1805	6	16	24	0	day	14.8	
1805	6	17	24	0	day	14.8	
1805	6	18	24	0	day	15.7	
1805	6	19	24	0	day	15.7	
1805	6	20	24	0	day	14.9	
1805	6	21	24	0	day	13.3	
1805	6	22	24	0	day	11.8	
1805	6	23	24	0	day	13.4	
1805	6	24	24	0	day	15.9	
1805	6	25	24	0	day	13.4	
1805	6	26	24	0	day	15.4	
1805	6	27	24	0	day	15	
1805	6	28	24	0	day	16	
1805	6	29	24	0	day	16	
1805	6	30	24	0	day	16.9	
1805	7	1	24	0	day	16.9	
1805	7	2	24	0	day	17.7	
1805	7	3	24	0	day	18.7	
