SEF	1.0.0
ID	Bern_Koch
Name	Bern
Lat	46.947314
Lon	7.446542
Alt	546
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Koch|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1855	5	26	24	0	day	17.8	
1855	5	27	24	0	day	16.3	
1855	5	28	24	0	day	16.2	
1855	5	29	24	0	day	15.7	
1855	5	30	24	0	day	15.4	
1855	5	31	24	0	day	14.6	
1855	6	1	24	0	day	16.1	
1855	6	2	24	0	day	16.1	
1855	6	3	24	0	day	16	
1855	6	4	24	0	day	17.3	
1855	6	5	24	0	day	17.9	
1855	6	6	24	0	day	19.4	
1855	6	7	24	0	day	21.2	
1855	6	8	24	0	day	21.5	
1855	6	9	24	0	day	18.7	
1855	6	10	24	0	day	19.7	
1855	6	11	24	0	day	20.8	
1855	6	12	24	0	day	20	
1855	6	13	24	0	day	19.6	
1855	6	14	24	0	day	18	
1855	6	15	24	0	day	16.8	
1855	6	16	24	0	day	12.9	
1855	6	17	24	0	day	13.1	
1855	6	18	24	0	day	12.4	
1855	6	19	24	0	day	12.4	
1855	6	20	24	0	day	8.6	
1855	6	21	24	0	day	9.4	
1855	6	22	24	0	day	12.8	
1855	6	23	24	0	day	12.5	
1855	6	24	24	0	day	12.3	
1855	6	25	24	0	day	12.4	
1855	6	26	24	0	day	13.6	
1855	6	27	24	0	day	16	
1855	6	28	24	0	day	17.6	
1855	6	29	24	0	day	19.1	
1855	6	30	24	0	day	20.2	
1855	7	1	24	0	day	18.5	
1855	7	2	24	0	day	18.7	
1855	7	3	24	0	day	18	
1855	7	4	24	0	day	18.4	
1855	7	5	24	0	day	20	
1855	7	6	24	0	day	17.6	
1855	7	7	24	0	day	20.1	
1855	7	8	24	0	day	20	
1855	7	9	24	0	day	19.7	
1855	7	10	24	0	day	20.1	
1855	7	11	24	0	day	18.1	
1855	7	12	24	0	day	15.8	
1855	7	13	24	0	day	17.9	
1855	7	14	24	0	day	20.5	
1855	7	15	24	0	day	19.7	
1855	7	16	24	0	day	18.1	
1855	7	17	24	0	day	16.2	
1855	7	18	24	0	day	16.3	
1855	7	19	24	0	day	17.4	
1855	7	20	24	0	day	17.1	
1855	7	21	24	0	day	15.5	
1855	7	22	24	0	day	16.1	
1855	7	23	24	0	day	16.7	
1855	7	24	24	0	day	17.8	
1855	7	25	24	0	day	14.9	
1855	7	26	24	0	day	NA	
1855	7	27	24	0	day	16.2	
1855	7	28	24	0	day	16.9	
1855	7	29	24	0	day	16.3	
1855	7	30	24	0	day	16.6	
1855	7	31	24	0	day	16.9	
1855	8	1	24	0	day	20.4	
1855	8	2	24	0	day	22.3	
1855	8	3	24	0	day	23.2	
1855	8	4	24	0	day	21.8	
1855	8	5	24	0	day	18	
1855	8	6	24	0	day	19.9	
1855	8	7	24	0	day	19.3	
1855	8	8	24	0	day	18.1	
1855	8	9	24	0	day	14.6	
1855	8	10	24	0	day	15.1	
1855	8	11	24	0	day	15.3	
1855	8	12	24	0	day	16.5	
1855	8	13	24	0	day	15.5	
1855	8	14	24	0	day	15.5	
1855	8	15	24	0	day	15.9	
1855	8	16	24	0	day	18.1	
1855	8	17	24	0	day	17.2	
1855	8	18	24	0	day	19.7	
1855	8	19	24	0	day	21.2	
1855	8	20	24	0	day	20	
1855	8	21	24	0	day	20.3	
1855	8	22	24	0	day	21.9	
1855	8	23	24	0	day	22.8	
1855	8	24	24	0	day	22.6	
1855	8	25	24	0	day	22.9	
1855	8	26	24	0	day	22.3	
1855	8	27	24	0	day	21.4	
1855	8	28	24	0	day	21.3	
1855	8	29	24	0	day	21.1	
