SEF	1.0.0
ID	Bern_Lombach
Name	Bern
Lat	46.946585
Lon	7.441255
Alt	540
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Lombach|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1785	6	16	24	0	day	21.4	
1785	6	17	24	0	day	12.9	
1785	6	19	24	0	day	14.4	
1785	6	20	24	0	day	12.4	
1785	6	21	24	0	day	15.5	
1785	6	22	24	0	day	14.9	
1785	6	23	24	0	day	14.7	
1785	6	24	24	0	day	14.7	
1785	6	25	24	0	day	16.8	
1785	6	26	24	0	day	17.5	
1785	6	27	24	0	day	18.8	
1785	6	28	24	0	day	19.1	
1785	6	29	24	0	day	18.6	
1785	6	30	24	0	day	17	
1785	7	1	24	0	day	17.8	
1785	7	2	24	0	day	20.6	
1785	7	3	24	0	day	18.4	
1785	7	4	24	0	day	17.9	
1785	7	5	24	0	day	18.6	
1785	7	6	24	0	day	16.4	
1785	7	7	24	0	day	15.1	
1785	7	8	24	0	day	15.6	
1785	7	9	24	0	day	15.2	
1785	7	10	24	0	day	18	
1785	7	11	24	0	day	17.2	
1785	7	12	24	0	day	15.4	
1785	7	13	24	0	day	16.8	
1785	7	14	24	0	day	18.8	
1785	7	15	24	0	day	17.2	
1785	7	16	24	0	day	15.4	
1785	7	17	24	0	day	17.2	
1785	7	18	24	0	day	19.8	
1785	7	19	24	0	day	18.9	
1785	7	20	24	0	day	18.3	
1785	7	21	24	0	day	15.1	
1785	7	22	24	0	day	13.9	
1785	7	23	24	0	day	15	
1785	7	24	24	0	day	16.2	
1785	7	25	24	0	day	14	
1785	7	26	24	0	day	18.3	
1785	7	27	24	0	day	19	
1785	7	28	24	0	day	15.2	
1785	7	29	24	0	day	16.7	
1785	7	30	24	0	day	16.2	
1785	7	31	24	0	day	14	
1785	8	1	24	0	day	17	
1785	8	2	24	0	day	20.5	
1785	8	3	24	0	day	20.7	
1785	8	4	24	0	day	17.4	
1785	8	5	24	0	day	18.8	
1785	8	6	24	0	day	19.7	
1785	8	7	24	0	day	16.4	
1785	8	8	24	0	day	18.3	
1785	8	9	24	0	day	17.6	
1785	8	10	24	0	day	16.7	
1785	8	11	24	0	day	14.9	
1785	8	12	24	0	day	15.3	
1785	8	13	24	0	day	17.4	
1785	8	14	24	0	day	13.6	
1785	8	15	24	0	day	11.8	
1785	8	16	24	0	day	14.8	
1785	8	17	24	0	day	15.2	
1785	8	18	24	0	day	14.6	
1785	8	19	24	0	day	14	
1785	8	20	24	0	day	12.9	
1785	8	21	24	0	day	12	
1785	8	22	24	0	day	13.2	
1785	8	23	24	0	day	14	
1785	8	24	24	0	day	14.6	
1785	8	25	24	0	day	16.8	
1785	8	26	24	0	day	15.9	
1785	8	27	24	0	day	14.8	
1785	8	28	24	0	day	11	
1785	8	29	24	0	day	13.2	
1785	8	30	24	0	day	17	
1785	8	31	24	0	day	17.9	
1785	9	1	24	0	day	15.4	
1785	9	2	24	0	day	18.1	
1785	9	3	24	0	day	15.2	
1785	9	4	24	0	day	15.9	
1785	9	5	24	0	day	16.6	
1785	9	6	24	0	day	20.1	
1785	9	7	24	0	day	14.4	
1785	9	8	24	0	day	21.1	
1785	9	9	24	0	day	20.5	
1785	9	10	24	0	day	17	
1785	9	11	24	0	day	16.2	
1785	9	12	24	0	day	15.8	
1785	9	13	24	0	day	15.3	
1785	9	14	24	0	day	14.1	
1785	9	15	24	0	day	15	
1785	9	16	24	0	day	15.8	
1785	9	17	24	0	day	13.7	
1785	9	18	24	0	day	14.3	
1785	9	19	24	0	day	13.8	
1785	9	20	24	0	day	15.2	
1785	9	21	24	0	day	15	
1785	9	22	24	0	day	15.1	
1785	9	23	24	0	day	15.5	
1785	9	24	24	0	day	12.1	
1785	9	25	24	0	day	14.2	
1785	9	26	24	0	day	16.9	
1785	9	27	24	0	day	13.9	
1785	9	28	24	0	day	10.4	
1785	9	29	24	0	day	9.1	
1785	9	30	24	0	day	8.8	
1785	10	1	24	0	day	13.6	
1785	10	2	24	0	day	10.9	
1785	10	3	24	0	day	12.2	
1785	10	4	24	0	day	10.9	
1785	10	5	24	0	day	12.5	
1785	10	6	24	0	day	11.6	
1785	10	7	24	0	day	12.1	
1785	10	8	24	0	day	11	
1785	10	9	24	0	day	12.9	
1785	10	10	24	0	day	11.2	
1785	10	11	24	0	day	11.2	
1785	10	12	24	0	day	9	
1785	10	13	24	0	day	12.9	
1785	10	14	24	0	day	9	
1785	10	15	24	0	day	10.7	
1785	10	16	24	0	day	10.3	
1785	10	17	24	0	day	10.8	
1785	10	18	24	0	day	7.3	
1785	10	19	24	0	day	5.4	
1785	10	20	24	0	day	4.3	
1785	10	21	24	0	day	2.9	
1785	10	22	24	0	day	1.9	
1785	10	23	24	0	day	2	
1785	10	24	24	0	day	3.1	
1785	10	25	24	0	day	8.1	
1785	10	26	24	0	day	9	
1785	10	27	24	0	day	2.6	
1785	10	28	24	0	day	1.1	
1785	10	29	24	0	day	1	
1785	10	30	24	0	day	5.1	
1785	10	31	24	0	day	1.9	
1785	11	1	24	0	day	4.3	
1785	11	2	24	0	day	5	
1785	11	3	24	0	day	7.2	
1785	11	4	24	0	day	8.7	
1785	11	5	24	0	day	7.2	
1785	11	6	24	0	day	3.6	
1785	11	7	24	0	day	4.6	
1785	11	8	24	0	day	3.2	
1785	11	9	24	0	day	1.1	
1785	11	10	24	0	day	0.6	
1785	11	11	24	0	day	-0.8	
1785	11	12	24	0	day	-2	
1785	11	13	24	0	day	2	
1785	11	14	24	0	day	0.5	
1785	11	15	24	0	day	0.5	
1785	11	16	24	0	day	-0.7	
1785	11	17	24	0	day	0	
1785	11	18	24	0	day	-0.9	
1785	11	19	24	0	day	-0.4	
1785	11	20	24	0	day	3	
1785	11	21	24	0	day	5.4	
1785	11	22	24	0	day	4.2	
1785	11	23	24	0	day	4.6	
1785	11	24	24	0	day	3.2	
1785	11	25	24	0	day	2.3	
1785	11	26	24	0	day	3.3	
1785	11	27	24	0	day	3.7	
1785	11	28	24	0	day	4.1	
1785	11	29	24	0	day	4.8	
1785	11	30	24	0	day	2.9	
1785	12	1	24	0	day	0.7	
1785	12	2	24	0	day	0.2	
1785	12	3	24	0	day	3.1	
1785	12	4	24	0	day	3.2	
1785	12	5	24	0	day	2.8	
1785	12	6	24	0	day	0.7	
1785	12	7	24	0	day	-0.8	
1785	12	8	24	0	day	1.1	
1785	12	9	24	0	day	-2.5	
1785	12	10	24	0	day	-1.8	
1785	12	11	24	0	day	-1.7	
1785	12	12	24	0	day	-0.8	
1785	12	13	24	0	day	0.1	
1785	12	14	24	0	day	1	
1785	12	15	24	0	day	-0.7	
1785	12	16	24	0	day	-0.8	
1785	12	17	24	0	day	-0.1	
1785	12	18	24	0	day	-1	
1785	12	19	24	0	day	0.4	
1785	12	20	24	0	day	0.5	
1785	12	21	24	0	day	2.5	
1785	12	22	24	0	day	-1.2	
1785	12	23	24	0	day	-1.8	
1785	12	24	24	0	day	-2.8	
1785	12	25	24	0	day	-1.2	
1785	12	26	24	0	day	-1.2	
1785	12	27	24	0	day	0.4	
1785	12	28	24	0	day	1.5	
1785	12	29	24	0	day	0.4	
1785	12	30	24	0	day	-0.8	
1785	12	31	24	0	day	-4.3	
1786	1	1	24	0	day	-3.7	
1786	1	2	24	0	day	-5.5	
1786	1	3	24	0	day	-10.6	
1786	1	4	24	0	day	-11.3	
1786	1	5	24	0	day	-15	
1786	1	6	24	0	day	-8.8	
1786	1	7	24	0	day	-0.4	
1786	1	8	24	0	day	5	
1786	1	9	24	0	day	0.4	
1786	1	10	24	0	day	2.6	
1786	1	11	24	0	day	3.1	
1786	1	12	24	0	day	4.5	
1786	1	13	24	0	day	2.8	
1786	1	14	24	0	day	1.8	
1786	1	15	24	0	day	1.2	
1786	1	16	24	0	day	3.5	
1786	1	17	24	0	day	5.1	
1786	1	18	24	0	day	2.8	
1786	1	19	24	0	day	-0.7	
1786	1	20	24	0	day	-0.6	
1786	1	21	24	0	day	-2.2	
1786	1	22	24	0	day	-3.9	
1786	1	23	24	0	day	-5.1	
1786	1	24	24	0	day	-2.2	
1786	1	25	24	0	day	-2.8	
1786	1	26	24	0	day	-0.5	
1786	1	27	24	0	day	0.3	
1786	1	28	24	0	day	2.8	
1786	1	29	24	0	day	4.3	
1786	1	30	24	0	day	0	
1786	1	31	24	0	day	-0.2	
1786	2	1	24	0	day	0.1	
1786	2	2	24	0	day	0.9	
