SEF	1.0.0
ID	Bern_Simler
Name	Bern
Lat	46.951229
Lon	7.439075
Alt	574
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Simler (Sternwarte)
Year	Month	Day	Hour	Minute	Period	Value	Meta
1863	6	1	24	0	day	13.8	
1863	6	2	24	0	day	14.9	
1863	6	3	24	0	day	18.5	
1863	6	4	24	0	day	19.2	
1863	6	5	24	0	day	14.4	
1863	6	6	24	0	day	16.7	
1863	6	7	24	0	day	16.5	
1863	6	8	24	0	day	11.8	
1863	6	9	24	0	day	16.3	
1863	6	10	24	0	day	16.9	
1863	6	11	24	0	day	9.1	
1863	6	12	24	0	day	8.4	
1863	6	13	24	0	day	12.3	
1863	6	14	24	0	day	14.3	
1863	6	15	24	0	day	15	
1863	6	16	24	0	day	17.4	
1863	6	17	24	0	day	19	
1863	6	18	24	0	day	19.1	
1863	6	19	24	0	day	11.5	
1863	6	20	24	0	day	11.1	
1863	6	21	24	0	day	13.7	
1863	6	22	24	0	day	18.2	
1863	6	23	24	0	day	18.9	
1863	6	24	24	0	day	22.1	
1863	6	25	24	0	day	22.9	
1863	6	26	24	0	day	19.5	
1863	6	27	24	0	day	22	
1863	6	28	24	0	day	16.1	
1863	6	29	24	0	day	20.8	
1863	6	30	24	0	day	14.5	
1863	7	1	24	0	day	17.1	
1863	7	2	24	0	day	22.2	
1863	7	3	24	0	day	22.1	
1863	7	4	24	0	day	19.8	
1863	7	5	24	0	day	18	
1863	7	6	24	0	day	17.7	
1863	7	7	24	0	day	20	
1863	7	8	24	0	day	17.5	
1863	7	9	24	0	day	19.7	
1863	7	10	24	0	day	16.6	
1863	7	11	24	0	day	17.7	
1863	7	12	24	0	day	18.2	
1863	7	13	24	0	day	19.6	
1863	7	14	24	0	day	19.3	
1863	7	15	24	0	day	19.7	
1863	7	16	24	0	day	20.3	
1863	7	17	24	0	day	19.7	
1863	7	18	24	0	day	19.8	
1863	7	20	24	0	day	18.5	
1863	7	21	24	0	day	21.7	
1863	7	22	24	0	day	21.9	
1863	7	23	24	0	day	22.4	
1863	7	24	24	0	day	16.6	
1863	7	25	24	0	day	17	
1863	7	26	24	0	day	12.8	
1863	7	27	24	0	day	15	
1863	7	28	24	0	day	20.3	
1863	7	29	24	0	day	17.5	
1863	7	30	24	0	day	19.6	
1863	7	31	24	0	day	18.5	
1863	8	1	24	0	day	19.2	
1863	8	2	24	0	day	19.6	
1863	8	3	24	0	day	21	
1863	8	4	24	0	day	24.6	
1863	8	5	24	0	day	25.1	
1863	8	6	24	0	day	22.8	
1863	8	7	24	0	day	23.3	
1863	8	8	24	0	day	24.3	
1863	8	9	24	0	day	26.7	
1863	8	10	24	0	day	23.4	
1863	8	11	24	0	day	21.2	
1863	8	12	24	0	day	24.9	
1863	8	13	24	0	day	25.9	
1863	8	14	24	0	day	25.3	
1863	8	15	24	0	day	26.4	
1863	8	16	24	0	day	24.7	
1863	8	17	24	0	day	17.6	
1863	8	18	24	0	day	13.2	
1863	8	19	24	0	day	14.7	
1863	8	20	24	0	day	10.5	
1863	8	21	24	0	day	11.1	
1863	8	22	24	0	day	13.7	
1863	8	24	24	0	day	20	
1863	8	25	24	0	day	21	
1863	8	26	24	0	day	18.9	
1863	8	27	24	0	day	21.4	
1863	8	28	24	0	day	20.8	
1863	8	29	24	0	day	14.6	
1863	8	30	24	0	day	18.5	
1863	8	31	24	0	day	17.6	
1863	9	1	24	0	day	16.4	
1863	9	2	24	0	day	15.1	
1863	9	3	24	0	day	13.2	
1863	9	4	24	0	day	18.2	
1863	9	5	24	0	day	14.7	
1863	9	6	24	0	day	13.5	
1863	9	7	24	0	day	14.3	
1863	9	9	24	0	day	18	
1863	9	10	24	0	day	14.6	
1863	9	11	24	0	day	10.4	
1863	9	12	24	0	day	12.5	
1863	9	13	24	0	day	15.8	
1863	9	14	24	0	day	15.7	
1863	9	15	24	0	day	14.7	
1863	9	16	24	0	day	16.8	
1863	9	17	24	0	day	16	
1863	9	18	24	0	day	16.2	
1863	9	19	24	0	day	18.4	
1863	9	20	24	0	day	17.4	
1863	9	21	24	0	day	13.1	
1863	9	22	24	0	day	8.8	
1863	9	23	24	0	day	12.7	
1863	9	24	24	0	day	10.3	
1863	9	25	24	0	day	10.7	
1863	9	26	24	0	day	10.3	
1863	9	27	24	0	day	8.7	
1863	9	28	24	0	day	12.8	
1863	9	29	24	0	day	13.5	
1863	9	30	24	0	day	13.6	
1863	10	1	24	0	day	15.1	
1863	10	2	24	0	day	9.2	
1863	10	3	24	0	day	11	
1863	10	5	24	0	day	12.8	
1863	10	6	24	0	day	10.8	
1863	10	7	24	0	day	13	
1863	10	8	24	0	day	10.8	
1863	10	9	24	0	day	11.2	
1863	10	10	24	0	day	12.3	
1863	10	11	24	0	day	11.3	
1863	10	12	24	0	day	12.1	
1863	10	13	24	0	day	11.1	
1863	10	14	24	0	day	15.8	
1863	10	15	24	0	day	14.7	
1863	10	16	24	0	day	9.2	
1863	10	17	24	0	day	9.6	
1863	10	18	24	0	day	9.4	
1863	10	19	24	0	day	11.3	
1863	10	20	24	0	day	11.4	
1863	10	21	24	0	day	12.8	
1863	10	22	24	0	day	13.3	
1863	10	23	24	0	day	10.5	
1863	10	24	24	0	day	8.9	
1863	10	25	24	0	day	6.4	
1863	10	26	24	0	day	6.8	
1863	10	27	24	0	day	7.1	
1863	10	28	24	0	day	8.3	
1863	10	29	24	0	day	10.4	
1863	10	30	24	0	day	10.8	
1863	10	31	24	0	day	8.2	
1863	11	1	24	0	day	5.6	
1863	11	2	24	0	day	4.3	
1863	11	3	24	0	day	4.8	
1863	11	4	24	0	day	7.3	
1863	11	5	24	0	day	7.9	
1863	11	6	24	0	day	5.6	
1863	11	7	24	0	day	7.5	
1863	11	8	24	0	day	8.4	
1863	11	9	24	0	day	6.2	
1863	11	10	24	0	day	4.2	
1863	11	11	24	0	day	1.7	
1863	11	12	24	0	day	1.1	
1863	11	13	24	0	day	2.6	
1863	11	14	24	0	day	3.5	
1863	11	15	24	0	day	3.3	
1863	11	16	24	0	day	2.2	
1863	11	17	24	0	day	3	
1863	11	18	24	0	day	-0.5	
1863	11	19	24	0	day	0.2	
1863	11	20	24	0	day	-0.6	
1863	11	21	24	0	day	-1	
1863	11	22	24	0	day	2.8	
1863	11	23	24	0	day	7	
1863	11	24	24	0	day	6.3	
