SEF	1.0.0
ID	Bern_Lombach
Name	Bern
Lat	46.947933
Lon	7.439289
Alt	540
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Lombach|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1777	1	NA	NA	NA	month	-1.4	
1777	2	NA	NA	NA	month	-0.2	
1777	3	NA	NA	NA	month	6.3	
1777	4	NA	NA	NA	month	6.9	
1777	5	NA	NA	NA	month	11.7	
1777	6	NA	NA	NA	month	16	
1777	7	NA	NA	NA	month	16.7	
1777	8	NA	NA	NA	month	19.1	
1777	9	NA	NA	NA	month	14.5	
1777	10	NA	NA	NA	month	10	
1777	11	NA	NA	NA	month	4.3	
1777	12	NA	NA	NA	month	-1.6	
1778	1	NA	NA	NA	month	-0.1	
1778	2	NA	NA	NA	month	0.2	
1778	3	NA	NA	NA	month	4.9	
1778	4	NA	NA	NA	month	10.3	
1778	5	NA	NA	NA	month	14.1	
1778	6	NA	NA	NA	month	16.4	
1778	7	NA	NA	NA	month	20.3	
1778	8	NA	NA	NA	month	19.7	
1778	9	NA	NA	NA	month	12.5	
1778	10	NA	NA	NA	month	8.8	
1778	11	NA	NA	NA	month	4.4	
1778	12	NA	NA	NA	month	2.1	
1779	1	NA	NA	NA	month	-6.9	
1779	2	NA	NA	NA	month	2.3	
1779	3	NA	NA	NA	month	5.3	
1779	4	NA	NA	NA	month	11.8	
1779	5	NA	NA	NA	month	15	
1779	6	NA	NA	NA	month	14.7	
1779	7	NA	NA	NA	month	18	
1779	8	NA	NA	NA	month	17.5	
1779	9	NA	NA	NA	month	15.3	
1779	10	NA	NA	NA	month	11.1	
1779	11	NA	NA	NA	month	4.4	
1779	12	NA	NA	NA	month	4	
1780	1	NA	NA	NA	month	-3.6	
1780	2	NA	NA	NA	month	-2.6	
1780	3	NA	NA	NA	month	7	
1780	4	NA	NA	NA	month	6.5	
1780	5	NA	NA	NA	month	14.7	
1780	6	NA	NA	NA	month	17.5	
1780	7	NA	NA	NA	month	18.9	
1780	8	NA	NA	NA	month	18.7	
1780	9	NA	NA	NA	month	14.5	
1780	10	NA	NA	NA	month	9.6	
1780	11	NA	NA	NA	month	2.1	
1780	12	NA	NA	NA	month	-2.5	
1781	1	NA	NA	NA	month	-0.4	
1781	2	NA	NA	NA	month	2	
1781	3	NA	NA	NA	month	5.7	
1781	4	NA	NA	NA	month	11.1	
1781	5	NA	NA	NA	month	15.7	
1781	6	NA	NA	NA	month	17.9	
1781	7	NA	NA	NA	month	19.6	
1781	8	NA	NA	NA	month	19.5	
1781	9	NA	NA	NA	month	15	
1781	10	NA	NA	NA	month	7.6	
1781	11	NA	NA	NA	month	3.9	
1781	12	NA	NA	NA	month	1.6	
1782	1	NA	NA	NA	month	1.1	
1782	2	NA	NA	NA	month	-4.7	
1782	3	NA	NA	NA	month	3.8	
1782	4	NA	NA	NA	month	7.5	
1782	5	NA	NA	NA	month	13.1	
1782	6	NA	NA	NA	month	19.9	
1782	7	NA	NA	NA	month	21.7	
1782	8	NA	NA	NA	month	18	
1782	9	NA	NA	NA	month	13.4	
1782	10	NA	NA	NA	month	6.4	
1782	11	NA	NA	NA	month	-0.1	
1782	12	NA	NA	NA	month	-3.5	
1783	1	NA	NA	NA	month	2.2	
1783	2	NA	NA	NA	month	2.8	
1783	3	NA	NA	NA	month	3.7	
1783	4	NA	NA	NA	month	9.2	
1783	5	NA	NA	NA	month	14.5	
1783	6	NA	NA	NA	month	16.6	
1783	7	NA	NA	NA	month	21.5	
1783	8	NA	NA	NA	month	18.1	
1783	9	NA	NA	NA	month	14.6	
1783	10	NA	NA	NA	month	9.6	
1783	11	NA	NA	NA	month	4.1	
1783	12	NA	NA	NA	month	-0.3	
1784	1	NA	NA	NA	month	-2.9	
1784	2	NA	NA	NA	month	-1.7	
1784	3	NA	NA	NA	month	3.9	
1784	4	NA	NA	NA	month	5.9	
1784	5	NA	NA	NA	month	16.7	
1784	6	NA	NA	NA	month	17.3	
1784	7	NA	NA	NA	month	19.3	
1784	8	NA	NA	NA	month	16.6	
1784	9	NA	NA	NA	month	16.5	
1784	10	NA	NA	NA	month	5	
1784	11	NA	NA	NA	month	2.7	
1784	12	NA	NA	NA	month	-3.9	
1785	1	NA	NA	NA	month	-1.3	
1785	2	NA	NA	NA	month	-2.6	
1785	3	NA	NA	NA	month	-4.3	
