SEF	1.0.0
ID	Bern_Reinhard
Name	Bern
Lat	46.947219
Lon	7.451096
Alt	585
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Reinhard
Year	Month	Day	Hour	Minute	Period	Value	Meta
1860	11	NA	NA	NA	month	1.1	
1860	12	NA	NA	NA	month	-0.4	
1861	1	NA	NA	NA	month	-4.1	
1861	2	NA	NA	NA	month	2	
1861	3	NA	NA	NA	month	4.2	
1861	4	NA	NA	NA	month	7.7	
1861	5	NA	NA	NA	month	12.5	
1861	6	NA	NA	NA	month	17.2	
1861	7	NA	NA	NA	month	17.2	
1861	8	NA	NA	NA	month	19.3	
1861	9	NA	NA	NA	month	13.7	
1861	10	NA	NA	NA	month	10.6	
1861	11	NA	NA	NA	month	3.8	
1861	12	NA	NA	NA	month	-1.4	
1862	1	NA	NA	NA	month	-1.1	
1862	2	NA	NA	NA	month	1	
1862	3	NA	NA	NA	month	6.2	
1862	4	NA	NA	NA	month	10.7	
1862	5	NA	NA	NA	month	15.1	
1862	6	NA	NA	NA	month	15.4	
1862	7	NA	NA	NA	month	19.3	
1862	8	NA	NA	NA	month	16.5	
1862	9	NA	NA	NA	month	14	
1862	10	NA	NA	NA	month	10.4	
1862	11	NA	NA	NA	month	3.4	
1862	12	NA	NA	NA	month	0.1	
1863	1	NA	NA	NA	month	0.9	
1863	2	NA	NA	NA	month	1.3	
1863	3	NA	NA	NA	month	3.7	
1863	4	NA	NA	NA	month	9.7	
1863	5	NA	NA	NA	month	14.1	
1863	6	NA	NA	NA	month	16.4	
1863	7	NA	NA	NA	month	18.5	
1863	8	NA	NA	NA	month	18.9	
1863	9	NA	NA	NA	month	12.5	
1863	10	NA	NA	NA	month	9.7	
1863	11	NA	NA	NA	month	3.7	
