SEF	1.0.0
ID	Bern_Tavel
Name	Bern
Lat	46.944747
Lon	7.436714
Alt	532
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Tavel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1760	1	NA	NA	NA	month	-0.9	
1760	2	NA	NA	NA	month	0.4	
1760	3	NA	NA	NA	month	2	
1760	4	NA	NA	NA	month	10.8	
1760	5	NA	NA	NA	month	13.9	
1760	6	NA	NA	NA	month	17.5	
1760	7	NA	NA	NA	month	18.2	
1760	8	NA	NA	NA	month	17.3	
1760	9	NA	NA	NA	month	14.5	
1760	10	NA	NA	NA	month	9.5	
1760	11	NA	NA	NA	month	4.3	
1760	12	NA	NA	NA	month	2.2	
1761	1	NA	NA	NA	month	-3.1	
1761	2	NA	NA	NA	month	3.3	
1761	3	NA	NA	NA	month	6.1	
1761	4	NA	NA	NA	month	8.4	
1761	5	NA	NA	NA	month	14.2	
1761	6	NA	NA	NA	month	17.1	
1761	7	NA	NA	NA	month	19.3	
1761	8	NA	NA	NA	month	19.2	
1761	9	NA	NA	NA	month	15.2	
1761	10	NA	NA	NA	month	7.8	
1761	11	NA	NA	NA	month	2.7	
1761	12	NA	NA	NA	month	-3.4	
1762	1	NA	NA	NA	month	0.4	
1762	2	NA	NA	NA	month	-0.1	
1762	3	NA	NA	NA	month	0.5	
1762	4	NA	NA	NA	month	10.7	
1762	5	NA	NA	NA	month	13.8	
1762	6	NA	NA	NA	month	14.8	
1762	7	NA	NA	NA	month	18.9	
1762	8	NA	NA	NA	month	16.3	
1762	9	NA	NA	NA	month	13.2	
1762	10	NA	NA	NA	month	6.9	
1762	11	NA	NA	NA	month	2.5	
1762	12	NA	NA	NA	month	-4.3	
1763	1	NA	NA	NA	month	-4.6	
1763	2	NA	NA	NA	month	3.4	
1763	3	NA	NA	NA	month	2.6	
1763	4	NA	NA	NA	month	8.1	
1763	5	NA	NA	NA	month	10.7	
1763	6	NA	NA	NA	month	16.1	
1763	7	NA	NA	NA	month	17.5	
1763	8	NA	NA	NA	month	18.8	
1763	9	NA	NA	NA	month	12.6	
1763	10	NA	NA	NA	month	8	
1763	11	NA	NA	NA	month	2.5	
1763	12	NA	NA	NA	month	1.2	
1764	1	NA	NA	NA	month	2.5	
1764	2	NA	NA	NA	month	2.2	
1764	3	NA	NA	NA	month	0.8	
1764	4	NA	NA	NA	month	6.5	
1764	5	NA	NA	NA	month	13.2	
1764	6	NA	NA	NA	month	16.2	
1764	7	NA	NA	NA	month	17.7	
1764	8	NA	NA	NA	month	15.1	
1764	9	NA	NA	NA	month	11.7	
1764	10	NA	NA	NA	month	6.9	
1764	11	NA	NA	NA	month	3	
1764	12	NA	NA	NA	month	0.8	
1765	1	NA	NA	NA	month	0.3	
1765	2	NA	NA	NA	month	-1.4	
1765	3	NA	NA	NA	month	5.5	
1765	4	NA	NA	NA	month	8	
1765	5	NA	NA	NA	month	12.1	
1765	6	NA	NA	NA	month	16.2	
1765	7	NA	NA	NA	month	15.9	
1765	8	NA	NA	NA	month	16.5	
1765	9	NA	NA	NA	month	12.8	
1765	10	NA	NA	NA	month	8.9	
1765	11	NA	NA	NA	month	2.4	
1765	12	NA	NA	NA	month	-2.5	
1766	1	NA	NA	NA	month	-9.1	
1766	2	NA	NA	NA	month	-2.8	
1766	3	NA	NA	NA	month	3.4	
1766	4	NA	NA	NA	month	9	
1766	5	NA	NA	NA	month	11.9	
1766	6	NA	NA	NA	month	15.1	
1767	4	NA	NA	NA	month	7.7	
1767	5	NA	NA	NA	month	11.4	
1767	6	NA	NA	NA	month	15.2	
1767	7	NA	NA	NA	month	17.2	
1767	8	NA	NA	NA	month	16.6	
1767	9	NA	NA	NA	month	13.8	
1767	10	NA	NA	NA	month	9.1	
1767	11	NA	NA	NA	month	5.5	
1767	12	NA	NA	NA	month	-1.9	
1768	1	NA	NA	NA	month	-2.8	
1768	2	NA	NA	NA	month	1.9	
1768	3	NA	NA	NA	month	4	
1768	4	NA	NA	NA	month	9.5	
1768	5	NA	NA	NA	month	12.2	
1768	6	NA	NA	NA	month	14.8	
1768	7	NA	NA	NA	month	17.2	
1768	8	NA	NA	NA	month	16.8	
1768	9	NA	NA	NA	month	13.3	
1768	10	NA	NA	NA	month	10.5	
1768	11	NA	NA	NA	month	4.8	
1768	12	NA	NA	NA	month	0.4	
1769	1	NA	NA	NA	month	0.2	
1769	2	NA	NA	NA	month	1.6	
1769	3	NA	NA	NA	month	3.5	
1769	4	NA	NA	NA	month	9.2	
1769	5	NA	NA	NA	month	12.7	
1769	6	NA	NA	NA	month	14.3	
1769	7	NA	NA	NA	month	17.2	
1769	8	NA	NA	NA	month	19.3	
1769	9	NA	NA	NA	month	13.5	
1769	10	NA	NA	NA	month	6.4	
1769	11	NA	NA	NA	month	5.6	
1769	12	NA	NA	NA	month	1.7	
