SEF	1.0.0
ID	Bern_Trechsel
Name	Bern
Lat	46.94694
Lon	7.450515
Alt	548
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Trechsel|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1826	4	NA	NA	NA	month	9.3	
1826	5	NA	NA	NA	month	11.8	
1826	6	NA	NA	NA	month	16.7	
1826	7	NA	NA	NA	month	19.5	
1826	8	NA	NA	NA	month	20.5	
1826	9	NA	NA	NA	month	16.3	
1826	10	NA	NA	NA	month	10.7	
1826	11	NA	NA	NA	month	3.2	
1826	12	NA	NA	NA	month	1.1	
1827	1	NA	NA	NA	month	-1.4	
1827	2	NA	NA	NA	month	-3.4	
1827	3	NA	NA	NA	month	5.5	
1827	4	NA	NA	NA	month	10.5	
1827	5	NA	NA	NA	month	15.4	
1827	6	NA	NA	NA	month	16.5	
1827	7	NA	NA	NA	month	21.4	
1827	8	NA	NA	NA	month	17.5	
1827	9	NA	NA	NA	month	14.5	
1827	10	NA	NA	NA	month	10.3	
1827	11	NA	NA	NA	month	2	
1827	12	NA	NA	NA	month	3.6	
1828	1	NA	NA	NA	month	2.2	
1828	2	NA	NA	NA	month	2	
1828	3	NA	NA	NA	month	5.3	
1828	4	NA	NA	NA	month	9.8	
1828	5	NA	NA	NA	month	15.3	
1828	6	NA	NA	NA	month	18.3	
1828	7	NA	NA	NA	month	19	
1828	8	NA	NA	NA	month	17.3	
1828	9	NA	NA	NA	month	15.4	
1828	10	NA	NA	NA	month	9.6	
1828	11	NA	NA	NA	month	4.4	
1828	12	NA	NA	NA	month	1.1	
1829	1	NA	NA	NA	month	-3.5	
1829	2	NA	NA	NA	month	-1.3	
1829	3	NA	NA	NA	month	5.3	
1829	4	NA	NA	NA	month	10.1	
1829	5	NA	NA	NA	month	14.2	
1829	6	NA	NA	NA	month	15.7	
1829	7	NA	NA	NA	month	18.8	
1829	8	NA	NA	NA	month	16.9	
1829	9	NA	NA	NA	month	13.4	
1829	10	NA	NA	NA	month	8.1	
1829	11	NA	NA	NA	month	2.2	
1829	12	NA	NA	NA	month	-4	
1830	1	NA	NA	NA	month	-7.3	
1830	2	NA	NA	NA	month	-2.2	
1830	3	NA	NA	NA	month	7.3	
1830	4	NA	NA	NA	month	11.8	
1830	5	NA	NA	NA	month	14.6	
1830	6	NA	NA	NA	month	16.3	
1830	7	NA	NA	NA	month	19.8	
1830	8	NA	NA	NA	month	18.3	
1830	9	NA	NA	NA	month	12.9	
1830	10	NA	NA	NA	month	8.9	
1830	11	NA	NA	NA	month	5.1	
1830	12	NA	NA	NA	month	-0.1	
1831	1	NA	NA	NA	month	-2.9	
1831	2	NA	NA	NA	month	1.1	
1831	3	NA	NA	NA	month	7.1	
1831	4	NA	NA	NA	month	10.9	
1831	5	NA	NA	NA	month	13.9	
1831	6	NA	NA	NA	month	17	
1831	7	NA	NA	NA	month	19.2	
1831	8	NA	NA	NA	month	18.5	
1831	9	NA	NA	NA	month	13.7	
1831	10	NA	NA	NA	month	12.5	
1831	11	NA	NA	NA	month	5.4	
1831	12	NA	NA	NA	month	1.4	
1832	1	NA	NA	NA	month	-0.8	
1832	2	NA	NA	NA	month	1.1	
1832	3	NA	NA	NA	month	4.3	
1832	4	NA	NA	NA	month	10	
1832	5	NA	NA	NA	month	13	
