SEF	1.0.0
ID	Bern_Wolf
Name	Bern
Lat	46.950936
Lon	7.440383
Alt	551
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Wolf
Year	Month	Day	Hour	Minute	Period	Value	Meta
1851	5	NA	NA	NA	month	11.9	
1851	6	NA	NA	NA	month	19.4	
1851	7	NA	NA	NA	month	19	
1851	8	NA	NA	NA	month	19.1	
1851	9	NA	NA	NA	month	NA	
1851	10	NA	NA	NA	month	NA	
1851	11	NA	NA	NA	month	1.1	
1851	12	NA	NA	NA	month	-3.5	
1852	1	NA	NA	NA	month	1.2	
1852	2	NA	NA	NA	month	3.2	
1852	3	NA	NA	NA	month	3.5	
1852	4	NA	NA	NA	month	9.4	
1852	5	NA	NA	NA	month	15.3	
1852	6	NA	NA	NA	month	17.7	
1852	7	NA	NA	NA	month	21.6	
1852	8	NA	NA	NA	month	18.6	
1852	9	NA	NA	NA	month	15.3	
1852	10	NA	NA	NA	month	10	
1852	11	NA	NA	NA	month	9	
1852	12	NA	NA	NA	month	5	
1853	1	NA	NA	NA	month	3.2	
1853	2	NA	NA	NA	month	0.8	
1853	3	NA	NA	NA	month	2.1	
1853	4	NA	NA	NA	month	8.1	
1853	5	NA	NA	NA	month	13.2	
1853	6	NA	NA	NA	month	17.1	
1853	7	NA	NA	NA	month	20.2	
1853	8	NA	NA	NA	month	19.4	
1853	9	NA	NA	NA	month	14.8	
1853	10	NA	NA	NA	month	10.6	
1853	11	NA	NA	NA	month	5.3	
1853	12	NA	NA	NA	month	-2.3	
1854	1	NA	NA	NA	month	0	
1854	2	NA	NA	NA	month	-0.4	
1854	3	NA	NA	NA	month	4.8	
1854	4	NA	NA	NA	month	10.6	
1854	5	NA	NA	NA	month	14.8	
1854	6	NA	NA	NA	month	17.2	
1854	7	NA	NA	NA	month	19.4	
1854	8	NA	NA	NA	month	17.8	
1854	9	NA	NA	NA	month	15.4	
1854	10	NA	NA	NA	month	10.3	
1854	11	NA	NA	NA	month	2.9	
1854	12	NA	NA	NA	month	3.1	
1855	1	NA	NA	NA	month	-1.6	
1855	2	NA	NA	NA	month	2.2	
1855	3	NA	NA	NA	month	4.6	
1855	4	NA	NA	NA	month	8.8	
1855	5	NA	NA	NA	month	12.1	
