SEF	1.0.0
ID	Bern_Fueter
Name	Bern
Lat	46.946688
Lon	7.432487
Alt	540
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Fueter|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1819	1	NA	NA	NA	month	-0.2	
1819	2	NA	NA	NA	month	1.5	
1819	3	NA	NA	NA	month	4.4	
1819	4	NA	NA	NA	month	10.4	
1819	5	NA	NA	NA	month	13.5	
1819	6	NA	NA	NA	month	14.3	
1819	7	NA	NA	NA	month	17.3	
1819	8	NA	NA	NA	month	16.3	
1819	9	NA	NA	NA	month	14.3	
1819	10	NA	NA	NA	month	7	
1819	11	NA	NA	NA	month	1.8	
1819	12	NA	NA	NA	month	0.2	
1820	1	NA	NA	NA	month	-3.4	
1820	2	NA	NA	NA	month	0.5	
1820	3	NA	NA	NA	month	1.4	
1820	4	NA	NA	NA	month	10.1	
1820	5	NA	NA	NA	month	12.6	
1820	6	NA	NA	NA	month	14	
1820	7	NA	NA	NA	month	16.4	
1820	8	NA	NA	NA	month	18.4	
1820	9	NA	NA	NA	month	10.7	
1820	10	NA	NA	NA	month	6.6	
1820	11	NA	NA	NA	month	0.8	
1820	12	NA	NA	NA	month	-0.7	
1821	1	NA	NA	NA	month	-0.3	
1821	2	NA	NA	NA	month	-2	
1821	3	NA	NA	NA	month	4.2	
1821	4	NA	NA	NA	month	9.1	
1821	5	NA	NA	NA	month	11	
1821	6	NA	NA	NA	month	12.5	
1821	7	NA	NA	NA	month	14.6	
1821	8	NA	NA	NA	month	17	
1821	9	NA	NA	NA	month	13.1	
1821	10	NA	NA	NA	month	7.1	
1821	11	NA	NA	NA	month	5.2	
1821	12	NA	NA	NA	month	3.1	
1822	1	NA	NA	NA	month	-1	
1822	2	NA	NA	NA	month	2.2	
1822	3	NA	NA	NA	month	7.1	
1822	4	NA	NA	NA	month	8.2	
1822	5	NA	NA	NA	month	14.8	
1822	6	NA	NA	NA	month	20.4	
1822	7	NA	NA	NA	month	17.2	
1822	8	NA	NA	NA	month	16	
1822	9	NA	NA	NA	month	14.2	
1822	10	NA	NA	NA	month	10.3	
1822	11	NA	NA	NA	month	5.8	
1822	12	NA	NA	NA	month	-5.1	
1823	1	NA	NA	NA	month	-3.4	
1823	2	NA	NA	NA	month	1.7	
1823	3	NA	NA	NA	month	3	
1823	4	NA	NA	NA	month	6.6	
1823	5	NA	NA	NA	month	13.9	
1823	6	NA	NA	NA	month	14.1	
1823	7	NA	NA	NA	month	15.7	
1823	8	NA	NA	NA	month	17.2	
1823	9	NA	NA	NA	month	14.2	
1823	10	NA	NA	NA	month	7.7	
1823	11	NA	NA	NA	month	1.5	
1823	12	NA	NA	NA	month	1.4	
1824	1	NA	NA	NA	month	-3	
1824	2	NA	NA	NA	month	0.7	
1824	3	NA	NA	NA	month	1.6	
1824	4	NA	NA	NA	month	6	
1824	5	NA	NA	NA	month	12	
1824	6	NA	NA	NA	month	13.8	
1824	7	NA	NA	NA	month	18.8	
1824	8	NA	NA	NA	month	16.2	
1824	9	NA	NA	NA	month	14.4	
1824	10	NA	NA	NA	month	8.3	
1824	11	NA	NA	NA	month	5.5	
1824	12	NA	NA	NA	month	2.9	
1825	1	NA	NA	NA	month	-2.5	
1825	2	NA	NA	NA	month	-0.6	
1825	3	NA	NA	NA	month	2.3	
1825	4	NA	NA	NA	month	9.7	
1825	5	NA	NA	NA	month	12.1	
1825	6	NA	NA	NA	month	15.5	
1825	7	NA	NA	NA	month	16.4	
1825	8	NA	NA	NA	month	17	
1825	9	NA	NA	NA	month	14.4	
1825	10	NA	NA	NA	month	8.4	
1825	11	NA	NA	NA	month	4.5	
1825	12	NA	NA	NA	month	3.5	
1826	2	NA	NA	NA	month	1.5	
1826	3	NA	NA	NA	month	4.5	
1826	4	NA	NA	NA	month	7.7	
1826	5	NA	NA	NA	month	10.8	
1826	6	NA	NA	NA	month	15.1	
1826	7	NA	NA	NA	month	18.2	
1826	8	NA	NA	NA	month	19.2	
1826	9	NA	NA	NA	month	15.4	
1826	10	NA	NA	NA	month	9.7	
1826	11	NA	NA	NA	month	2.1	
1826	12	NA	NA	NA	month	0.2	
1827	1	NA	NA	NA	month	-2.4	
1827	2	NA	NA	NA	month	-4.2	
1827	3	NA	NA	NA	month	4	
1827	4	NA	NA	NA	month	9.1	
1827	5	NA	NA	NA	month	13.7	
1827	6	NA	NA	NA	month	15.4	
1827	7	NA	NA	NA	month	19	
1827	8	NA	NA	NA	month	16	
1827	9	NA	NA	NA	month	13.1	
1827	10	NA	NA	NA	month	9.4	
1827	11	NA	NA	NA	month	0.5	
1827	12	NA	NA	NA	month	2.2	
1828	1	NA	NA	NA	month	0.6	
1828	2	NA	NA	NA	month	0.6	
1828	3	NA	NA	NA	month	3.6	
1828	4	NA	NA	NA	month	8.3	
1828	5	NA	NA	NA	month	13.4	
1828	6	NA	NA	NA	month	16.4	
1828	7	NA	NA	NA	month	17.2	
1828	8	NA	NA	NA	month	15.6	
1828	9	NA	NA	NA	month	13.9	
1828	10	NA	NA	NA	month	8.4	
1828	11	NA	NA	NA	month	3.4	
1828	12	NA	NA	NA	month	0.1	
1829	1	NA	NA	NA	month	-4.2	
1829	2	NA	NA	NA	month	-1.8	
1829	3	NA	NA	NA	month	4.2	
1829	4	NA	NA	NA	month	8.2	
1829	5	NA	NA	NA	month	12.1	
1829	6	NA	NA	NA	month	14.2	
1829	7	NA	NA	NA	month	17.5	
1829	8	NA	NA	NA	month	15.1	
1829	9	NA	NA	NA	month	12.1	
