SEF	1.0.0
ID	Bern_Koch
Name	Bern
Lat	46.947314
Lon	7.446542
Alt	546
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Koch|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1855	5	NA	NA	NA	month	NA	
1855	6	NA	NA	NA	month	14	
1855	7	NA	NA	NA	month	16.2	
1855	8	NA	NA	NA	month	18.4	
1855	9	NA	NA	NA	month	15.1	
1855	10	NA	NA	NA	month	10.2	
1855	11	NA	NA	NA	month	2.4	
1855	12	NA	NA	NA	month	-4	
1856	1	NA	NA	NA	month	-0.4	
1856	2	NA	NA	NA	month	1.5	
1856	3	NA	NA	NA	month	4	
1856	4	NA	NA	NA	month	8.9	
1856	5	NA	NA	NA	month	9.8	
1856	6	NA	NA	NA	month	16.8	
1856	7	NA	NA	NA	month	17.5	
1856	8	NA	NA	NA	month	19.1	
1856	9	NA	NA	NA	month	12.6	
1856	10	NA	NA	NA	month	8.7	
1856	11	NA	NA	NA	month	0.7	
1856	12	NA	NA	NA	month	-1.3	
1857	1	NA	NA	NA	month	-2.4	
1857	2	NA	NA	NA	month	-2.3	
1857	3	NA	NA	NA	month	2.7	
1857	4	NA	NA	NA	month	6.4	
1857	5	NA	NA	NA	month	12.2	
1857	6	NA	NA	NA	month	15.2	
1857	7	NA	NA	NA	month	18.5	
1857	8	NA	NA	NA	month	17.5	
1857	9	NA	NA	NA	month	14.6	
1857	10	NA	NA	NA	month	9.9	
1857	11	NA	NA	NA	month	3.1	
1857	12	NA	NA	NA	month	-0.9	
1858	1	NA	NA	NA	month	-4.9	
1858	2	NA	NA	NA	month	-1	
1858	3	NA	NA	NA	month	3.2	
1858	4	NA	NA	NA	month	10.3	
1858	5	NA	NA	NA	month	10.4	
