SEF	1.0.0
ID	Bern_Koch
Name	Bern
Lat	46.947314
Lon	7.446542
Alt	546
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Koch|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1855	5	26	24	0	day	15.2	correction=-2.56
1855	5	27	24	0	day	13.8	correction=-2.54
1855	5	28	24	0	day	13.7	correction=-2.52
1855	5	29	24	0	day	13.2	correction=-2.51
1855	5	30	24	0	day	12.9	correction=-2.49
1855	5	31	24	0	day	12.1	correction=-2.47
1855	6	1	24	0	day	13.6	correction=-2.45
1855	6	2	24	0	day	13.7	correction=-2.43
1855	6	3	24	0	day	13.6	correction=-2.41
1855	6	4	24	0	day	14.9	correction=-2.39
1855	6	5	24	0	day	15.5	correction=-2.37
1855	6	6	24	0	day	17	correction=-2.35
1855	6	7	24	0	day	18.9	correction=-2.33
1855	6	8	24	0	day	19.2	correction=-2.31
1855	6	9	24	0	day	16.4	correction=-2.29
1855	6	10	24	0	day	17.4	correction=-2.27
1855	6	11	24	0	day	18.6	correction=-2.25
1855	6	12	24	0	day	17.8	correction=-2.23
1855	6	13	24	0	day	17.4	correction=-2.2
1855	6	14	24	0	day	15.8	correction=-2.18
1855	6	15	24	0	day	14.6	correction=-2.16
1855	6	16	24	0	day	10.8	correction=-2.14
1855	6	17	24	0	day	11	correction=-2.11
1855	6	18	24	0	day	10.3	correction=-2.09
1855	6	19	24	0	day	10.3	correction=-2.07
1855	6	20	24	0	day	6.6	correction=-2.05
1855	6	21	24	0	day	7.4	correction=-2.02
1855	6	22	24	0	day	10.8	correction=-2
1855	6	23	24	0	day	10.5	correction=-1.98
1855	6	24	24	0	day	10.3	correction=-1.95
1855	6	25	24	0	day	10.5	correction=-1.93
1855	6	26	24	0	day	11.7	correction=-1.91
1855	6	27	24	0	day	14.1	correction=-1.88
1855	6	28	24	0	day	15.7	correction=-1.86
1855	6	29	24	0	day	17.3	correction=-1.84
1855	6	30	24	0	day	18.4	correction=-1.81
1855	7	1	24	0	day	16.7	correction=-1.79
1855	7	2	24	0	day	16.9	correction=-1.77
1855	7	3	24	0	day	16.3	correction=-1.75
1855	7	4	24	0	day	16.7	correction=-1.72
1855	7	5	24	0	day	18.3	correction=-1.7
1855	7	6	24	0	day	15.9	correction=-1.68
1855	7	7	24	0	day	18.4	correction=-1.66
1855	7	8	24	0	day	18.4	correction=-1.63
1855	7	9	24	0	day	18.1	correction=-1.61
1855	7	10	24	0	day	18.5	correction=-1.59
1855	7	11	24	0	day	16.5	correction=-1.57
1855	7	12	24	0	day	14.2	correction=-1.55
1855	7	13	24	0	day	16.4	correction=-1.53
1855	7	14	24	0	day	19	correction=-1.51
1855	7	15	24	0	day	18.2	correction=-1.49
1855	7	16	24	0	day	16.6	correction=-1.47
1855	7	17	24	0	day	14.7	correction=-1.45
1855	7	18	24	0	day	14.9	correction=-1.44
1855	7	19	24	0	day	16	correction=-1.42
1855	7	20	24	0	day	15.7	correction=-1.4
1855	7	21	24	0	day	14.1	correction=-1.38
1855	7	22	24	0	day	14.7	correction=-1.37
1855	7	23	24	0	day	15.3	correction=-1.35
1855	7	24	24	0	day	16.5	correction=-1.34
1855	7	25	24	0	day	13.6	correction=-1.32
1855	7	26	24	0	day	NA	correction=-1.31
1855	7	27	24	0	day	14.9	correction=-1.29
1855	7	28	24	0	day	15.6	correction=-1.28
1855	7	29	24	0	day	15	correction=-1.27
1855	7	30	24	0	day	15.3	correction=-1.26
1855	7	31	24	0	day	15.7	correction=-1.24
1855	8	1	24	0	day	19.2	correction=-1.23
1855	8	2	24	0	day	21.1	correction=-1.22
1855	8	3	24	0	day	22	correction=-1.21
1855	8	4	24	0	day	20.6	correction=-1.2
1855	8	5	24	0	day	16.8	correction=-1.2
1855	8	6	24	0	day	18.7	correction=-1.19
1855	8	7	24	0	day	18.1	correction=-1.18
1855	8	8	24	0	day	16.9	correction=-1.17
1855	8	9	24	0	day	13.4	correction=-1.17
1855	8	10	24	0	day	13.9	correction=-1.16
1855	8	11	24	0	day	14.1	correction=-1.16
1855	8	12	24	0	day	15.3	correction=-1.15
1855	8	13	24	0	day	14.3	correction=-1.15
1855	8	14	24	0	day	14.4	correction=-1.15
1855	8	15	24	0	day	14.8	correction=-1.15
1855	8	16	24	0	day	17	correction=-1.15
1855	8	17	24	0	day	16.1	correction=-1.14
1855	8	18	24	0	day	18.6	correction=-1.14
1855	8	19	24	0	day	20.1	correction=-1.15
1855	8	20	24	0	day	18.9	correction=-1.15
1855	8	21	24	0	day	19.2	correction=-1.15
1855	8	22	24	0	day	20.7	correction=-1.15
1855	8	23	24	0	day	21.6	correction=-1.15
1855	8	24	24	0	day	21.4	correction=-1.16
1855	8	25	24	0	day	21.7	correction=-1.16
1855	8	26	24	0	day	21.1	correction=-1.17
1855	8	27	24	0	day	20.2	correction=-1.17
1855	8	28	24	0	day	20.1	correction=-1.18
1855	8	29	24	0	day	19.9	correction=-1.19
1855	8	30	24	0	day	19.2	correction=-1.2
1855	8	31	24	0	day	19.6	correction=-1.2
1855	9	1	24	0	day	18.4	correction=-1.21
1855	9	2	24	0	day	17	correction=-1.22
1855	9	3	24	0	day	17.7	correction=-1.23
1855	9	4	24	0	day	16.7	correction=-1.24
1855	9	5	24	0	day	15.4	correction=-1.25
1855	9	6	24	0	day	13.9	correction=-1.27
1855	9	7	24	0	day	12.6	correction=-1.28
1855	9	8	24	0	day	14	correction=-1.29
1855	9	9	24	0	day	16.5	correction=-1.3
1855	9	10	24	0	day	17.8	correction=-1.32
1855	9	11	24	0	day	16.1	correction=-1.33
1855	9	12	24	0	day	14.7	correction=-1.35
1855	9	13	24	0	day	17.9	correction=-1.36
1855	9	14	24	0	day	15.2	correction=-1.38
1855	9	15	24	0	day	15.2	correction=-1.39
1855	9	16	24	0	day	13.6	correction=-1.41
1855	9	17	24	0	day	13.8	correction=-1.43
1855	9	18	24	0	day	14.2	correction=-1.44
1855	9	19	24	0	day	15.6	correction=-1.46
1855	9	20	24	0	day	15.2	correction=-1.48
1855	9	21	24	0	day	14.4	correction=-1.5
1855	9	22	24	0	day	15.4	correction=-1.51
1855	9	23	24	0	day	17.3	correction=-1.53
1855	9	24	24	0	day	16.8	correction=-1.55
1855	9	25	24	0	day	12.1	correction=-1.57
1855	9	26	24	0	day	11.7	correction=-1.59
1855	9	27	24	0	day	10.3	correction=-1.61
1855	9	28	24	0	day	13.9	correction=-1.63
1855	9	29	24	0	day	14.2	correction=-1.65
1855	9	30	24	0	day	13.9	correction=-1.67
1855	10	1	24	0	day	11.8	correction=-1.69
1855	10	2	24	0	day	9.5	correction=-1.71
1855	10	3	24	0	day	12.9	correction=-1.73
1855	10	4	24	0	day	12	correction=-1.75
1855	10	5	24	0	day	12.6	correction=-1.77
1855	10	6	24	0	day	12.1	correction=-1.79
1855	10	7	24	0	day	11.7	correction=-1.81
1855	10	8	24	0	day	11.6	correction=-1.84
1855	10	9	24	0	day	10.1	correction=-1.86
1855	10	10	24	0	day	11.3	correction=-1.88
1855	10	11	24	0	day	10.8	correction=-1.9
1855	10	12	24	0	day	10.4	correction=-1.92
1855	10	13	24	0	day	11.6	correction=-1.94
1855	10	14	24	0	day	10.6	correction=-1.96
1855	10	15	24	0	day	10.9	correction=-1.98
1855	10	16	24	0	day	11.7	correction=-2
1855	10	17	24	0	day	5.7	correction=-2.02
1855	10	18	24	0	day	8.9	correction=-2.04
1855	10	19	24	0	day	11.1	correction=-2.06
1855	10	20	24	0	day	10.6	correction=-2.08
1855	10	21	24	0	day	10.6	correction=-2.1
1855	10	22	24	0	day	9.3	correction=-2.12
1855	10	23	24	0	day	8.7	correction=-2.14
1855	10	24	24	0	day	9.9	correction=-2.16
1855	10	25	24	0	day	9.2	correction=-2.17
1855	10	26	24	0	day	9.7	correction=-2.19
1855	10	27	24	0	day	7.7	correction=-2.21
1855	10	28	24	0	day	12.1	correction=-2.23
1855	10	29	24	0	day	9	correction=-2.25
1855	10	30	24	0	day	6.8	correction=-2.26
1855	10	31	24	0	day	4.9	correction=-2.28
1855	11	1	24	0	day	4.5	correction=-2.3
1855	11	2	24	0	day	2.2	correction=-2.31
1855	11	3	24	0	day	2.5	correction=-2.33
1855	11	4	24	0	day	3.5	correction=-2.34
1855	11	5	24	0	day	2.2	correction=-2.36
1855	11	6	24	0	day	2	correction=-2.37
1855	11	7	24	0	day	1.5	correction=-2.39
1855	11	8	24	0	day	1.7	correction=-2.4
1855	11	9	24	0	day	1.3	correction=-2.41
1855	11	10	24	0	day	3.4	correction=-2.43
1855	11	11	24	0	day	2.7	correction=-2.44
1855	11	12	24	0	day	3	correction=-2.45
1855	11	13	24	0	day	2.6	correction=-2.46
1855	11	14	24	0	day	2.3	correction=-2.47
1855	11	15	24	0	day	3.4	correction=-2.48
1855	11	16	24	0	day	3.4	correction=-2.5
1855	11	17	24	0	day	2.3	correction=-2.5
1855	11	18	24	0	day	2.5	correction=-2.51
1855	11	19	24	0	day	2.9	correction=-2.52
1855	11	20	24	0	day	3	correction=-2.53
1855	11	21	24	0	day	4.1	correction=-2.54
1855	11	22	24	0	day	4.8	correction=-2.55
1855	11	23	24	0	day	4.4	correction=-2.55
1855	11	24	24	0	day	4.1	correction=-2.56
1855	11	25	24	0	day	3.1	correction=-2.57
1855	11	26	24	0	day	0.9	correction=-2.57
1855	11	27	24	0	day	0	correction=-2.58
1855	11	28	24	0	day	-1.9	correction=-2.58
1855	11	29	24	0	day	-0.3	correction=-2.59
1855	11	30	24	0	day	-0.1	correction=-2.59
1855	12	1	24	0	day	1.3	correction=-2.6
1855	12	2	24	0	day	0.7	correction=-2.6
1855	12	3	24	0	day	-1.5	correction=-2.6
1855	12	4	24	0	day	-3.3	correction=-2.61
1855	12	5	24	0	day	-2.3	correction=-2.61
1855	12	6	24	0	day	0.1	correction=-2.61
1855	12	7	24	0	day	0.2	correction=-2.61
1855	12	8	24	0	day	-1	correction=-2.61
1855	12	9	24	0	day	-2.3	correction=-2.61
1855	12	10	24	0	day	-5.7	correction=-2.61
1855	12	11	24	0	day	-10.6	correction=-2.61
1855	12	12	24	0	day	-9	correction=-2.61
1855	12	13	24	0	day	-9.2	correction=-2.61
1855	12	14	24	0	day	-8.6	correction=-2.61
1855	12	15	24	0	day	-1.3	correction=-2.61
1855	12	16	24	0	day	-5.6	correction=-2.61
1855	12	17	24	0	day	-6.1	correction=-2.61
1855	12	18	24	0	day	-2.8	correction=-2.6
1855	12	19	24	0	day	-9.4	correction=-2.6
1855	12	20	24	0	day	-12.4	correction=-2.6
1855	12	21	24	0	day	-11.6	correction=-2.59
1855	12	22	24	0	day	-5.7	correction=-2.59
1855	12	23	24	0	day	-6.9	correction=-2.59
1855	12	24	24	0	day	-1.1	correction=-2.58
1855	12	25	24	0	day	0.6	correction=-2.58
1855	12	26	24	0	day	-0.2	correction=-2.58
1855	12	27	24	0	day	-1.2	correction=-2.57
1855	12	28	24	0	day	-3.1	correction=-2.57
1855	12	29	24	0	day	-3.8	correction=-2.56
1855	12	30	24	0	day	-0.5	correction=-2.56
1855	12	31	24	0	day	-0.8	correction=-2.56
1856	1	1	24	0	day	-2.8	correction=-2.55
1856	1	2	24	0	day	-4.3	correction=-2.55
1856	1	3	24	0	day	-2.4	correction=-2.54
1856	1	4	24	0	day	-1.5	correction=-2.54
1856	1	5	24	0	day	-2.5	correction=-2.53
1856	1	6	24	0	day	-1.3	correction=-2.53
1856	1	7	24	0	day	0	correction=-2.52
1856	1	8	24	0	day	-0.1	correction=-2.52
1856	1	9	24	0	day	-0.3	correction=-2.51
1856	1	10	24	0	day	0.2	correction=-2.51
1856	1	11	24	0	day	2.4	correction=-2.5
1856	1	12	24	0	day	-3	correction=-2.5
1856	1	13	24	0	day	-7.3	correction=-2.49
1856	1	14	24	0	day	-8.2	correction=-2.49
1856	1	15	24	0	day	-3.4	correction=-2.48
1856	1	16	24	0	day	0.9	correction=-2.48
1856	1	17	24	0	day	-0.7	correction=-2.48
1856	1	18	24	0	day	-0.7	correction=-2.47
1856	1	19	24	0	day	-0.1	correction=-2.47
1856	1	20	24	0	day	1	correction=-2.46
1856	1	21	24	0	day	3.4	correction=-2.46
1856	1	22	24	0	day	3.8	correction=-2.46
1856	1	23	24	0	day	3.9	correction=-2.45
1856	1	24	24	0	day	2.6	correction=-2.45
1856	1	25	24	0	day	4.1	correction=-2.45
1856	1	26	24	0	day	2.8	correction=-2.44
1856	1	27	24	0	day	1.6	correction=-2.44
1856	1	28	24	0	day	0.7	correction=-2.44
