SEF	1.0.0
ID	Bern_Lombach
Name	Bern
Lat	46.946585
Lon	7.441255
Alt	540
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Lombach|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1785	6	16	24	0	day	21	correction=-0.4
1785	6	17	24	0	day	12.5	correction=-0.4
1785	6	19	24	0	day	14	correction=-0.4
1785	6	20	24	0	day	12	correction=-0.4
1785	6	21	24	0	day	15.1	correction=-0.4
1785	6	22	24	0	day	14.5	correction=-0.4
1785	6	23	24	0	day	14.3	correction=-0.4
1785	6	24	24	0	day	14.3	correction=-0.4
1785	6	25	24	0	day	16.4	correction=-0.4
1785	6	26	24	0	day	17.1	correction=-0.39
1785	6	27	24	0	day	18.4	correction=-0.39
1785	6	28	24	0	day	18.7	correction=-0.39
1785	6	29	24	0	day	18.2	correction=-0.39
1785	6	30	24	0	day	16.6	correction=-0.39
1785	7	1	24	0	day	17.4	correction=-0.39
1785	7	2	24	0	day	20.2	correction=-0.39
1785	7	3	24	0	day	18	correction=-0.39
1785	7	4	24	0	day	17.5	correction=-0.39
1785	7	5	24	0	day	18.2	correction=-0.39
1785	7	6	24	0	day	16	correction=-0.38
1785	7	7	24	0	day	14.7	correction=-0.38
1785	7	8	24	0	day	15.2	correction=-0.38
1785	7	9	24	0	day	14.8	correction=-0.38
1785	7	10	24	0	day	17.6	correction=-0.38
1785	7	11	24	0	day	16.8	correction=-0.38
1785	7	12	24	0	day	15	correction=-0.38
1785	7	13	24	0	day	16.4	correction=-0.37
1785	7	14	24	0	day	18.4	correction=-0.37
1785	7	15	24	0	day	16.8	correction=-0.37
1785	7	16	24	0	day	15	correction=-0.37
1785	7	17	24	0	day	16.8	correction=-0.37
1785	7	18	24	0	day	19.4	correction=-0.37
1785	7	19	24	0	day	18.5	correction=-0.36
1785	7	20	24	0	day	17.9	correction=-0.36
1785	7	21	24	0	day	14.7	correction=-0.36
1785	7	22	24	0	day	13.5	correction=-0.36
1785	7	23	24	0	day	14.6	correction=-0.36
1785	7	24	24	0	day	15.8	correction=-0.35
1785	7	25	24	0	day	13.6	correction=-0.35
1785	7	26	24	0	day	18	correction=-0.35
1785	7	27	24	0	day	18.7	correction=-0.35
1785	7	28	24	0	day	14.9	correction=-0.34
1785	7	29	24	0	day	16.4	correction=-0.34
1785	7	30	24	0	day	15.9	correction=-0.34
1785	7	31	24	0	day	13.7	correction=-0.34
1785	8	1	24	0	day	16.7	correction=-0.33
1785	8	2	24	0	day	20.2	correction=-0.33
1785	8	3	24	0	day	20.4	correction=-0.33
