SEF	1.0.0
ID	Bern_Studer
Name	Bern
Lat	46.947933
Lon	7.439289
Alt	540
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Studer|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1779	12	20	24	0	day	5	correction=-1.35
1779	12	21	24	0	day	6.3	correction=-1.35
1779	12	22	24	0	day	6.7	correction=-1.36
1779	12	23	24	0	day	0.5	correction=-1.37
1779	12	24	24	0	day	-2.7	correction=-1.37
1779	12	25	24	0	day	-1.5	correction=-1.38
1779	12	26	24	0	day	-0.3	correction=-1.38
1779	12	27	24	0	day	-1.7	correction=-1.39
1779	12	28	24	0	day	-2.6	correction=-1.4
1779	12	29	24	0	day	-1.6	correction=-1.4
1779	12	30	24	0	day	-0.7	correction=-1.41
1779	12	31	24	0	day	-3.3	correction=-1.41
1780	1	1	24	0	day	-5	correction=-1.42
1780	1	2	24	0	day	-6.2	correction=-1.43
1780	1	3	24	0	day	-8.2	correction=-1.43
1780	1	4	24	0	day	-3.8	correction=-1.44
1780	1	5	24	0	day	-10	correction=-1.44
1780	1	6	24	0	day	-9	correction=-1.45
1780	1	7	24	0	day	-7.8	correction=-1.45
1780	1	8	24	0	day	-7.6	correction=-1.46
1780	1	9	24	0	day	-8	correction=-1.46
1780	1	10	24	0	day	-8.1	correction=-1.46
1780	1	11	24	0	day	-2	correction=-1.47
1780	1	12	24	0	day	0	correction=-1.47
1780	1	13	24	0	day	-7.5	correction=-1.47
1780	1	14	24	0	day	-6.7	correction=-1.48
1780	1	15	24	0	day	-2.8	correction=-1.48
1780	1	16	24	0	day	1	correction=-1.48
1780	1	17	24	0	day	0.8	correction=-1.48
1780	1	18	24	0	day	2.4	correction=-1.49
1780	1	19	24	0	day	-0.1	correction=-1.49
1780	1	20	24	0	day	1.4	correction=-1.49
1780	1	21	24	0	day	0.4	correction=-1.49
1780	1	22	24	0	day	-2.4	correction=-1.49
1780	1	23	24	0	day	-7.5	correction=-1.49
1780	1	24	24	0	day	-9.6	correction=-1.49
1780	1	25	24	0	day	-7.8	correction=-1.49
1780	1	26	24	0	day	-7.3	correction=-1.49
1780	1	27	24	0	day	-6.6	correction=-1.49
1780	1	28	24	0	day	-10.3	correction=-1.49
1780	1	29	24	0	day	-11.2	correction=-1.49
1780	1	30	24	0	day	-6.1	correction=-1.49
1780	1	31	24	0	day	-6.2	correction=-1.49
1780	2	1	24	0	day	-5.8	correction=-1.48
1780	2	2	24	0	day	-1.4	correction=-1.48
1780	2	3	24	0	day	-2.3	correction=-1.48
1780	2	4	24	0	day	-8.9	correction=-1.48
1780	2	5	24	0	day	-1	correction=-1.47
1780	2	6	24	0	day	-0.3	correction=-1.47
1780	2	7	24	0	day	2.5	correction=-1.47
1780	2	8	24	0	day	1.4	correction=-1.46
1780	2	9	24	0	day	-2.7	correction=-1.46
1780	2	10	24	0	day	-3.3	correction=-1.46
1780	2	11	24	0	day	-3.3	correction=-1.45
1780	2	12	24	0	day	-1.1	correction=-1.45
1780	2	13	24	0	day	-3.6	correction=-1.44
1780	2	14	24	0	day	-1.7	correction=-1.44
1780	2	15	24	0	day	-3.2	correction=-1.44
1780	2	16	24	0	day	-1.2	correction=-1.43
1780	2	17	24	0	day	-7.1	correction=-1.43
1780	2	18	24	0	day	-11.8	correction=-1.42
1780	2	19	24	0	day	-8	correction=-1.42
1780	2	20	24	0	day	-2.7	correction=-1.41
1780	2	21	24	0	day	-4.3	correction=-1.4
1780	2	22	24	0	day	-3	correction=-1.4
1780	2	23	24	0	day	-6.1	correction=-1.39
1780	2	24	24	0	day	-10.7	correction=-1.39
1780	2	25	24	0	day	-6.7	correction=-1.38
1780	2	26	24	0	day	-3.7	correction=-1.38
1780	2	27	24	0	day	-6.1	correction=-1.37
1780	2	28	24	0	day	-1	correction=-1.37
1780	2	29	24	0	day	2.8	correction=-1.36
1780	3	1	24	0	day	1.9	correction=-1.36
1780	3	2	24	0	day	0.8	correction=-1.35
1780	3	3	24	0	day	5.5	correction=-1.35
1780	3	4	24	0	day	5.1	correction=-1.34
1780	3	5	24	0	day	4.2	correction=-1.34
1780	3	6	24	0	day	4.1	correction=-1.33
1780	3	7	24	0	day	5.6	correction=-1.33
1780	3	8	24	0	day	5.9	correction=-1.32
1780	3	9	24	0	day	5.1	correction=-1.32
1780	3	10	24	0	day	6.9	correction=-1.32
1780	3	11	24	0	day	6.7	correction=-1.31
1780	3	12	24	0	day	4.7	correction=-1.31
1780	3	13	24	0	day	7.3	correction=-1.31
1780	3	14	24	0	day	6.4	correction=-1.3
