SEF	1.0.0
ID	Bern_Tavel
Name	Bern
Lat	46.944747
Lon	7.436714
Alt	532
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Tavel
Year	Month	Day	Hour	Minute	Period	Value	Meta
1760	1	NA	NA	NA	month	-1.3	
1760	2	NA	NA	NA	month	0.1	
1760	3	NA	NA	NA	month	1.9	
1760	4	NA	NA	NA	month	11	
1760	5	NA	NA	NA	month	14.1	
1760	6	NA	NA	NA	month	17.3	
1760	7	NA	NA	NA	month	17.5	
1760	8	NA	NA	NA	month	16.3	
1760	9	NA	NA	NA	month	13.7	
1760	10	NA	NA	NA	month	9	
1760	11	NA	NA	NA	month	4	
1760	12	NA	NA	NA	month	1.9	
1761	1	NA	NA	NA	month	-3.5	
1761	2	NA	NA	NA	month	2.9	
1761	3	NA	NA	NA	month	6	
1761	4	NA	NA	NA	month	8.6	
1761	5	NA	NA	NA	month	14.4	
1761	6	NA	NA	NA	month	16.9	
1761	7	NA	NA	NA	month	18.6	
1761	8	NA	NA	NA	month	18.2	
1761	9	NA	NA	NA	month	14.4	
1761	10	NA	NA	NA	month	7.2	
1761	11	NA	NA	NA	month	2.5	
1761	12	NA	NA	NA	month	-3.6	
1762	1	NA	NA	NA	month	0	
1762	2	NA	NA	NA	month	-0.5	
1762	3	NA	NA	NA	month	0.6	
1762	4	NA	NA	NA	month	11.3	
1762	5	NA	NA	NA	month	14.8	
1762	6	NA	NA	NA	month	15.9	
1762	7	NA	NA	NA	month	19.5	
1762	8	NA	NA	NA	month	16.6	
1762	9	NA	NA	NA	month	13.2	
1762	10	NA	NA	NA	month	6.9	
1762	11	NA	NA	NA	month	2.5	
1762	12	NA	NA	NA	month	-4.3	
1763	1	NA	NA	NA	month	-4.7	
1763	2	NA	NA	NA	month	3.3	
1763	3	NA	NA	NA	month	2.7	
1763	4	NA	NA	NA	month	8.7	
1763	5	NA	NA	NA	month	11.8	
1763	6	NA	NA	NA	month	17.2	
1763	7	NA	NA	NA	month	18.2	
1763	8	NA	NA	NA	month	19	
1763	9	NA	NA	NA	month	12.6	
1763	10	NA	NA	NA	month	7.9	
1763	11	NA	NA	NA	month	2.6	
1763	12	NA	NA	NA	month	1.2	
1764	1	NA	NA	NA	month	2.4	
1764	2	NA	NA	NA	month	2.1	
1764	3	NA	NA	NA	month	1	
1764	4	NA	NA	NA	month	7.1	
1764	5	NA	NA	NA	month	14.3	
1764	6	NA	NA	NA	month	17.3	
1764	7	NA	NA	NA	month	18.4	
1764	8	NA	NA	NA	month	15.4	
1764	9	NA	NA	NA	month	11.6	
1764	10	NA	NA	NA	month	6.9	
1764	11	NA	NA	NA	month	3.1	
1764	12	NA	NA	NA	month	0.8	
1765	1	NA	NA	NA	month	0.2	
1765	2	NA	NA	NA	month	-1.5	
1765	3	NA	NA	NA	month	5.7	
1765	4	NA	NA	NA	month	8.6	
1765	5	NA	NA	NA	month	13.2	
1765	6	NA	NA	NA	month	17.2	
1765	7	NA	NA	NA	month	16.6	
1765	8	NA	NA	NA	month	16.8	
1765	9	NA	NA	NA	month	12.8	
1765	10	NA	NA	NA	month	8.9	
1765	11	NA	NA	NA	month	2.4	
1765	12	NA	NA	NA	month	-2.5	
1766	1	NA	NA	NA	month	-9.2	
1766	2	NA	NA	NA	month	-2.9	
1766	3	NA	NA	NA	month	3.5	
1766	4	NA	NA	NA	month	9.6	
1766	5	NA	NA	NA	month	12.9	
1766	6	NA	NA	NA	month	16.2	
1767	4	NA	NA	NA	month	7.4	
1767	5	NA	NA	NA	month	11.8	
1767	6	NA	NA	NA	month	15.8	
1767	7	NA	NA	NA	month	17.5	
1767	8	NA	NA	NA	month	16.4	
1767	9	NA	NA	NA	month	13.2	
1767	10	NA	NA	NA	month	8.4	
1767	11	NA	NA	NA	month	4.7	
1767	12	NA	NA	NA	month	-3	
1768	1	NA	NA	NA	month	-4.2	
1768	2	NA	NA	NA	month	0.4	
1768	3	NA	NA	NA	month	2.9	
1768	4	NA	NA	NA	month	9.2	
1768	5	NA	NA	NA	month	12.6	
1768	6	NA	NA	NA	month	15.4	
1768	7	NA	NA	NA	month	17.5	
1768	8	NA	NA	NA	month	16.6	
1768	9	NA	NA	NA	month	12.7	
1768	10	NA	NA	NA	month	9.8	
1768	11	NA	NA	NA	month	4	
1768	12	NA	NA	NA	month	-0.7	
1769	1	NA	NA	NA	month	-1.2	
1769	2	NA	NA	NA	month	0.1	
1769	3	NA	NA	NA	month	2.4	
1769	4	NA	NA	NA	month	8.9	
1769	5	NA	NA	NA	month	13.1	
1769	6	NA	NA	NA	month	14.9	
1769	7	NA	NA	NA	month	17.5	
1769	8	NA	NA	NA	month	19.1	
1769	9	NA	NA	NA	month	12.9	
1769	10	NA	NA	NA	month	5.7	
1769	11	NA	NA	NA	month	4.8	
1769	12	NA	NA	NA	month	0.6	
