SEF	1.0.0
ID	Bern_Trechsel
Name	Bern
Lat	46.948056
Lon	7.451607
Alt	542
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Trechsel|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1848	1	NA	NA	NA	month	-6.7	
1848	2	NA	NA	NA	month	0.8	
1848	3	NA	NA	NA	month	3.5	
1848	4	NA	NA	NA	month	8.8	
1848	5	NA	NA	NA	month	13.6	
1848	6	NA	NA	NA	month	16.1	
1848	7	NA	NA	NA	month	18.2	
1848	8	NA	NA	NA	month	17.4	
1848	9	NA	NA	NA	month	13.2	
1848	10	NA	NA	NA	month	8.6	
1848	11	NA	NA	NA	month	1.8	
1848	12	NA	NA	NA	month	-0.1	
1849	1	NA	NA	NA	month	0.6	
1849	2	NA	NA	NA	month	1.3	
1849	3	NA	NA	NA	month	2.2	
1849	4	NA	NA	NA	month	5.6	
1849	5	NA	NA	NA	month	12.7	
1849	6	NA	NA	NA	month	17.5	
1849	7	NA	NA	NA	month	18	
1849	8	NA	NA	NA	month	16.2	
1849	9	NA	NA	NA	month	14.2	
