SEF	1.0.0
ID	Bern_Trechsel
Name	Bern
Lat	46.948056
Lon	7.451607
Alt	542
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Trechsel|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1848	1	1	24	0	day	-5.9	correction=-0.81
1848	1	2	24	0	day	-4.8	correction=-0.82
1848	1	3	24	0	day	-5.9	correction=-0.82
1848	1	4	24	0	day	-7.8	correction=-0.83
1848	1	5	24	0	day	-7	correction=-0.84
1848	1	6	24	0	day	-3.2	correction=-0.85
1848	1	7	24	0	day	-3	correction=-0.86
1848	1	8	24	0	day	-4	correction=-0.87
1848	1	9	24	0	day	-7.4	correction=-0.88
1848	1	10	24	0	day	-6.7	correction=-0.89
1848	1	11	24	0	day	-5.3	correction=-0.9
1848	1	12	24	0	day	-5.4	correction=-0.91
1848	1	13	24	0	day	-4	correction=-0.91
1848	1	14	24	0	day	-6	correction=-0.92
1848	1	15	24	0	day	-8.8	correction=-0.93
1848	1	16	24	0	day	-7.3	correction=-0.94
1848	1	17	24	0	day	-7.4	correction=-0.95
1848	1	18	24	0	day	-8.3	correction=-0.96
1848	1	19	24	0	day	-7.8	correction=-0.97
1848	1	20	24	0	day	-7.4	correction=-0.98
1848	1	21	24	0	day	-9.3	correction=-0.98
1848	1	22	24	0	day	-6.9	correction=-0.99
1848	1	23	24	0	day	-8.1	correction=-1
1848	1	24	24	0	day	-6.5	correction=-1.01
1848	1	25	24	0	day	-6.2	correction=-1.02
1848	1	26	24	0	day	-8	correction=-1.03
1848	1	27	24	0	day	-10.7	correction=-1.04
1848	1	28	24	0	day	-8.2	correction=-1.04
1848	1	29	24	0	day	-10	correction=-1.05
1848	1	30	24	0	day	-9.2	correction=-1.06
1848	1	31	24	0	day	-1	correction=-1.07
1848	2	1	24	0	day	1.7	correction=-1.08
1848	2	2	24	0	day	-5	correction=-1.08
1848	2	3	24	0	day	-7.3	correction=-1.09
1848	2	4	24	0	day	-7.8	correction=-1.1
1848	2	5	24	0	day	-8.4	correction=-1.11
1848	2	6	24	0	day	-0.2	correction=-1.11
1848	2	7	24	0	day	2.5	correction=-1.12
1848	2	8	24	0	day	3.3	correction=-1.13
1848	2	9	24	0	day	1.8	correction=-1.13
1848	2	10	24	0	day	2.7	correction=-1.14
1848	2	11	24	0	day	2.7	correction=-1.15
1848	2	12	24	0	day	1.8	correction=-1.15
1848	2	13	24	0	day	1	correction=-1.16
1848	2	14	24	0	day	-1.2	correction=-1.16
1848	2	15	24	0	day	-0.4	correction=-1.17
1848	2	16	24	0	day	1.1	correction=-1.18
1848	2	17	24	0	day	1.6	correction=-1.18
1848	2	18	24	0	day	0.2	correction=-1.19
1848	2	19	24	0	day	0.2	correction=-1.19
1848	2	20	24	0	day	0.5	correction=-1.2
1848	2	21	24	0	day	0.7	correction=-1.2
1848	2	22	24	0	day	-0.6	correction=-1.21
1848	2	23	24	0	day	3.6	correction=-1.21
1848	2	24	24	0	day	3.5	correction=-1.21
1848	2	25	24	0	day	3.3	correction=-1.22
