SEF	1.0.0
ID	Bueren
Name	Büren an der Aare
Lat	47.139749
Lon	7.374165
Alt	440
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Studer|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1790	4	4	24	0	day	4.4	correction=-1.01
1790	4	5	24	0	day	3.9	correction=-1.02
1790	4	6	24	0	day	3.7	correction=-1.02
1790	4	7	24	0	day	5.8	correction=-1.02
1790	4	8	24	0	day	8.1	correction=-1.03
1790	4	9	24	0	day	7.6	correction=-1.04
1790	4	10	24	0	day	8.6	correction=-1.04
1790	4	11	24	0	day	9.3	correction=-1.05
1790	4	12	24	0	day	9.2	correction=-1.05
1790	4	13	24	0	day	10.5	correction=-1.06
1790	4	14	24	0	day	7.9	correction=-1.07
1790	4	15	24	0	day	7.6	correction=-1.08
1790	4	16	24	0	day	8.7	correction=-1.09
1790	4	17	24	0	day	8.5	correction=-1.09
1790	4	18	24	0	day	7.1	correction=-1.1
1790	4	19	24	0	day	5.2	correction=-1.11
1790	4	20	24	0	day	4.7	correction=-1.12
1790	4	21	24	0	day	5.1	correction=-1.13
1790	4	22	24	0	day	5.6	correction=-1.14
1790	4	23	24	0	day	8.3	correction=-1.15
1790	4	24	24	0	day	7.5	correction=-1.16
1790	4	25	24	0	day	7.5	correction=-1.18
1790	4	26	24	0	day	7.4	correction=-1.19
1790	4	27	24	0	day	10	correction=-1.2
1790	4	28	24	0	day	11.1	correction=-1.21
1790	4	29	24	0	day	11	correction=-1.22
1790	4	30	24	0	day	11.3	correction=-1.24
1790	5	1	24	0	day	13.1	correction=-1.25
1790	5	2	24	0	day	12.5	correction=-1.26
1790	5	3	24	0	day	11.7	correction=-1.28
1790	5	4	24	0	day	13.3	correction=-1.29
1790	5	5	24	0	day	11.7	correction=-1.3
1790	5	6	24	0	day	8	correction=-1.32
1790	5	7	24	0	day	6.7	correction=-1.33
1790	5	8	24	0	day	7.1	correction=-1.35
1790	5	9	24	0	day	8.9	correction=-1.36
1790	5	10	24	0	day	10.8	correction=-1.37
1790	5	11	24	0	day	14.5	correction=-1.39
1790	5	12	24	0	day	10.4	correction=-1.4
1790	5	13	24	0	day	11.6	correction=-1.42
1790	5	14	24	0	day	12.5	correction=-1.43
1790	5	15	24	0	day	13.3	correction=-1.45
1790	5	16	24	0	day	13.3	correction=-1.46
1790	5	17	24	0	day	14.3	correction=-1.48
1790	5	18	24	0	day	14.6	correction=-1.49
1790	5	19	24	0	day	12.7	correction=-1.51
1790	5	20	24	0	day	12.5	correction=-1.52
1790	5	21	24	0	day	11.7	correction=-1.54
1790	5	22	24	0	day	13.3	correction=-1.55
1790	5	23	24	0	day	15.8	correction=-1.57
1790	5	24	24	0	day	18	correction=-1.58
1790	5	25	24	0	day	18.9	correction=-1.6
