SEF	1.0.0
ID	Burgdorf
Name	Burgdorf
Lat	47.05686
Lon	7.62793
Alt	538
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Fankhauser|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1851	5	1	24	0	day	8.8	correction=-0.19
1851	5	2	24	0	day	6.7	correction=-0.2
1851	5	3	24	0	day	7.1	correction=-0.21
1851	5	4	24	0	day	7.8	correction=-0.21
1851	5	5	24	0	day	4.9	correction=-0.22
1851	5	6	24	0	day	4.2	correction=-0.23
1851	5	7	24	0	day	5.3	correction=-0.24
1851	5	8	24	0	day	5.7	correction=-0.25
1851	5	9	24	0	day	9	correction=-0.26
1851	5	10	24	0	day	10.4	correction=-0.26
1851	5	11	24	0	day	11	correction=-0.27
1851	5	12	24	0	day	10.1	correction=-0.28
1851	5	13	24	0	day	9.9	correction=-0.28
1851	5	14	24	0	day	8.3	correction=-0.29
1851	5	15	24	0	day	8.3	correction=-0.3
1851	5	16	24	0	day	8.7	correction=-0.3
1851	5	17	24	0	day	9.1	correction=-0.31
1851	5	18	24	0	day	7.3	correction=-0.31
1851	5	19	24	0	day	10.5	correction=-0.32
1851	5	20	24	0	day	8.9	correction=-0.32
1851	5	21	24	0	day	9.4	correction=-0.33
1851	5	22	24	0	day	12	correction=-0.33
1851	5	23	24	0	day	12.9	correction=-0.34
1851	5	24	24	0	day	10.8	correction=-0.34
1851	5	25	24	0	day	12	correction=-0.34
1851	5	26	24	0	day	10.6	correction=-0.35
1851	5	27	24	0	day	9	correction=-0.35
1851	5	28	24	0	day	6.8	correction=-0.35
1851	5	29	24	0	day	7.6	correction=-0.35
1851	5	30	24	0	day	8.5	correction=-0.35
1851	5	31	24	0	day	10.7	correction=-0.36
1851	6	1	24	0	day	10.1	correction=-0.36
1851	6	2	24	0	day	13.4	correction=-0.36
1851	6	3	24	0	day	14.3	correction=-0.36
1851	6	4	24	0	day	14.8	correction=-0.36
1851	6	5	24	0	day	15.2	correction=-0.36
1851	6	6	24	0	day	17.8	correction=-0.36
