SEF	1.0.0
ID	Burgdorf
Name	Burgdorf
Lat	47.05686
Lon	7.62793
Alt	538
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Fankhauser|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1857	1	1	24	0	day	0.7	correction=-0.73
1857	1	2	24	0	day	0.9	correction=-0.72
1857	1	3	24	0	day	1.3	correction=-0.71
1857	1	4	24	0	day	1.4	correction=-0.7
1857	1	5	24	0	day	-0.6	correction=-0.7
1857	1	6	24	0	day	-1.3	correction=-0.69
1857	1	7	24	0	day	-2.3	correction=-0.68
1857	1	8	24	0	day	-2.9	correction=-0.67
1857	1	9	24	0	day	-3.5	correction=-0.66
1857	1	10	24	0	day	-2.9	correction=-0.65
1857	1	11	24	0	day	0.3	correction=-0.65
1857	1	12	24	0	day	0.2	correction=-0.64
1857	1	13	24	0	day	0.3	correction=-0.63
1857	1	14	24	0	day	-1.2	correction=-0.62
1857	1	15	24	0	day	-3.9	correction=-0.61
1857	1	16	24	0	day	-4.7	correction=-0.6
1857	1	17	24	0	day	-1.4	correction=-0.59
1857	1	18	24	0	day	-5.4	correction=-0.58
1857	1	19	24	0	day	-5.2	correction=-0.57
1857	1	20	24	0	day	0.5	correction=-0.56
1857	1	21	24	0	day	-2	correction=-0.55
1857	1	22	24	0	day	-2.7	correction=-0.54
1857	1	23	24	0	day	-3.4	correction=-0.53
1857	1	24	24	0	day	-5.8	correction=-0.52
1857	1	25	24	0	day	-6.8	correction=-0.51
1857	1	26	24	0	day	-7.1	correction=-0.5
1857	1	27	24	0	day	-5.2	correction=-0.49
1857	1	28	24	0	day	-4.3	correction=-0.48
1857	1	29	24	0	day	-3.3	correction=-0.47
1857	1	30	24	0	day	-5.4	correction=-0.46
1857	1	31	24	0	day	-10.4	correction=-0.46
1857	2	1	24	0	day	-10.8	correction=-0.45
1857	2	2	24	0	day	-11.8	correction=-0.44
1857	2	3	24	0	day	-10.4	correction=-0.43
1857	2	4	24	0	day	-7.6	correction=-0.42
1857	2	5	24	0	day	-4.6	correction=-0.41
1857	2	6	24	0	day	-5.7	correction=-0.4
1857	2	7	24	0	day	-8.1	correction=-0.39
1857	2	8	24	0	day	-6.7	correction=-0.38
1857	2	9	24	0	day	-5.9	correction=-0.38
1857	2	10	24	0	day	-3.9	correction=-0.37
1857	2	11	24	0	day	-0.2	correction=-0.36
1857	2	12	24	0	day	2.2	correction=-0.35
1857	2	13	24	0	day	-1.2	correction=-0.35
1857	2	14	24	0	day	-1.6	correction=-0.34
1857	2	15	24	0	day	-1.2	correction=-0.33
1857	2	16	24	0	day	-1.3	correction=-0.33
1857	2	17	24	0	day	-0.8	correction=-0.32
1857	2	18	24	0	day	1.3	correction=-0.31
1857	2	19	24	0	day	0.1	correction=-0.31
1857	2	20	24	0	day	3	correction=-0.3
1857	2	21	24	0	day	3	correction=-0.3
1857	2	22	24	0	day	2.7	correction=-0.29
1857	2	23	24	0	day	2.6	correction=-0.29
1857	2	24	24	0	day	-0.3	correction=-0.28
1857	2	25	24	0	day	0.6	correction=-0.28
1857	2	26	24	0	day	6.3	correction=-0.28
1857	2	27	24	0	day	1.4	correction=-0.27
1857	2	28	24	0	day	1.8	correction=-0.27
1857	3	1	24	0	day	3.1	correction=-0.27
1857	3	2	24	0	day	1.4	correction=-0.26
1857	3	3	24	0	day	2.2	correction=-0.26
1857	3	4	24	0	day	1.7	correction=-0.26
1857	3	5	24	0	day	1.9	correction=-0.26
1857	3	6	24	0	day	0.8	correction=-0.26
1857	3	7	24	0	day	4	correction=-0.26
1857	3	8	24	0	day	4.8	correction=-0.26
1857	3	9	24	0	day	1	correction=-0.26
1857	3	10	24	0	day	-1.2	correction=-0.26
1857	3	11	24	0	day	-4	correction=-0.26
1857	3	12	24	0	day	-6.9	correction=-0.26
1857	3	13	24	0	day	-5.4	correction=-0.26
1857	3	14	24	0	day	0.2	correction=-0.26
1857	3	15	24	0	day	7.9	correction=-0.26
1857	3	16	24	0	day	6.5	correction=-0.26
1857	3	17	24	0	day	5.1	correction=-0.27
1857	3	18	24	0	day	3.6	correction=-0.27
1857	3	19	24	0	day	4.4	correction=-0.27
1857	3	20	24	0	day	3.5	correction=-0.28
1857	3	21	24	0	day	0.9	correction=-0.28
1857	3	22	24	0	day	3.8	correction=-0.28
1857	3	23	24	0	day	5	correction=-0.29
1857	3	24	24	0	day	5.7	correction=-0.29
1857	3	25	24	0	day	4.8	correction=-0.3
1857	3	26	24	0	day	5.8	correction=-0.3
1857	3	27	24	0	day	4.5	correction=-0.31
