SEF	1.0.0
ID	Sutz
Name	Sutz
Lat	47.103882
Lon	7.217036
Alt	447
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Sprüngli
Year	Month	Day	Hour	Minute	Period	Value	Meta
1785	1	1	24	0	day	-2	correction=-1.94
1785	1	2	24	0	day	-1.4	correction=-1.95
1785	1	3	24	0	day	-0.8	correction=-1.96
1785	1	4	24	0	day	-0.1	correction=-1.97
1785	1	5	24	0	day	-0.1	correction=-1.98
1785	1	6	24	0	day	-0.8	correction=-1.99
1785	1	7	24	0	day	0.2	correction=-2
1785	1	8	24	0	day	-0.8	correction=-2
1785	1	9	24	0	day	-1.6	correction=-2.01
1785	1	10	24	0	day	-3.4	correction=-2.02
1785	1	11	24	0	day	-2.8	correction=-2.02
1785	1	12	24	0	day	-2.7	correction=-2.03
1785	1	13	24	0	day	-2.7	correction=-2.03
1785	1	14	24	0	day	-3.5	correction=-2.03
1785	1	15	24	0	day	-2.5	correction=-2.04
1785	1	16	24	0	day	-1.2	correction=-2.04
1785	1	17	24	0	day	-1.4	correction=-2.04
1785	1	18	24	0	day	-2.4	correction=-2.04
1785	1	19	24	0	day	-1.8	correction=-2.04
1785	1	20	24	0	day	-1.8	correction=-2.04
1785	1	21	24	0	day	-1.6	correction=-2.04
1785	1	22	24	0	day	-2	correction=-2.04
1785	1	23	24	0	day	-2.8	correction=-2.04
1785	1	24	24	0	day	-2.9	correction=-2.04
1785	1	25	24	0	day	-2.6	correction=-2.04
1785	1	26	24	0	day	-3.8	correction=-2.03
1785	1	27	24	0	day	-3.6	correction=-2.03
1785	1	28	24	0	day	-2.7	correction=-2.02
1785	1	29	24	0	day	0	correction=-2.02
1785	1	30	24	0	day	-0.6	correction=-2.01
1785	1	31	24	0	day	-0.1	correction=-2.01
1785	2	1	24	0	day	-2.9	correction=-2
1785	2	2	24	0	day	-4.1	correction=-1.99
1785	2	3	24	0	day	-2.9	correction=-1.99
1785	2	4	24	0	day	-2.4	correction=-1.98
1785	2	5	24	0	day	-2.3	correction=-1.97
1785	2	6	24	0	day	-0.9	correction=-1.96
1785	2	7	24	0	day	-0.2	correction=-1.95
1785	2	8	24	0	day	-0.6	correction=-1.94
1785	2	9	24	0	day	-0.5	correction=-1.93
1785	2	10	24	0	day	0.4	correction=-1.92
1785	2	11	24	0	day	-1	correction=-1.91
1785	2	12	24	0	day	-3.4	correction=-1.89
1785	2	13	24	0	day	-5.2	correction=-1.88
1785	2	14	24	0	day	-6.6	correction=-1.87
1785	2	15	24	0	day	-6.4	correction=-1.86
1785	2	16	24	0	day	-3.2	correction=-1.84
1785	2	17	24	0	day	-4.4	correction=-1.83
1785	2	18	24	0	day	-3.7	correction=-1.81
1785	2	19	24	0	day	-2.5	correction=-1.8
1785	2	20	24	0	day	-2.7	correction=-1.78
1785	2	21	24	0	day	-5.1	correction=-1.77
1785	2	22	24	0	day	-6.2	correction=-1.75
1785	2	23	24	0	day	-4.3	correction=-1.73
1785	2	24	24	0	day	-2.9	correction=-1.72
1785	2	25	24	0	day	-2.2	correction=-1.7
1785	2	26	24	0	day	-1.6	correction=-1.68
1785	2	27	24	0	day	-5.8	correction=-1.66
1785	2	28	24	0	day	-9.4	correction=-1.65
1785	3	1	24	0	day	-12.5	correction=-1.63
1785	3	2	24	0	day	-7.5	correction=-1.61
1785	3	3	24	0	day	-6.7	correction=-1.59
1785	3	4	24	0	day	-6.7	correction=-1.57
1785	3	5	24	0	day	-5.2	correction=-1.55
1785	3	6	24	0	day	-4.2	correction=-1.53
1785	3	7	24	0	day	-4.3	correction=-1.51
1785	3	8	24	0	day	-3.2	correction=-1.49
1785	3	9	24	0	day	-0.3	correction=-1.47
1785	3	10	24	0	day	0.6	correction=-1.45
1785	3	11	24	0	day	0.8	correction=-1.43
1785	3	12	24	0	day	0	correction=-1.41
1785	3	13	24	0	day	-4.4	correction=-1.39
1785	3	14	24	0	day	-6.1	correction=-1.37
1785	3	15	24	0	day	-7.3	correction=-1.35
1785	3	16	24	0	day	-5.7	correction=-1.33
1785	3	17	24	0	day	-4.5	correction=-1.31
1785	3	18	24	0	day	-3.5	correction=-1.29
1785	3	19	24	0	day	-1.7	correction=-1.27
1785	3	20	24	0	day	-0.4	correction=-1.25
1785	3	21	24	0	day	0.1	correction=-1.23
1785	3	22	24	0	day	-0.6	correction=-1.21
1785	3	23	24	0	day	-4.3	correction=-1.19
1785	3	24	24	0	day	-4.7	correction=-1.17
1785	3	25	24	0	day	-4.1	correction=-1.15
1785	3	26	24	0	day	-2.7	correction=-1.13
1785	3	27	24	0	day	-1.7	correction=-1.11
