"Date","Ta_mean","Std_err","Segment","Obs_times_UTC"
1760-01-01,6.6,0.59,"Bern_Tavel","0716|1430|2130"
1760-01-02,3.9,0.6,"Bern_Tavel","0716|1430|2130"
1760-01-03,0.6,0.6,"Bern_Tavel","0716|1430|2130"
1760-01-04,-0.4,0.6,"Bern_Tavel","0716|1430|2130"
1760-01-05,-0.5,0.6,"Bern_Tavel","0715|1430|2130"
1760-01-06,2.6,0.6,"Bern_Tavel","0715|1430|2130"
1760-01-07,1.2,0.6,"Bern_Tavel","0714|1430|2130"
1760-01-08,-3.8,0.6,"Bern_Tavel","0714|1430|2130"
1760-01-09,-6.7,0.6,"Bern_Tavel","0713|1430|2130"
1760-01-10,-6.3,0.61,"Bern_Tavel","0713|1430|2130"
1760-01-11,-6.2,0.61,"Bern_Tavel","0712|1430|2130"
1760-01-12,-5.7,0.61,"Bern_Tavel","0712|1430|2130"
1760-01-13,-4.9,0.61,"Bern_Tavel","0711|1430|2130"
1760-01-14,-1.5,0.61,"Bern_Tavel","0710|1430|2130"
1760-01-15,-3.9,0.62,"Bern_Tavel","0709|1430|2130"
1760-01-16,-4.8,0.62,"Bern_Tavel","0709|1430|2130"
1760-01-17,-4.8,0.62,"Bern_Tavel","0708|1430|2130"
1760-01-18,-5.6,0.62,"Bern_Tavel","0707|1430|2130"
1760-01-19,-7.1,0.62,"Bern_Tavel","0706|1430|2130"
1760-01-20,-7.5,0.61,"Bern_Tavel","0705|1430|2130"
1760-01-21,-9.4,0.61,"Bern_Tavel","0704|1430|2130"
1760-01-22,-3,0.62,"Bern_Tavel","0703|1430|2130"
1760-01-23,-1.8,0.62,"Bern_Tavel","0702|1430|2130"
1760-01-24,2,0.62,"Bern_Tavel","0701|1430|2130"
1760-01-25,5.1,0.63,"Bern_Tavel","0700|1430|2130"
1760-01-26,3,0.63,"Bern_Tavel","0659|1430|2130"
1760-01-27,3.1,0.63,"Bern_Tavel","0657|1430|2130"
1760-01-28,6.2,0.63,"Bern_Tavel","0656|1430|2130"
1760-01-29,5.4,0.64,"Bern_Tavel","0655|1430|2130"
