SEF	1.0.0
ID	Avully
Name	Avully
Lat	46.16955
Lon	6.00038
Alt	424
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Mallet
Year	Month	Day	Hour	Minute	Period	Value	Meta
1778	7	8	24	0	day	20.4	
1778	7	9	24	0	day	20.3	
1778	7	10	24	0	day	20.9	
1778	7	11	24	0	day	21.8	
1778	7	12	24	0	day	21.7	
1778	7	13	24	0	day	21.8	
1778	7	14	24	0	day	23.7	
1778	7	15	24	0	day	22.2	
1778	7	16	24	0	day	22.1	
1778	7	17	24	0	day	22.1	
1778	7	18	24	0	day	20.3	
1778	7	19	24	0	day	22.6	
1778	7	20	24	0	day	21	
1778	7	21	24	0	day	16.9	
1778	7	22	24	0	day	18.7	
1778	7	23	24	0	day	20.9	
1778	7	24	24	0	day	23.8	
1778	7	25	24	0	day	24.4	
1778	7	26	24	0	day	19.3	
1778	7	27	24	0	day	20.3	
1778	7	28	24	0	day	25	
1778	7	29	24	0	day	17.7	
1778	7	30	24	0	day	17.4	
1778	7	31	24	0	day	20	
1778	8	1	24	0	day	17.7	
1778	8	2	24	0	day	16.3	
1778	8	3	24	0	day	17.6	
1778	8	4	24	0	day	19.7	
1778	8	5	24	0	day	20.9	
1778	8	6	24	0	day	22.7	
1778	8	7	24	0	day	24.8	
1778	8	8	24	0	day	20.3	
1778	8	9	24	0	day	19	
1778	8	10	24	0	day	20.9	
1778	8	11	24	0	day	21.5	
1778	8	12	24	0	day	22.8	
1778	8	13	24	0	day	23.1	
1778	8	14	24	0	day	23.6	
1778	8	15	24	0	day	22.8	
1778	8	16	24	0	day	18.3	
1778	8	17	24	0	day	17.1	
1778	8	18	24	0	day	18.7	
1778	8	19	24	0	day	20.8	
1778	8	20	24	0	day	21.5	
1778	8	21	24	0	day	22	
1778	8	22	24	0	day	22.3	
1778	8	23	24	0	day	21	
1778	8	24	24	0	day	20	
1778	8	25	24	0	day	21.7	
1778	8	26	24	0	day	22.1	
1778	8	27	24	0	day	18.3	
1778	8	28	24	0	day	13.9	
1778	8	29	24	0	day	15.3	
1778	8	30	24	0	day	15.7	
1778	8	31	24	0	day	15.1	
1778	9	1	24	0	day	10.5	
1778	9	2	24	0	day	13.2	
1778	9	3	24	0	day	14.1	
1778	9	4	24	0	day	14.3	
1778	9	5	24	0	day	12.4	
1778	9	6	24	0	day	14.1	
1778	9	7	24	0	day	13.4	
1778	9	8	24	0	day	13	
1778	9	9	24	0	day	11.6	
1778	9	10	24	0	day	12.1	
1778	9	11	24	0	day	12.2	
1778	9	12	24	0	day	14.1	
1778	9	13	24	0	day	18.4	
1778	9	14	24	0	day	19.5	
1778	9	15	24	0	day	15.7	
1778	9	16	24	0	day	17.4	
1778	9	17	24	0	day	17	
1778	9	18	24	0	day	11.7	
1778	9	19	24	0	day	11.6	
1778	9	20	24	0	day	11.3	
1778	9	21	24	0	day	12.3	
1778	9	22	24	0	day	12.2	
1778	9	23	24	0	day	12.4	
1778	9	24	24	0	day	11.6	
1778	9	25	24	0	day	13.3	
1778	9	26	24	0	day	15.6	
1778	9	27	24	0	day	13.2	
1778	9	28	24	0	day	11.8	
1778	9	29	24	0	day	10	
1778	9	30	24	0	day	10.9	
1778	10	1	24	0	day	11	
1778	10	2	24	0	day	10.8	
1778	10	3	24	0	day	10.6	
1778	10	4	24	0	day	9.5	
1778	10	5	24	0	day	8.9	
1778	10	6	24	0	day	10.6	
1778	10	7	24	0	day	10.9	
1778	10	8	24	0	day	12	
1778	10	9	24	0	day	11.5	
1778	10	10	24	0	day	10.5	
1778	10	11	24	0	day	10.9	
1778	10	12	24	0	day	11.4	
1778	10	13	24	0	day	8.1	
1778	10	14	24	0	day	9.4	
1778	10	15	24	0	day	11.1	
1778	10	16	24	0	day	8.2	
1778	10	17	24	0	day	4.4	
1778	10	18	24	0	day	3.8	
1778	10	19	24	0	day	4.1	
1778	10	20	24	0	day	8	
1778	10	21	24	0	day	11.6	
1778	10	22	24	0	day	10.4	
1778	10	23	24	0	day	11.4	
1778	10	24	24	0	day	14.4	
1778	10	25	24	0	day	17	
1778	10	26	24	0	day	12.5	
1778	10	27	24	0	day	7.2	
1778	10	28	24	0	day	7.2	
1778	10	29	24	0	day	9.9	
1778	10	30	24	0	day	9.1	
1778	10	31	24	0	day	8.8	
1778	11	1	24	0	day	9.7	
1778	11	2	24	0	day	5	
1778	11	3	24	0	day	5.8	
1778	11	4	24	0	day	4.9	
1778	11	5	24	0	day	7.7	
1778	11	6	24	0	day	6.4	
1778	11	7	24	0	day	6.3	
1778	11	8	24	0	day	4.5	
1778	11	9	24	0	day	6.2	
1778	11	10	24	0	day	4.6	
1778	11	11	24	0	day	6.4	
1778	11	12	24	0	day	6.9	
1778	11	13	24	0	day	3.2	
1778	11	14	24	0	day	1.3	
1778	11	15	24	0	day	3.9	
1778	11	16	24	0	day	7.2	
1778	11	17	24	0	day	4.3	
1778	11	18	24	0	day	8.3	
1778	11	19	24	0	day	5.7	
1778	11	20	24	0	day	1.3	
1778	11	21	24	0	day	1.9	
1778	11	22	24	0	day	1.5	
1778	11	23	24	0	day	1.3	
1778	11	24	24	0	day	5.5	
1778	11	25	24	0	day	7.3	
1778	11	26	24	0	day	3.9	
1778	11	27	24	0	day	5	
1778	11	28	24	0	day	6.2	
1778	11	29	24	0	day	6.1	
1778	11	30	24	0	day	5.8	
1778	12	1	24	0	day	1.8	
1778	12	2	24	0	day	-0.2	
1778	12	3	24	0	day	0.5	
1778	12	4	24	0	day	3	
1778	12	5	24	0	day	5.2	
1778	12	6	24	0	day	7.6	
1778	12	7	24	0	day	9.2	
1778	12	8	24	0	day	5.8	
1778	12	9	24	0	day	4	
1778	12	10	24	0	day	4	
1778	12	11	24	0	day	5.1	
1778	12	12	24	0	day	3.4	
1778	12	13	24	0	day	8.4	
1778	12	14	24	0	day	7.2	
1778	12	15	24	0	day	8.3	
1778	12	16	24	0	day	3.4	
1778	12	17	24	0	day	2.5	
1779	6	16	24	0	day	16.9	
1779	6	17	24	0	day	15.4	
1779	6	18	24	0	day	15.6	
1779	6	19	24	0	day	15.5	
1779	6	20	24	0	day	13.4	
1779	6	21	24	0	day	13.7	
1779	6	22	24	0	day	16.7	
1779	6	23	24	0	day	15	
1779	6	24	24	0	day	12.9	
1779	6	25	24	0	day	12.9	
1779	6	26	24	0	day	14.2	
1779	6	27	24	0	day	16.9	
1779	6	28	24	0	day	17.9	
1779	6	29	24	0	day	20.3	
1779	6	30	24	0	day	19.5	
1779	7	1	24	0	day	18.2	
1779	7	2	24	0	day	14.4	
1779	7	3	24	0	day	16.9	
1779	7	4	24	0	day	19.9	
1779	7	5	24	0	day	14.8	
1779	7	6	24	0	day	12.6	
1779	7	7	24	0	day	11.4	
1779	7	8	24	0	day	13	
1779	7	11	24	0	day	18.4	
1779	7	12	24	0	day	20	
1779	7	13	24	0	day	19.9	
1779	7	14	24	0	day	19.6	
1779	7	15	24	0	day	18.2	
1779	7	16	24	0	day	19.4	
1779	7	17	24	0	day	20.1	
1779	7	18	24	0	day	21.6	
1779	7	19	24	0	day	21.6	
1779	7	20	24	0	day	20.3	
1779	7	21	24	0	day	20	
