SEF	1.0.0
ID	Geneva_JdG
Name	Geneva
Lat	46.19974
Lon	6.15148
Alt	399
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Address=Observatoire Mallet|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1787	7	26	24	0	day	17.4	
1787	7	27	24	0	day	17.1	
1787	7	28	24	0	day	16.6	
1787	7	29	24	0	day	19.3	
1787	7	30	24	0	day	22.5	
1787	7	31	24	0	day	21.1	
1787	8	1	24	0	day	19.2	
1787	8	2	24	0	day	21.5	
1787	8	3	24	0	day	23.9	
1787	8	4	24	0	day	22.7	
1787	8	5	24	0	day	22.2	
1787	8	6	24	0	day	23.9	
1787	8	7	24	0	day	23.6	
1787	8	8	24	0	day	22.7	
1787	8	9	24	0	day	22.9	
1787	8	10	24	0	day	24.6	
1787	8	11	24	0	day	23.3	
1787	8	12	24	0	day	22.9	
1787	8	13	24	0	day	18.5	
1787	8	14	24	0	day	17.6	
1787	8	15	24	0	day	19.7	
1787	8	16	24	0	day	19.2	
1787	8	17	24	0	day	22.7	
1787	8	18	24	0	day	22.4	
1787	8	19	24	0	day	17.9	
1787	8	20	24	0	day	19.1	
1787	8	21	24	0	day	18.2	
1787	8	22	24	0	day	19.5	
1787	8	23	24	0	day	20.4	
1787	8	24	24	0	day	20.3	
1787	8	25	24	0	day	19.6	
1787	8	26	24	0	day	14.4	
1787	8	27	24	0	day	14.1	
1787	8	28	24	0	day	13.2	
1787	8	29	24	0	day	12.8	
1787	8	30	24	0	day	13	
1787	8	31	24	0	day	14.4	
1787	9	1	24	0	day	15.3	
1787	9	2	24	0	day	16.1	
1787	9	3	24	0	day	15.2	
1787	9	4	24	0	day	15.9	
1787	9	5	24	0	day	14.8	
1787	9	6	24	0	day	15.5	
1787	9	7	24	0	day	17.3	
1787	9	8	24	0	day	17.7	
1787	9	9	24	0	day	16.1	
1787	9	10	24	0	day	14.3	
1787	9	11	24	0	day	13.4	
1787	9	12	24	0	day	13.3	
1787	9	13	24	0	day	11.7	
1787	9	14	24	0	day	13.3	
1787	9	15	24	0	day	15.9	
1787	9	16	24	0	day	15.6	
1787	9	17	24	0	day	15	
1787	9	18	24	0	day	13.2	
1787	9	19	24	0	day	14	
1787	9	20	24	0	day	13.5	
1787	9	21	24	0	day	11.7	
1787	9	22	24	0	day	13.7	
1787	9	23	24	0	day	16.4	
1787	9	24	24	0	day	17.4	
1787	9	25	24	0	day	15.7	
1787	9	26	24	0	day	17	
1787	9	27	24	0	day	15.4	
1787	9	28	24	0	day	14.7	
1787	9	29	24	0	day	13.4	
1787	9	30	24	0	day	14.7	
1787	10	1	24	0	day	14	
1787	10	2	24	0	day	13.8	
1787	10	3	24	0	day	13.2	
1787	10	4	24	0	day	14.2	
1787	10	5	24	0	day	12.3	
1787	10	6	24	0	day	12.2	
1787	10	7	24	0	day	11.6	
1787	10	8	24	0	day	12.3	
1787	10	9	24	0	day	12.7	
1787	10	10	24	0	day	14.9	
1787	10	11	24	0	day	20.1	
1787	10	12	24	0	day	9.7	
1787	10	13	24	0	day	11.4	
1787	10	14	24	0	day	9	
1787	10	15	24	0	day	7.6	
1787	10	16	24	0	day	6.8	
