SEF	1.0.0
ID	Geneva_Lubieres
Name	Geneva
Lat	46.221
Lon	6.122
Alt	445
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Lubières | Address=Petit-Saconnex|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1760	5	1	24	0	day	13.7	
1760	5	2	24	0	day	14.2	
1760	5	7	24	0	day	18.1	
1760	5	8	24	0	day	19.1	
1760	5	10	24	0	day	18.3	
1760	5	11	24	0	day	15.6	
1760	5	13	24	0	day	13.9	
1760	5	14	24	0	day	14.8	
1760	5	19	24	0	day	18.7	
1760	5	20	24	0	day	14.2	
1760	5	23	24	0	day	12.5	
1760	5	24	24	0	day	11.6	
1760	5	25	24	0	day	16.3	
1760	5	27	24	0	day	17.3	
1760	5	29	24	0	day	20.1	
1760	5	31	24	0	day	20.2	
1760	6	1	24	0	day	21.7	
1760	6	3	24	0	day	23.6	
1760	6	4	24	0	day	23.8	
1760	6	6	24	0	day	20.4	
1760	6	9	24	0	day	21.8	
1760	6	11	24	0	day	21.2	
1760	6	13	24	0	day	22.5	
1760	6	15	24	0	day	19.8	
1760	6	16	24	0	day	18.9	
1760	6	18	24	0	day	17.1	
1760	6	19	24	0	day	19	
1760	6	20	24	0	day	18.2	
1760	6	23	24	0	day	20	
1760	6	25	24	0	day	19.2	
1760	6	27	24	0	day	21.1	
1760	6	28	24	0	day	20.1	
1760	6	29	24	0	day	19.3	
1760	7	1	24	0	day	20.1	
1760	7	2	24	0	day	21.3	
1760	7	4	24	0	day	21.3	
1760	7	5	24	0	day	23.6	
1760	7	11	24	0	day	22.2	
1760	7	12	24	0	day	19	
1760	7	14	24	0	day	19.4	
1760	7	15	24	0	day	21.3	
1760	7	17	24	0	day	21.7	
1760	7	18	24	0	day	24	
1760	7	19	24	0	day	25.8	
1760	7	21	24	0	day	24.5	
1760	7	28	24	0	day	17.5	
1760	7	30	24	0	day	20.2	
1760	8	1	24	0	day	22.1	
1760	8	2	24	0	day	20.2	
1760	8	3	24	0	day	21.1	
1760	8	5	24	0	day	19.2	
1760	8	6	24	0	day	21	
1760	8	7	24	0	day	20.9	
1760	8	8	24	0	day	24	
1760	8	10	24	0	day	20	
1760	8	12	24	0	day	20.9	
1760	8	14	24	0	day	20.8	
1760	8	23	24	0	day	20.7	
1760	8	24	24	0	day	21.5	
1760	8	25	24	0	day	24.7	
1760	8	26	24	0	day	20.4	
1760	8	28	24	0	day	16.6	
1760	9	4	24	0	day	17.7	
1760	9	8	24	0	day	16.1	
1760	9	12	24	0	day	15.9	
1760	9	13	24	0	day	16.8	
1760	9	14	24	0	day	15.7	
1760	9	17	24	0	day	16	
1760	9	18	24	0	day	16.5	
1760	9	20	24	0	day	17.2	
1760	9	21	24	0	day	16.3	
1760	9	23	24	0	day	14.8	
1760	9	26	24	0	day	14.1	
1760	9	28	24	0	day	15.9	
1760	9	29	24	0	day	17.6	
1760	9	30	24	0	day	14.8	
1761	5	3	24	0	day	14.2	
1761	5	4	24	0	day	15.7	
1761	5	5	24	0	day	17.2	
1761	5	6	24	0	day	17.2	
1761	5	7	24	0	day	15.4	
1761	5	11	24	0	day	13.3	
1761	5	12	24	0	day	15.6	
1761	5	13	24	0	day	16.1	
1761	5	15	24	0	day	15.8	
1761	5	16	24	0	day	14.9	
1761	5	17	24	0	day	17.3	
1761	5	18	24	0	day	15.9	
1761	5	23	24	0	day	17.5	
1761	5	24	24	0	day	18.9	
1761	5	25	24	0	day	19.4	
1761	5	26	24	0	day	20.8	
1761	5	27	24	0	day	18.2	
1761	5	28	24	0	day	18.2	
1761	5	29	24	0	day	18.2	
1761	5	31	24	0	day	17.9	
1761	6	1	24	0	day	16.5	
1761	6	2	24	0	day	16.6	
1761	6	3	24	0	day	17.6	
1761	6	5	24	0	day	18.9	
1761	6	6	24	0	day	18.2	
1761	6	7	24	0	day	19.5	
1761	6	8	24	0	day	19.4	
1761	6	9	24	0	day	19.4	
1761	6	10	24	0	day	18.7	
1761	6	11	24	0	day	19.6	
1761	6	12	24	0	day	19.7	
1761	6	13	24	0	day	20.7	
1761	6	14	24	0	day	18.8	
1761	6	15	24	0	day	17	
1761	6	16	24	0	day	16.1	
1761	6	17	24	0	day	17.1	
1761	6	18	24	0	day	17.1	
1761	6	19	24	0	day	19	
1761	6	20	24	0	day	19	
1761	6	21	24	0	day	19.9	
1761	6	22	24	0	day	21.2	
1761	6	23	24	0	day	22.7	
1761	6	24	24	0	day	23.6	
1761	6	26	24	0	day	20.4	
1761	6	27	24	0	day	23	
1761	6	28	24	0	day	23.7	
1761	6	30	24	0	day	22.1	
1761	7	1	24	0	day	23.1	
1761	7	3	24	0	day	23.3	
1761	7	5	24	0	day	21.2	
1761	7	8	24	0	day	21.9	
1761	7	9	24	0	day	20.3	
1761	7	10	24	0	day	22.5	
1761	7	12	24	0	day	26	
1761	7	13	24	0	day	24.8	
1761	7	15	24	0	day	22.5	
1761	7	16	24	0	day	21.3	
1761	7	18	24	0	day	24.7	
1761	7	19	24	0	day	24.5	
1761	7	20	24	0	day	21.3	
1761	7	21	24	0	day	22.6	
1761	7	23	24	0	day	23.1	
1761	7	24	24	0	day	20.3	
1761	7	25	24	0	day	23.2	
1761	7	26	24	0	day	23.9	
1761	7	27	24	0	day	21.9	
1761	7	28	24	0	day	22	
1761	7	29	24	0	day	26.3	
1761	7	30	24	0	day	25.8	
1761	8	3	24	0	day	24.3	
1761	8	4	24	0	day	24.6	
1761	8	5	24	0	day	23.8	
1761	8	7	24	0	day	19.2	
1761	8	9	24	0	day	21	
1761	8	10	24	0	day	21	
1761	8	11	24	0	day	20	
1761	8	12	24	0	day	17.1	
1761	8	13	24	0	day	19.9	
1761	8	14	24	0	day	19	
1761	8	15	24	0	day	20.8	
1761	8	17	24	0	day	21.7	
1761	8	18	24	0	day	20.7	
1761	8	19	24	0	day	20.7	
1761	8	20	24	0	day	21.8	
1761	8	22	24	0	day	23	
1761	8	23	24	0	day	22.8	
1761	8	24	24	0	day	22.3	
1761	8	25	24	0	day	23.1	
1761	8	27	24	0	day	23.6	
1761	8	28	24	0	day	23.6	
1761	8	29	24	0	day	23.5	
1761	8	30	24	0	day	23.6	
1761	8	31	24	0	day	22	
1761	9	1	24	0	day	21.1	
1761	9	2	24	0	day	20.1	
1761	9	3	24	0	day	19.1	
1761	9	4	24	0	day	20	
1761	9	5	24	0	day	21.2	
1761	9	6	24	0	day	23	
1761	9	8	24	0	day	24.7	
1761	9	11	24	0	day	21.9	
1761	9	12	24	0	day	20.6	
1761	9	13	24	0	day	24.8	
1761	9	15	24	0	day	18.5	
1761	9	16	24	0	day	16.6	
1761	9	17	24	0	day	22.5	
1761	9	18	24	0	day	17.4	
1761	9	19	24	0	day	16.5	
1761	9	21	24	0	day	13.6	
1761	9	22	24	0	day	13.1	
1761	9	23	24	0	day	13.4	
1761	9	24	24	0	day	14.3	
1761	9	25	24	0	day	16.9	
1761	9	27	24	0	day	16	
1761	9	29	24	0	day	15.9	
1761	9	30	24	0	day	11.2	
1762	5	1	24	0	day	16.9	
1762	5	2	24	0	day	14.1	
1762	5	4	24	0	day	10.6	
1762	5	5	24	0	day	14.3	
1762	5	6	24	0	day	16.3	
1762	5	7	24	0	day	12.6	
1762	5	8	24	0	day	13.1	
1762	5	10	24	0	day	11.8	
1762	5	11	24	0	day	12.8	
1762	5	12	24	0	day	15.6	
1762	5	15	24	0	day	20.4	
1762	5	16	24	0	day	20.5	
1762	5	17	24	0	day	19.9	
1762	5	18	24	0	day	20.5	
1762	5	21	24	0	day	19.9	
1762	5	22	24	0	day	22.3	
1762	5	23	24	0	day	22.6	
1762	5	24	24	0	day	20.8	
1762	5	25	24	0	day	17.2	
1762	5	26	24	0	day	16.3	
1762	5	28	24	0	day	19.1	
1762	5	29	24	0	day	18.7	
1762	5	31	24	0	day	14.6	
1762	6	1	24	0	day	16.5	
1762	6	9	24	0	day	20	
1762	6	10	24	0	day	19.4	
1762	6	11	24	0	day	19.6	
1762	6	12	24	0	day	20.6	
1762	6	13	24	0	day	18.8	
1762	6	14	24	0	day	20.6	
1762	6	15	24	0	day	19.8	
1762	6	16	24	0	day	20	
1762	6	19	24	0	day	20.8	
1762	6	21	24	0	day	20.5	
1762	6	22	24	0	day	14.7	
1762	6	23	24	0	day	18.2	
1762	6	24	24	0	day	16.6	
1762	6	26	24	0	day	20.1	
1762	6	28	24	0	day	20.1	
1762	6	29	24	0	day	19.7	
1762	7	2	24	0	day	21.3	
1762	7	3	24	0	day	20.7	
1762	7	5	24	0	day	20.7	
1762	7	6	24	0	day	18.3	
1762	7	8	24	0	day	19.4	
1762	7	9	24	0	day	21.3	
1762	7	10	24	0	day	24.5	
1762	7	12	24	0	day	24.6	
1762	7	13	24	0	day	24.3	
1762	7	14	24	0	day	25.6	
1762	7	15	24	0	day	25.7	
1762	7	16	24	0	day	22.4	
1762	7	17	24	0	day	20.8	
1762	7	19	24	0	day	25.5	
1762	7	20	24	0	day	26.7	
1762	7	21	24	0	day	27.4	
1762	7	22	24	0	day	28.1	
1762	7	24	24	0	day	28.6	
1762	7	28	24	0	day	24.9	
1762	7	29	24	0	day	23.7	
1762	8	1	24	0	day	25.7	
1762	8	2	24	0	day	26.4	
1762	8	3	24	0	day	27.7	
1762	8	4	24	0	day	22.9	
1762	8	5	24	0	day	20.1	
1762	8	6	24	0	day	21.5	
1762	8	8	24	0	day	18.3	
1762	8	9	24	0	day	21	
1762	8	10	24	0	day	16.8	
1762	8	11	24	0	day	18.2	
1762	8	13	24	0	day	19.9	
1762	8	14	24	0	day	19	
1762	8	15	24	0	day	19.9	
1762	8	18	24	0	day	18.9	
1762	8	19	24	0	day	19.7	
1762	8	20	24	0	day	17.9	
1762	8	21	24	0	day	20.6	
1762	8	22	24	0	day	21.2	
1762	8	23	24	0	day	21.3	
1762	8	24	24	0	day	21.3	
1762	8	25	24	0	day	20.5	
1762	8	28	24	0	day	18.5	
1762	8	29	24	0	day	19.3	
1762	8	31	24	0	day	19.2	
1762	9	1	24	0	day	18.8	
1762	9	2	24	0	day	16.4	
1762	9	3	24	0	day	16.8	
1762	9	4	24	0	day	16.4	
1762	9	5	24	0	day	18.9	
1762	9	6	24	0	day	19.9	
1762	9	11	24	0	day	14.1	
1762	9	12	24	0	day	15.9	
1762	9	17	24	0	day	17.5	
1762	9	18	24	0	day	13.7	
1762	9	20	24	0	day	11.8	
1762	9	21	24	0	day	14.4	
1762	9	22	24	0	day	12.1	
1762	9	24	24	0	day	17.9	
1762	9	25	24	0	day	14.2	
1762	9	26	24	0	day	13.3	
1762	9	27	24	0	day	12.3	
1762	9	28	24	0	day	14	
1762	9	29	24	0	day	14.9	
1762	9	30	24	0	day	15.3	
1763	5	1	24	0	day	10.4	
1763	5	2	24	0	day	11	
1763	5	9	24	0	day	14.5	
1763	5	10	24	0	day	13.7	
1763	5	11	24	0	day	12.2	
1763	5	13	24	0	day	14.3	
1763	5	14	24	0	day	14.8	
1763	5	15	24	0	day	13.9	
1763	5	27	24	0	day	19.3	
1763	5	28	24	0	day	15.8	
1763	5	30	24	0	day	15.5	
1763	5	31	24	0	day	16.5	
1763	6	6	24	0	day	18.6	
1763	6	7	24	0	day	18.6	
1763	6	12	24	0	day	17.9	
1763	6	17	24	0	day	18.9	
