SEF	1.0.0
ID	Geneva_Mallet
Name	Geneva
Lat	46.20151
Lon	6.14838
Alt	389
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Mallet | Address=Maison Mallet
Year	Month	Day	Hour	Minute	Period	Value	Meta
1786	3	6	24	0	day	-2	
1786	3	7	24	0	day	2.2	
1786	3	8	24	0	day	-3.9	
1786	3	9	24	0	day	-4.5	
1786	3	10	24	0	day	-4.9	
1786	3	11	24	0	day	-4.3	
1786	3	12	24	0	day	-2	
1786	3	13	24	0	day	3.7	
1786	3	14	24	0	day	7.3	
1786	3	15	24	0	day	5.8	
1786	3	16	24	0	day	8	
1786	3	17	24	0	day	7.6	
1786	3	18	24	0	day	7.5	
1786	3	19	24	0	day	5.1	
1786	3	20	24	0	day	4.1	
1786	3	21	24	0	day	5.2	
1786	3	22	24	0	day	7.4	
1786	3	23	24	0	day	6.1	
1786	3	24	24	0	day	7.3	
1786	3	25	24	0	day	6.9	
1786	3	26	24	0	day	6.4	
1786	3	27	24	0	day	2.1	
1786	3	28	24	0	day	-0.6	
1786	3	29	24	0	day	-0.2	
1786	3	30	24	0	day	0.7	
1786	3	31	24	0	day	2.7	
1786	4	1	24	0	day	5.2	
1786	4	2	24	0	day	7.1	
1786	4	3	24	0	day	7.6	
1786	4	4	24	0	day	10.7	
1786	4	5	24	0	day	11.3	
1786	4	6	24	0	day	11.7	
1786	4	10	24	0	day	5.2	
1786	4	11	24	0	day	3.4	
1786	4	12	24	0	day	4.8	
1786	4	13	24	0	day	5.8	
1786	4	14	24	0	day	7.5	
1786	4	15	24	0	day	9.7	
1786	4	16	24	0	day	11.1	
1786	4	17	24	0	day	12.5	
1786	4	18	24	0	day	11.6	
1786	4	19	24	0	day	12.2	
1786	4	20	24	0	day	13.4	
1786	4	21	24	0	day	13.6	
1786	4	22	24	0	day	12	
1786	4	23	24	0	day	14	
1786	4	24	24	0	day	14.5	
1786	4	25	24	0	day	14.7	
1786	4	26	24	0	day	14.6	
1786	4	27	24	0	day	17.1	
1786	4	28	24	0	day	15.2	
1786	4	29	24	0	day	14.3	
1786	4	30	24	0	day	13.3	
1786	5	1	24	0	day	7.5	
1786	5	2	24	0	day	5.8	
1786	5	3	24	0	day	5.7	
1786	5	4	24	0	day	8.2	
1786	5	5	24	0	day	8.9	
1786	5	6	24	0	day	9.5	
1786	5	7	24	0	day	9.6	
1786	5	8	24	0	day	12.2	
1786	5	9	24	0	day	11.5	
1786	5	10	24	0	day	11.4	
1786	5	11	24	0	day	11.7	
1786	5	12	24	0	day	13	
1786	5	13	24	0	day	12.4	
1786	5	14	24	0	day	13.5	
1786	5	15	24	0	day	15.8	
1786	5	16	24	0	day	17.6	
1786	5	17	24	0	day	18.9	
1786	5	18	24	0	day	16.6	
1786	5	19	24	0	day	12.7	
