SEF	1.0.0
ID	Genthod
Name	Genthod
Lat	46.2644
Lon	6.158
Alt	405
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Maurice | Address=Maison Bonnet
Year	Month	Day	Hour	Minute	Period	Value	Meta
1796	1	1	24	0	day	-1.2	
1796	1	2	24	0	day	1.3	
1796	1	3	24	0	day	3.9	
1796	1	4	24	0	day	5.8	
1796	1	5	24	0	day	5	
1796	1	6	24	0	day	5.6	
1796	1	7	24	0	day	0	
1796	1	8	24	0	day	-3.1	
1796	1	9	24	0	day	-0.2	
1796	1	10	24	0	day	0.2	
1796	1	11	24	0	day	4.5	
1796	1	12	24	0	day	6.9	
1796	1	13	24	0	day	1.6	
1796	1	14	24	0	day	-1	
1796	1	15	24	0	day	-0.7	
1796	1	16	24	0	day	0.2	
1796	1	17	24	0	day	1.1	
1796	1	18	24	0	day	-1.6	
1796	1	19	24	0	day	-0.4	
1796	1	20	24	0	day	1.1	
1796	1	21	24	0	day	5.2	
1796	1	22	24	0	day	3	
1796	1	23	24	0	day	3.4	
1796	1	24	24	0	day	8.9	
1796	1	25	24	0	day	5.8	
1796	1	26	24	0	day	4	
1796	1	27	24	0	day	1.5	
1796	1	28	24	0	day	3.2	
1796	1	29	24	0	day	6.7	
1796	1	30	24	0	day	5.1	
1796	1	31	24	0	day	2.8	
1796	2	1	24	0	day	3.5	
1796	2	2	24	0	day	1.3	
1796	2	3	24	0	day	2.2	
1796	2	4	24	0	day	3.1	
1796	2	5	24	0	day	-1.1	
1796	2	6	24	0	day	1.6	
1796	2	7	24	0	day	1.4	
1796	2	8	24	0	day	5.9	
1796	2	9	24	0	day	6.2	
1796	2	10	24	0	day	3.9	
1796	2	11	24	0	day	2.3	
1796	2	12	24	0	day	3	
1796	2	13	24	0	day	4.2	
1796	2	14	24	0	day	0.9	
1796	2	15	24	0	day	2	
1796	2	16	24	0	day	2	
1796	2	17	24	0	day	1	
1796	2	18	24	0	day	3.4	
1796	2	19	24	0	day	4.4	
1796	2	20	24	0	day	6.2	
1796	2	21	24	0	day	5.9	
1796	2	22	24	0	day	5.5	
1796	2	23	24	0	day	5.7	
1796	2	24	24	0	day	3.3	
1796	2	25	24	0	day	-0.4	
1796	2	26	24	0	day	-1.5	
1796	2	27	24	0	day	-0.9	
1796	2	28	24	0	day	-5	
1796	2	29	24	0	day	-5.9	
1796	3	1	24	0	day	-3.8	
1796	3	2	24	0	day	-4	
1796	3	3	24	0	day	-3.1	
1796	3	4	24	0	day	-2.7	
1796	3	5	24	0	day	-6.7	
1796	3	6	24	0	day	-6.6	
1796	3	7	24	0	day	-3.8	
1796	3	8	24	0	day	-2.1	
1796	3	9	24	0	day	0.4	
1796	3	10	24	0	day	1.3	
1796	3	11	24	0	day	3.5	
1796	3	12	24	0	day	4.7	
1796	3	13	24	0	day	6.9	
1796	3	14	24	0	day	7.4	
1796	3	15	24	0	day	6.4	
1796	3	16	24	0	day	6.1	
1796	3	17	24	0	day	6.1	
1796	3	18	24	0	day	5	
1796	3	19	24	0	day	4.7	
1796	3	20	24	0	day	6.1	
1796	3	21	24	0	day	6.5	
1796	3	22	24	0	day	5.7	
1796	3	23	24	0	day	5.5	
1796	3	24	24	0	day	5.4	
1796	3	25	24	0	day	7.2	
1796	3	26	24	0	day	5.5	
1796	3	27	24	0	day	5.1	
1796	3	28	24	0	day	-0.4	
1796	3	29	24	0	day	0.4	
1796	3	30	24	0	day	4	
1796	3	31	24	0	day	6.8	
1796	4	1	24	0	day	8.3	
1796	4	2	24	0	day	9.5	
1796	4	3	24	0	day	10.4	
1796	4	4	24	0	day	9.7	
1796	4	5	24	0	day	7.8	
1796	4	6	24	0	day	7.5	
1796	4	7	24	0	day	7.6	
1796	4	8	24	0	day	6.5	
1796	4	9	24	0	day	7.2	
1796	4	10	24	0	day	8.7	
1796	4	11	24	0	day	6	
1796	4	12	24	0	day	5.9	
1796	4	13	24	0	day	6.2	
1796	4	14	24	0	day	7.6	
1796	4	15	24	0	day	7.2	
1796	4	16	24	0	day	9.6	
1796	4	17	24	0	day	9.6	
1796	4	18	24	0	day	11.6	
1796	4	19	24	0	day	13.1	
1796	4	20	24	0	day	12.7	
1796	4	21	24	0	day	13.7	
1796	4	22	24	0	day	13.2	
1796	4	23	24	0	day	13.6	
1796	4	24	24	0	day	12.1	
1796	4	25	24	0	day	8.6	
1796	4	26	24	0	day	8.5	
1796	4	27	24	0	day	10.7	
1796	4	28	24	0	day	9.3	
1796	4	29	24	0	day	13.2	
1796	4	30	24	0	day	6.7	
1796	5	1	24	0	day	9.1	
1796	5	2	24	0	day	10	
1796	5	3	24	0	day	10.3	
1796	5	4	24	0	day	10	
1796	5	5	24	0	day	9.9	
1796	5	6	24	0	day	9.2	
1796	5	7	24	0	day	8.9	
1796	5	8	24	0	day	10.9	
1796	5	9	24	0	day	18.4	
1796	5	10	24	0	day	19.1	
1796	5	11	24	0	day	15	
1796	5	12	24	0	day	16	
1796	5	13	24	0	day	13.1	
1796	5	14	24	0	day	10.6	
1796	5	15	24	0	day	9.3	
1796	5	16	24	0	day	8.1	
1796	5	17	24	0	day	8.9	
1796	5	18	24	0	day	11.6	
1796	5	19	24	0	day	11.9	
1796	5	20	24	0	day	14.1	
1796	5	21	24	0	day	15.8	
1796	5	22	24	0	day	13.6	
1796	5	23	24	0	day	14.7	
1796	5	24	24	0	day	14.2	
1796	5	25	24	0	day	17.8	
1796	5	26	24	0	day	14.3	
1796	5	27	24	0	day	15.2	
1796	5	28	24	0	day	16.9	
1796	5	29	24	0	day	13.5	
1796	5	30	24	0	day	15.9	
1796	5	31	24	0	day	17.7	
1796	6	1	24	0	day	15	
1796	6	2	24	0	day	13.6	
1796	6	3	24	0	day	12.7	
1796	6	4	24	0	day	10	
1796	6	5	24	0	day	10.3	
1796	6	6	24	0	day	13	
1796	6	7	24	0	day	14.2	
1796	6	8	24	0	day	15.2	
1796	6	9	24	0	day	18.1	
1796	6	10	24	0	day	19.3	
1796	6	11	24	0	day	17.4	
1796	6	12	24	0	day	20.8	
1796	6	13	24	0	day	18.9	
1796	6	14	24	0	day	16.8	
1796	6	15	24	0	day	16.8	
1796	6	16	24	0	day	14.5	
1796	6	17	24	0	day	15	
1796	6	18	24	0	day	17.7	
1796	6	19	24	0	day	20.9	
1796	6	20	24	0	day	18.5	
1796	6	21	24	0	day	12.4	
1796	6	22	24	0	day	12	
1796	6	23	24	0	day	13.8	
1796	6	24	24	0	day	15.9	
1796	6	25	24	0	day	17.2	
1796	6	26	24	0	day	18.7	
1796	6	27	24	0	day	19.5	
1796	6	28	24	0	day	18.2	
1796	6	29	24	0	day	16.9	
1796	6	30	24	0	day	17.8	
1796	7	1	24	0	day	15.8	
1796	7	2	24	0	day	15	
1796	7	3	24	0	day	13.9	
1796	7	4	24	0	day	12.8	
1796	7	5	24	0	day	15.3	
1796	7	6	24	0	day	17.3	
1796	7	7	24	0	day	15.2	
1796	7	8	24	0	day	14.9	
1796	7	9	24	0	day	15.5	
1796	7	10	24	0	day	15.3	
1796	7	11	24	0	day	14.8	
1796	7	12	24	0	day	11.4	
1796	7	13	24	0	day	11.3	
1796	7	14	24	0	day	18.9	
1796	7	15	24	0	day	20.7	
1796	7	16	24	0	day	23.5	
1796	7	17	24	0	day	21.7	
1796	7	18	24	0	day	20.3	
1796	7	19	24	0	day	20.3	
1796	7	20	24	0	day	19.8	
1796	7	21	24	0	day	20.1	
1796	7	22	24	0	day	20.7	
1796	7	23	24	0	day	16.8	
1796	7	24	24	0	day	15.4	
1796	7	25	24	0	day	18.3	
1796	7	26	24	0	day	21.7	
1796	7	27	24	0	day	16	
1796	7	28	24	0	day	15.7	
1796	7	29	24	0	day	18.4	
1796	7	30	24	0	day	19.8	
1796	7	31	24	0	day	19	
1796	8	1	24	0	day	19.9	
1796	8	2	24	0	day	19.8	
1796	8	3	24	0	day	18.4	
1796	8	4	24	0	day	17.8	
1796	8	5	24	0	day	16.7	
