SEF	1.0.0
ID	Geneva
Name	Geneva
Lat	46.19981
Lon	6.15211
Alt	406
Source	DIGIHOM
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Address=Observatoire|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1836	1	NA	NA	NA	month	-0.3	
1836	2	NA	NA	NA	month	0.9	
1836	3	NA	NA	NA	month	7.2	
1836	4	NA	NA	NA	month	7.7	
1836	5	NA	NA	NA	month	11.1	
1836	6	NA	NA	NA	month	17.2	
1836	7	NA	NA	NA	month	20.1	
1836	8	NA	NA	NA	month	18.7	
1836	9	NA	NA	NA	month	13.7	
1836	10	NA	NA	NA	month	9.7	
1836	11	NA	NA	NA	month	5	
1836	12	NA	NA	NA	month	2.3	
1837	1	NA	NA	NA	month	-0.1	
1837	2	NA	NA	NA	month	2	
1837	3	NA	NA	NA	month	1.9	
1837	4	NA	NA	NA	month	6.5	
1837	5	NA	NA	NA	month	10.9	
1837	6	NA	NA	NA	month	19	
1837	7	NA	NA	NA	month	18.2	
1837	8	NA	NA	NA	month	20	
1837	9	NA	NA	NA	month	13.2	
1837	10	NA	NA	NA	month	9.5	
1837	11	NA	NA	NA	month	3.4	
1837	12	NA	NA	NA	month	1	
1838	1	NA	NA	NA	month	-4.9	
1838	2	NA	NA	NA	month	0.4	
1838	3	NA	NA	NA	month	5.3	
1838	4	NA	NA	NA	month	6.4	
1838	5	NA	NA	NA	month	13.2	
1838	6	NA	NA	NA	month	16.3	
1838	7	NA	NA	NA	month	18.4	
1838	8	NA	NA	NA	month	17	
1838	9	NA	NA	NA	month	14	
1838	10	NA	NA	NA	month	9.3	
1838	11	NA	NA	NA	month	6.2	
1838	12	NA	NA	NA	month	0.8	
1839	1	NA	NA	NA	month	-0.2	
1839	2	NA	NA	NA	month	1.1	
1839	3	NA	NA	NA	month	4.3	
1839	4	NA	NA	NA	month	7.1	
1839	5	NA	NA	NA	month	12.2	
1839	6	NA	NA	NA	month	18.4	
1839	7	NA	NA	NA	month	19.5	
1839	8	NA	NA	NA	month	16.7	
1839	9	NA	NA	NA	month	13.6	
1839	10	NA	NA	NA	month	11.2	
1839	11	NA	NA	NA	month	6.8	
1839	12	NA	NA	NA	month	5.1	
1840	1	NA	NA	NA	month	2.1	
