SEF	1.0.0
ID	Avully
Name	Avully
Lat	46.16955
Lon	6.00038
Alt	424
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Mallet
Year	Month	Day	Hour	Minute	Period	Value	Meta
1778	7	NA	NA	NA	month	NA	
1778	8	NA	NA	NA	month	19.9	
1778	9	NA	NA	NA	month	13.4	
1778	10	NA	NA	NA	month	9.8	
1778	11	NA	NA	NA	month	5.1	
1778	12	NA	NA	NA	month	NA	
1779	6	NA	NA	NA	month	NA	
1779	7	NA	NA	NA	month	17.8	
1779	8	NA	NA	NA	month	18.1	
1779	9	NA	NA	NA	month	15.3	
1779	10	NA	NA	NA	month	12.2	
1779	11	NA	NA	NA	month	5.9	
1779	12	NA	NA	NA	month	NA	
1780	6	NA	NA	NA	month	18.4	
1780	7	NA	NA	NA	month	21	
1780	8	NA	NA	NA	month	NA	
1780	9	NA	NA	NA	month	16.1	
1780	10	NA	NA	NA	month	11	
1780	11	NA	NA	NA	month	3.6	
1780	12	NA	NA	NA	month	NA	
1781	4	NA	NA	NA	month	NA	
1781	5	NA	NA	NA	month	15.9	
1781	6	NA	NA	NA	month	17.1	
1781	7	NA	NA	NA	month	19.9	
1781	8	NA	NA	NA	month	19.8	
1781	9	NA	NA	NA	month	15.3	
1781	10	NA	NA	NA	month	NA	
1781	11	NA	NA	NA	month	5.4	
1781	12	NA	NA	NA	month	3.7	
1782	4	NA	NA	NA	month	NA	
1782	5	NA	NA	NA	month	12.6	
1782	6	NA	NA	NA	month	19.1	
1782	7	NA	NA	NA	month	21.7	
1782	8	NA	NA	NA	month	18.6	
1782	9	NA	NA	NA	month	14.8	
1782	10	NA	NA	NA	month	8	
1782	11	NA	NA	NA	month	NA	
1783	4	NA	NA	NA	month	NA	
1783	5	NA	NA	NA	month	NA	
1783	6	NA	NA	NA	month	16.5	
1783	7	NA	NA	NA	month	20.9	
1783	8	NA	NA	NA	month	18	
1783	9	NA	NA	NA	month	15.3	
1783	10	NA	NA	NA	month	11.7	
1783	11	NA	NA	NA	month	5.8	
1783	12	NA	NA	NA	month	2.2	
1784	1	NA	NA	NA	month	NA	
1784	4	NA	NA	NA	month	NA	
1784	5	NA	NA	NA	month	16.5	
1784	6	NA	NA	NA	month	18.7	
1784	7	NA	NA	NA	month	20	
1784	8	NA	NA	NA	month	17.5	
1784	9	NA	NA	NA	month	17.4	
1784	10	NA	NA	NA	month	7.7	
1784	11	NA	NA	NA	month	4.5	
1784	12	NA	NA	NA	month	-3.1	
1785	1	NA	NA	NA	month	NA	
1785	4	NA	NA	NA	month	NA	
1785	5	NA	NA	NA	month	NA	
1785	6	NA	NA	NA	month	17.2	
1785	7	NA	NA	NA	month	17.8	
1785	8	NA	NA	NA	month	17.1	
1785	9	NA	NA	NA	month	17.2	
1785	10	NA	NA	NA	month	10.2	
1785	11	NA	NA	NA	month	4.9	
1785	12	NA	NA	NA	month	1.5	
1786	1	NA	NA	NA	month	NA	
1786	5	NA	NA	NA	month	NA	
1786	6	NA	NA	NA	month	18.3	
1786	7	NA	NA	NA	month	17.4	
1786	8	NA	NA	NA	month	17.1	
1786	9	NA	NA	NA	month	14.3	
1786	10	NA	NA	NA	month	8	
1786	11	NA	NA	NA	month	3.5	
1786	12	NA	NA	NA	month	1.3	
