SEF	1.0.0
ID	GE01_Geneve_Senebier
Name	Geneva
Lat	46.20105
Lon	6.15095
Alt	401
Source	CHIMES
Link	https://doi.org/10.5194/cp-15-1345-2019
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Jean Senebier|QC software=dataresqc v1.0.3
Year	Month	Day	Hour	Minute	Period	Value	Meta
1782	1	NA	NA	NA	month	1.4	
1782	2	NA	NA	NA	month	-4.3	
1782	3	NA	NA	NA	month	2.6	
1782	4	NA	NA	NA	month	7.4	
1782	5	NA	NA	NA	month	12.7	
1782	6	NA	NA	NA	month	19.3	
1782	7	NA	NA	NA	month	21.6	
1782	8	NA	NA	NA	month	18.3	
1782	9	NA	NA	NA	month	13.9	
1782	10	NA	NA	NA	month	7.4	
1782	11	NA	NA	NA	month	2.1	
1782	12	NA	NA	NA	month	-1	
1783	1	NA	NA	NA	month	2.4	
1783	2	NA	NA	NA	month	1.9	
1783	3	NA	NA	NA	month	2.9	
1783	4	NA	NA	NA	month	9.1	
1783	5	NA	NA	NA	month	14.4	
1783	6	NA	NA	NA	month	16.9	
1783	7	NA	NA	NA	month	21.4	
1783	8	NA	NA	NA	month	18.3	
1783	9	NA	NA	NA	month	15	
1783	10	NA	NA	NA	month	11.1	
1783	11	NA	NA	NA	month	5.9	
1783	12	NA	NA	NA	month	2	
1784	1	NA	NA	NA	month	-1.5	
1784	2	NA	NA	NA	month	-1.4	
1784	3	NA	NA	NA	month	3.5	
1784	4	NA	NA	NA	month	6	
1784	5	NA	NA	NA	month	16	
1784	6	NA	NA	NA	month	18.8	
1784	7	NA	NA	NA	month	NA	
1784	8	NA	NA	NA	month	17.3	
1784	9	NA	NA	NA	month	17.2	
1784	10	NA	NA	NA	month	NA	
1784	11	NA	NA	NA	month	4	
1784	12	NA	NA	NA	month	-3.2	
1785	1	NA	NA	NA	month	-0.1	
1785	2	NA	NA	NA	month	-3.1	
1785	3	NA	NA	NA	month	-3.3	
1785	4	NA	NA	NA	month	4	
1785	5	NA	NA	NA	month	14.6	
1785	6	NA	NA	NA	month	17.7	
1785	7	NA	NA	NA	month	18.6	
1785	8	NA	NA	NA	month	17	
1785	9	NA	NA	NA	month	16.9	
1785	10	NA	NA	NA	month	9.9	
1785	11	NA	NA	NA	month	4.5	
1785	12	NA	NA	NA	month	1.2	
1786	1	NA	NA	NA	month	0.1	
1786	2	NA	NA	NA	month	1	
1786	3	NA	NA	NA	month	1.4	
1786	4	NA	NA	NA	month	9.8	
1786	5	NA	NA	NA	month	13.2	
1786	6	NA	NA	NA	month	18.8	
1786	7	NA	NA	NA	month	17.6	
1786	8	NA	NA	NA	month	16.9	
1786	9	NA	NA	NA	month	14	
1786	10	NA	NA	NA	month	7.1	
1786	11	NA	NA	NA	month	3.4	
1786	12	NA	NA	NA	month	1.1	
1788	1	NA	NA	NA	month	0.2	
1788	2	NA	NA	NA	month	3.4	
1788	3	NA	NA	NA	month	5.9	
1788	4	NA	NA	NA	month	9.3	
1788	5	NA	NA	NA	month	14.5	
1788	6	NA	NA	NA	month	16.4	
1788	7	NA	NA	NA	month	20.5	
1788	8	NA	NA	NA	month	17.9	
1788	9	NA	NA	NA	month	15.5	
1788	10	NA	NA	NA	month	8.3	
1788	11	NA	NA	NA	month	1.9	
1788	12	NA	NA	NA	month	-5.6	
1789	1	NA	NA	NA	month	-1.8	
1789	2	NA	NA	NA	month	2.4	
1789	3	NA	NA	NA	month	0.8	
1789	4	NA	NA	NA	month	9.7	
1789	5	NA	NA	NA	month	14.9	
1789	6	NA	NA	NA	month	14.5	
1789	7	NA	NA	NA	month	18.1	
1789	8	NA	NA	NA	month	18.1	
1789	9	NA	NA	NA	month	14.2	
1789	10	NA	NA	NA	month	8.6	
1789	11	NA	NA	NA	month	2.7	
1789	12	NA	NA	NA	month	0.9	
