SEF	1.0.0
ID	Geneva
Name	Geneva
Lat	46.20011
Lon	6.14523
Alt	380
Source	DIGIHOM
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Address=Nouveau Jardin Botanique
Year	Month	Day	Hour	Minute	Period	Value	Meta
1822	1	1	24	0	day	3.3	correction=1.33
1822	1	2	24	0	day	1.7	correction=1.33
1822	1	3	24	0	day	1	correction=1.32
1822	1	4	24	0	day	-0.9	correction=1.31
1822	1	5	24	0	day	3.9	correction=1.3
1822	1	6	24	0	day	0.7	correction=1.29
1822	1	7	24	0	day	0.2	correction=1.28
1822	1	8	24	0	day	-0.5	correction=1.27
1822	1	9	24	0	day	-0.8	correction=1.26
1822	1	10	24	0	day	-0.8	correction=1.25
1822	1	11	24	0	day	-2.2	correction=1.24
1822	1	12	24	0	day	-1	correction=1.23
1822	1	13	24	0	day	1.4	correction=1.22
1822	1	14	24	0	day	0.8	correction=1.21
1822	1	15	24	0	day	-0.1	correction=1.19
1822	1	16	24	0	day	0.4	correction=1.18
1822	1	17	24	0	day	-1.4	correction=1.17
1822	1	18	24	0	day	-1.4	correction=1.15
1822	1	19	24	0	day	-0.6	correction=1.14
1822	1	20	24	0	day	1	correction=1.12
1822	1	21	24	0	day	2	correction=1.11
1822	1	22	24	0	day	0.7	correction=1.09
1822	1	23	24	0	day	0.4	correction=1.08
1822	1	24	24	0	day	0.5	correction=1.06
1822	1	25	24	0	day	4.3	correction=1.04
1822	1	26	24	0	day	3.6	correction=1.03
1822	1	27	24	0	day	2.4	correction=1.01
1822	1	28	24	0	day	-0.7	correction=0.99
1822	1	29	24	0	day	2.2	correction=0.97
1822	1	30	24	0	day	1.4	correction=0.95
1822	1	31	24	0	day	2.8	correction=0.94
1822	2	1	24	0	day	-0.3	correction=0.92
1822	2	2	24	0	day	0.4	correction=0.9
1822	2	3	24	0	day	5.3	correction=0.88
1822	2	4	24	0	day	8	correction=0.86
1822	2	5	24	0	day	9.3	correction=0.84
1822	2	6	24	0	day	6	correction=0.82
1822	2	7	24	0	day	5	correction=0.8
1822	2	8	24	0	day	4.4	correction=0.78
1822	2	9	24	0	day	3.8	correction=0.75
1822	2	10	24	0	day	0.8	correction=0.73
1822	2	11	24	0	day	2.6	correction=0.71
1822	2	12	24	0	day	5.2	correction=0.69
1822	2	13	24	0	day	3.9	correction=0.67
1822	2	14	24	0	day	3.6	correction=0.65
1822	2	15	24	0	day	0.6	correction=0.62
1822	2	16	24	0	day	2.1	correction=0.6
1822	2	17	24	0	day	-4.7	correction=0.58
1822	2	18	24	0	day	5	correction=0.56
1822	2	19	24	0	day	3	correction=0.53
1822	2	20	24	0	day	3.6	correction=0.51
1822	2	21	24	0	day	3.2	correction=0.49
1822	2	22	24	0	day	4.2	correction=0.47
1822	2	23	24	0	day	1.4	correction=0.44
1822	2	24	24	0	day	1.4	correction=0.42
1822	2	25	24	0	day	4.3	correction=0.4
1822	2	26	24	0	day	3.6	correction=0.37
1822	2	27	24	0	day	5.6	correction=0.35
1822	2	28	24	0	day	4.9	correction=0.33
1822	3	1	24	0	day	2.6	correction=0.31
1822	3	2	24	0	day	4.3	correction=0.28
1822	3	3	24	0	day	3.1	correction=0.26
1822	3	4	24	0	day	5.6	correction=0.24
1822	3	5	24	0	day	4.4	correction=0.22
1822	3	6	24	0	day	9.2	correction=0.2
1822	3	7	24	0	day	9.4	correction=0.17
1822	3	8	24	0	day	5.5	correction=0.15
1822	3	9	24	0	day	7.8	correction=0.13
1822	3	10	24	0	day	9.9	correction=0.11
1822	3	11	24	0	day	10.7	correction=0.09
1822	3	12	24	0	day	7.4	correction=0.07
1822	3	13	24	0	day	2.7	correction=0.05
1822	3	14	24	0	day	5.1	correction=0.03
1822	3	15	24	0	day	7.2	correction=0.01
1822	3	16	24	0	day	7.4	correction=-0.01
1822	3	17	24	0	day	10.1	correction=-0.03
1822	3	18	24	0	day	12.1	correction=-0.05
1822	3	19	24	0	day	7.8	correction=-0.07
1822	3	20	24	0	day	10.2	correction=-0.09
1822	3	21	24	0	day	10.6	correction=-0.11
1822	3	22	24	0	day	11.5	correction=-0.12
1822	3	23	24	0	day	8.4	correction=-0.14
1822	3	24	24	0	day	8.8	correction=-0.16
1822	3	25	24	0	day	9.9	correction=-0.17
1822	3	26	24	0	day	9.7	correction=-0.19
1822	3	27	24	0	day	8.5	correction=-0.21
1822	3	28	24	0	day	9	correction=-0.22
1822	3	29	24	0	day	13.1	correction=-0.23
1822	3	30	24	0	day	14.6	correction=-0.25
1822	3	31	24	0	day	5.7	correction=-0.26
1822	4	1	24	0	day	3	correction=-0.28
1822	4	2	24	0	day	2.4	correction=-0.29
1822	4	3	24	0	day	3.2	correction=-0.3
1822	4	4	24	0	day	2.7	correction=-0.31
1822	4	5	24	0	day	6	correction=-0.32
1822	4	6	24	0	day	0.9	correction=-0.33
1822	4	7	24	0	day	5.6	correction=-0.34
1822	4	8	24	0	day	4.8	correction=-0.35
1822	4	9	24	0	day	4.3	correction=-0.36
