SEF	1.0.0
ID	Geneva_Deluc
Name	Geneva
Lat	46.20284
Lon	6.14439
Alt	386
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Deluc
Year	Month	Day	Hour	Minute	Period	Value	Meta
1767	1	10	24	0	day	-13.7	correction=-0.91
1767	1	11	24	0	day	-14.9	correction=-0.94
1767	1	14	24	0	day	-1.8	correction=-1.01
1767	1	15	24	0	day	-1.8	correction=-1.04
1767	1	16	24	0	day	-7.4	correction=-1.06
1767	1	21	24	0	day	-11.8	correction=-1.18
1767	1	23	24	0	day	-2.2	correction=-1.22
1767	1	28	24	0	day	-12.9	correction=-1.31
1768	1	2	24	0	day	-3.8	correction=-0.68
1768	1	3	24	0	day	-10.1	correction=-0.71
1768	1	4	24	0	day	-11.4	correction=-0.74
1768	1	5	24	0	day	-11	correction=-0.77
1768	1	6	24	0	day	-10.6	correction=-0.8
1768	1	7	24	0	day	-5.1	correction=-0.83
1768	1	8	24	0	day	-2.8	correction=-0.85
1768	1	9	24	0	day	-0.2	correction=-0.88
1768	1	10	24	0	day	-0.2	correction=-0.91
1768	1	11	24	0	day	2.6	correction=-0.94
1768	1	12	24	0	day	2.4	correction=-0.96
1768	1	13	24	0	day	1.4	correction=-0.99
1768	1	14	24	0	day	0.1	correction=-1.01
1768	1	15	24	0	day	-0.5	correction=-1.04
1768	1	16	24	0	day	-0.4	correction=-1.06
1768	1	17	24	0	day	-0.4	correction=-1.09
1768	1	18	24	0	day	0.2	correction=-1.11
1768	1	19	24	0	day	2.4	correction=-1.13
1768	1	20	24	0	day	-0.5	correction=-1.16
1768	1	21	24	0	day	2.1	correction=-1.18
1768	1	22	24	0	day	-0.5	correction=-1.2
1768	1	23	24	0	day	-0.5	correction=-1.22
1768	1	24	24	0	day	1	correction=-1.24
1768	1	25	24	0	day	2.5	correction=-1.26
1768	1	26	24	0	day	-2.3	correction=-1.28
1768	1	27	24	0	day	1.4	correction=-1.29
1768	1	28	24	0	day	2	correction=-1.31
1768	1	29	24	0	day	-0.5	correction=-1.33
1768	1	30	24	0	day	-1.1	correction=-1.34
1768	1	31	24	0	day	-2.6	correction=-1.36
1768	2	1	24	0	day	-2.4	correction=-1.37
1768	2	2	24	0	day	-0.3	correction=-1.38
1768	2	3	24	0	day	0.2	correction=-1.4
1768	2	4	24	0	day	-0.6	correction=-1.41
1768	2	5	24	0	day	-2	correction=-1.42
1768	2	6	24	0	day	-2.5	correction=-1.43
1768	2	7	24	0	day	-5.3	correction=-1.44
1768	2	8	24	0	day	-6.5	correction=-1.45
1768	2	9	24	0	day	-5.4	correction=-1.45
1768	2	10	24	0	day	-4.4	correction=-1.46
1768	2	11	24	0	day	-1.6	correction=-1.47
1768	2	12	24	0	day	-0.7	correction=-1.47
1768	2	13	24	0	day	2.2	correction=-1.48
1768	2	14	24	0	day	0.1	correction=-1.48
1768	2	15	24	0	day	-1	correction=-1.48
1768	2	16	24	0	day	3.8	correction=-1.48
1768	2	17	24	0	day	3.7	correction=-1.48
1768	2	18	24	0	day	0.4	correction=-1.49
1768	2	19	24	0	day	1.5	correction=-1.48
1768	2	20	24	0	day	3.7	correction=-1.48
1768	2	21	24	0	day	2.6	correction=-1.48
1768	2	22	24	0	day	4	correction=-1.48
1768	2	23	24	0	day	4	correction=-1.47
1768	2	24	24	0	day	7	correction=-1.47
1768	2	25	24	0	day	5.6	correction=-1.47
1768	2	26	24	0	day	6.5	correction=-1.46
1768	2	27	24	0	day	2.1	correction=-1.45
1768	2	28	24	0	day	4.4	correction=-1.45
1768	2	29	24	0	day	4.2	correction=-1.44
1768	3	1	24	0	day	8	correction=-1.43
1768	3	2	24	0	day	4.2	correction=-1.42
1768	3	3	24	0	day	7.4	correction=-1.41
1768	3	4	24	0	day	-4.1	correction=-1.4
1768	3	5	24	0	day	-5.1	correction=-1.39
1768	3	6	24	0	day	-3.3	correction=-1.38
1768	3	7	24	0	day	-4.9	correction=-1.37
1768	3	8	24	0	day	-3.3	correction=-1.36
1768	3	9	24	0	day	-1	correction=-1.35
1768	3	10	24	0	day	-2.2	correction=-1.33
