SEF	1.0.0
ID	Geneva_JdG
Name	Geneva
Lat	46.19974
Lon	6.15148
Alt	399
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Address=Observatoire Mallet|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1787	7	NA	NA	NA	month	NA	
1787	8	NA	NA	NA	month	19.6	
1787	9	NA	NA	NA	month	14.7	
1787	10	NA	NA	NA	month	10.1	
1787	11	NA	NA	NA	month	4.9	
1787	12	NA	NA	NA	month	4	
1788	1	NA	NA	NA	month	0.3	
1788	2	NA	NA	NA	month	3.1	
1788	3	NA	NA	NA	month	6.4	
1788	4	NA	NA	NA	month	9	
1788	5	NA	NA	NA	month	14.5	
1788	6	NA	NA	NA	month	17	
1788	7	NA	NA	NA	month	19.8	
1788	8	NA	NA	NA	month	17.5	
1788	9	NA	NA	NA	month	15.4	
1788	10	NA	NA	NA	month	8.8	
1788	11	NA	NA	NA	month	1.6	
1788	12	NA	NA	NA	month	-5.2	
1789	1	NA	NA	NA	month	-1.8	
1789	2	NA	NA	NA	month	2.1	
1789	3	NA	NA	NA	month	0.7	
1789	4	NA	NA	NA	month	9.9	
1789	5	NA	NA	NA	month	14.7	
1789	6	NA	NA	NA	month	13.8	
1789	7	NA	NA	NA	month	17.2	
1789	8	NA	NA	NA	month	17.6	
1789	9	NA	NA	NA	month	13.9	
1789	10	NA	NA	NA	month	8.6	
1789	11	NA	NA	NA	month	2.3	
1789	12	NA	NA	NA	month	0.4	
1790	1	NA	NA	NA	month	-0.7	
1790	2	NA	NA	NA	month	1.8	
1790	3	NA	NA	NA	month	4.6	
1790	4	NA	NA	NA	month	7.5	
1790	5	NA	NA	NA	month	13.8	
1790	6	NA	NA	NA	month	17.6	
1790	7	NA	NA	NA	month	17.6	
1790	8	NA	NA	NA	month	19	
1790	9	NA	NA	NA	month	13.7	
1790	10	NA	NA	NA	month	11.4	
1790	11	NA	NA	NA	month	5.4	
1790	12	NA	NA	NA	month	1.4	
1791	1	NA	NA	NA	month	2	
1791	2	NA	NA	NA	month	0.4	
1791	3	NA	NA	NA	month	4.3	
1791	4	NA	NA	NA	month	11.5	
1791	5	NA	NA	NA	month	13.4	
1791	6	NA	NA	NA	month	17.1	
1791	7	NA	NA	NA	month	18.2	
