SEF	1.0.0
ID	Geneva_JdG
Name	Geneva
Lat	46.19974
Lon	6.15148
Alt	399
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Address=Observatoire Mallet|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1787	7	26	24	0	day	17.4	correction=0.03
1787	7	27	24	0	day	17.1	correction=0.03
1787	7	28	24	0	day	16.6	correction=0.02
1787	7	29	24	0	day	19.3	correction=0.02
1787	7	30	24	0	day	22.5	correction=0.02
1787	7	31	24	0	day	21.1	correction=0.01
1787	8	1	24	0	day	19.2	correction=0.01
1787	8	2	24	0	day	21.5	correction=0
1787	8	3	24	0	day	23.9	correction=0
1787	8	4	24	0	day	22.7	correction=0
1787	8	5	24	0	day	22.2	correction=-0.01
1787	8	6	24	0	day	23.9	correction=-0.01
1787	8	7	24	0	day	23.6	correction=-0.02
1787	8	8	24	0	day	22.7	correction=-0.02
1787	8	9	24	0	day	22.9	correction=-0.03
1787	8	10	24	0	day	24.6	correction=-0.03
1787	8	11	24	0	day	23.3	correction=-0.04
1787	8	12	24	0	day	22.9	correction=-0.04
1787	8	13	24	0	day	18.5	correction=-0.04
1787	8	14	24	0	day	17.6	correction=-0.05
1787	8	15	24	0	day	19.6	correction=-0.05
1787	8	16	24	0	day	19.1	correction=-0.06
1787	8	17	24	0	day	22.6	correction=-0.06
1787	8	18	24	0	day	22.3	correction=-0.07
1787	8	19	24	0	day	17.8	correction=-0.07
1787	8	20	24	0	day	19	correction=-0.08
1787	8	21	24	0	day	18.1	correction=-0.08
1787	8	22	24	0	day	19.4	correction=-0.09
1787	8	23	24	0	day	20.3	correction=-0.09
1787	8	24	24	0	day	20.2	correction=-0.1
1787	8	25	24	0	day	19.5	correction=-0.1
1787	8	26	24	0	day	14.3	correction=-0.1
1787	8	27	24	0	day	14	correction=-0.11
1787	8	28	24	0	day	13.1	correction=-0.11
1787	8	29	24	0	day	12.7	correction=-0.12
1787	8	30	24	0	day	12.9	correction=-0.12
1787	8	31	24	0	day	14.3	correction=-0.13
1787	9	1	24	0	day	15.2	correction=-0.13
1787	9	2	24	0	day	16	correction=-0.14
1787	9	3	24	0	day	15.1	correction=-0.14
1787	9	4	24	0	day	15.8	correction=-0.15
1787	9	5	24	0	day	14.7	correction=-0.15
1787	9	6	24	0	day	15.3	correction=-0.15
1787	9	7	24	0	day	17.1	correction=-0.16
1787	9	8	24	0	day	17.5	correction=-0.16
1787	9	9	24	0	day	15.9	correction=-0.17
1787	9	10	24	0	day	14.1	correction=-0.17
1787	9	11	24	0	day	13.2	correction=-0.18
1787	9	12	24	0	day	13.1	correction=-0.18
1787	9	13	24	0	day	11.5	correction=-0.19
1787	9	14	24	0	day	13.1	correction=-0.19
1787	9	15	24	0	day	15.7	correction=-0.2
1787	9	16	24	0	day	15.4	correction=-0.2
1787	9	17	24	0	day	14.8	correction=-0.2
1787	9	18	24	0	day	13	correction=-0.21
1787	9	19	24	0	day	13.8	correction=-0.21
1787	9	20	24	0	day	13.3	correction=-0.22
1787	9	21	24	0	day	11.5	correction=-0.22
1787	9	22	24	0	day	13.5	correction=-0.23
1787	9	23	24	0	day	16.2	correction=-0.23
1787	9	24	24	0	day	17.2	correction=-0.24
1787	9	25	24	0	day	15.5	correction=-0.24
1787	9	26	24	0	day	16.8	correction=-0.24
1787	9	27	24	0	day	15.2	correction=-0.25
1787	9	28	24	0	day	14.4	correction=-0.25
1787	9	29	24	0	day	13.1	correction=-0.26
1787	9	30	24	0	day	14.4	correction=-0.26
1787	10	1	24	0	day	13.7	correction=-0.27
1787	10	2	24	0	day	13.5	correction=-0.27
1787	10	3	24	0	day	12.9	correction=-0.28
1787	10	4	24	0	day	13.9	correction=-0.28
1787	10	5	24	0	day	12	correction=-0.29
1787	10	6	24	0	day	11.9	correction=-0.29
1787	10	7	24	0	day	11.3	correction=-0.3
1787	10	8	24	0	day	12	correction=-0.3
1787	10	9	24	0	day	12.4	correction=-0.31
1787	10	10	24	0	day	14.6	correction=-0.31
1787	10	11	24	0	day	19.8	correction=-0.32
1787	10	12	24	0	day	9.4	correction=-0.32
1787	10	13	24	0	day	11.1	correction=-0.33
1787	10	14	24	0	day	8.7	correction=-0.33
1787	10	15	24	0	day	7.3	correction=-0.34
1787	10	16	24	0	day	6.5	correction=-0.34
1787	10	17	24	0	day	9.2	correction=-0.35
1787	10	18	24	0	day	7.7	correction=-0.35
1787	10	19	24	0	day	6.1	correction=-0.36
1787	10	20	24	0	day	5	correction=-0.36
1787	10	21	24	0	day	4.5	correction=-0.37
1787	10	22	24	0	day	4.8	correction=-0.37
1787	10	23	24	0	day	8.1	correction=-0.38
1787	10	24	24	0	day	8.9	correction=-0.38
1787	10	25	24	0	day	8.9	correction=-0.39
1787	10	26	24	0	day	10.3	correction=-0.39
1787	10	27	24	0	day	14	correction=-0.4
1787	10	28	24	0	day	9.6	correction=-0.41
1787	10	29	24	0	day	9.9	correction=-0.41
1787	10	30	24	0	day	7.5	correction=-0.42
1787	10	31	24	0	day	7.8	correction=-0.42
1787	11	1	24	0	day	12	correction=-0.43
1787	11	2	24	0	day	10.5	correction=-0.44
1787	11	3	24	0	day	10.6	correction=-0.44
1787	11	4	24	0	day	8	correction=-0.45
1787	11	5	24	0	day	6.1	correction=-0.45
1787	11	6	24	0	day	4.6	correction=-0.46
1787	11	7	24	0	day	8.9	correction=-0.47
1787	11	8	24	0	day	10.2	correction=-0.47
1787	11	9	24	0	day	12.9	correction=-0.48
1787	11	10	24	0	day	10.1	correction=-0.49
1787	11	11	24	0	day	8.6	correction=-0.49
1787	11	12	24	0	day	8.2	correction=-0.5
1787	11	13	24	0	day	8.2	correction=-0.51
1787	11	14	24	0	day	8.2	correction=-0.51
1787	11	15	24	0	day	6.2	correction=-0.52
1787	11	16	24	0	day	5.1	correction=-0.53
1787	11	17	24	0	day	4.8	correction=-0.53
1787	11	18	24	0	day	3.6	correction=-0.54
1787	11	19	24	0	day	2.7	correction=-0.55
1787	11	20	24	0	day	-0.3	correction=-0.56
1787	11	21	24	0	day	2	correction=-0.56
1787	11	22	24	0	day	0.2	correction=-0.57
1787	11	23	24	0	day	3	correction=-0.58
1787	11	24	24	0	day	2	correction=-0.58
1787	11	25	24	0	day	1.2	correction=-0.59
1787	11	26	24	0	day	1	correction=-0.6
1787	11	27	24	0	day	-1.8	correction=-0.61
1787	11	28	24	0	day	-3	correction=-0.61
1787	11	29	24	0	day	-3.7	correction=-0.62
1787	11	30	24	0	day	-1.9	correction=-0.63
1787	12	1	24	0	day	-2.9	correction=-0.64
1787	12	2	24	0	day	-3.3	correction=-0.64
1787	12	3	24	0	day	4.2	correction=-0.65
1787	12	4	24	0	day	4.8	correction=-0.66
1787	12	5	24	0	day	4.7	correction=-0.67
1787	12	6	24	0	day	6.8	correction=-0.67
1787	12	7	24	0	day	5.2	correction=-0.68
1787	12	8	24	0	day	3.7	correction=-0.69
1787	12	9	24	0	day	7.1	correction=-0.7
1787	12	10	24	0	day	4.4	correction=-0.7
1787	12	11	24	0	day	2.7	correction=-0.71
1787	12	12	24	0	day	3.5	correction=-0.72
1787	12	13	24	0	day	4.4	correction=-0.73
1787	12	14	24	0	day	2	correction=-0.73
1787	12	15	24	0	day	7.9	correction=-0.74
1787	12	16	24	0	day	6.5	correction=-0.75
1787	12	17	24	0	day	6.5	correction=-0.75
1787	12	18	24	0	day	9.1	correction=-0.76
1787	12	19	24	0	day	7.1	correction=-0.77
1787	12	20	24	0	day	7.4	correction=-0.78
1787	12	21	24	0	day	3.4	correction=-0.78
1787	12	22	24	0	day	2	correction=-0.79
1787	12	23	24	0	day	5	correction=-0.8
1787	12	24	24	0	day	4.2	correction=-0.8
1787	12	25	24	0	day	4.8	correction=-0.81
1787	12	26	24	0	day	1.5	correction=-0.82
1787	12	27	24	0	day	2.9	correction=-0.82
1787	12	28	24	0	day	1.8	correction=-0.83
1787	12	29	24	0	day	1.2	correction=-0.84
1787	12	30	24	0	day	2.4	correction=-0.84
1787	12	31	24	0	day	2.9	correction=-0.85
1788	1	1	24	0	day	2.5	correction=-0.85
1788	1	2	24	0	day	3.6	correction=-0.86
1788	1	3	24	0	day	5.6	correction=-0.87
1788	1	4	24	0	day	3.5	correction=-0.87
1788	1	5	24	0	day	4.6	correction=-0.88
1788	1	6	24	0	day	5.9	correction=-0.88
1788	1	7	24	0	day	3.5	correction=-0.89
1788	1	8	24	0	day	2.9	correction=-0.89
1788	1	9	24	0	day	1.6	correction=-0.9
1788	1	10	24	0	day	2.2	correction=-0.9
1788	1	11	24	0	day	0.8	correction=-0.91
1788	1	12	24	0	day	0.2	correction=-0.91
1788	1	13	24	0	day	-0.6	correction=-0.91
1788	1	14	24	0	day	-0.9	correction=-0.92
1788	1	15	24	0	day	-2	correction=-0.92
1788	1	16	24	0	day	-1.8	correction=-0.93
1788	1	17	24	0	day	-3.7	correction=-0.93
1788	1	18	24	0	day	-3.7	correction=-0.93
1788	1	19	24	0	day	-1.9	correction=-0.94
1788	1	20	24	0	day	-1	correction=-0.94
1788	1	21	24	0	day	-5.2	correction=-0.94
1788	1	22	24	0	day	-5.8	correction=-0.94
1788	1	23	24	0	day	0.1	correction=-0.95
1788	1	24	24	0	day	0.7	correction=-0.95
1788	1	25	24	0	day	2.1	correction=-0.95
1788	1	26	24	0	day	-0.1	correction=-0.95
1788	1	27	24	0	day	-1.9	correction=-0.95
1788	1	28	24	0	day	0.5	correction=-0.95
1788	1	29	24	0	day	0.7	correction=-0.96
1788	1	30	24	0	day	-0.3	correction=-0.96
1788	1	31	24	0	day	-2	correction=-0.96
1788	2	1	24	0	day	-2.1	correction=-0.96
1788	2	2	24	0	day	2.7	correction=-0.96
1788	2	3	24	0	day	2.9	correction=-0.96
1788	2	4	24	0	day	2.3	correction=-0.96
1788	2	5	24	0	day	1	correction=-0.95
1788	2	6	24	0	day	2.9	correction=-0.95
1788	2	7	24	0	day	0	correction=-0.95
1788	2	8	24	0	day	0.6	correction=-0.95
1788	2	9	24	0	day	4	correction=-0.95
1788	2	10	24	0	day	4.9	correction=-0.95
1788	2	11	24	0	day	4.7	correction=-0.95
1788	2	12	24	0	day	4.5	correction=-0.94
1788	2	13	24	0	day	3.9	correction=-0.94
1788	2	14	24	0	day	3.4	correction=-0.94
1788	2	15	24	0	day	3.4	correction=-0.93
1788	2	16	24	0	day	3.6	correction=-0.93
1788	2	17	24	0	day	3	correction=-0.93
1788	2	18	24	0	day	1.5	correction=-0.92
1788	2	19	24	0	day	-0.7	correction=-0.92
1788	2	20	24	0	day	1.3	correction=-0.91
1788	2	21	24	0	day	1.2	correction=-0.91
1788	2	22	24	0	day	4.6	correction=-0.9
1788	2	23	24	0	day	3.5	correction=-0.9
1788	2	24	24	0	day	4.1	correction=-0.89
1788	2	25	24	0	day	4.6	correction=-0.89
1788	2	26	24	0	day	4.7	correction=-0.88
1788	2	27	24	0	day	5.5	correction=-0.88
1788	2	28	24	0	day	7.2	correction=-0.87
1788	2	29	24	0	day	6.3	correction=-0.86
1788	3	1	24	0	day	5.9	correction=-0.86
1788	3	2	24	0	day	3.8	correction=-0.85
1788	3	3	24	0	day	2.5	correction=-0.84
