SEF	1.0.0
ID	Genthod
Name	Genthod
Lat	46.2593
Lon	6.15332
Alt	410
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Maurice | Address=Maison Maurice
Year	Month	Day	Hour	Minute	Period	Value	Meta
1789	2	1	24	0	day	0.7	correction=-0.73
1789	2	2	24	0	day	1.7	correction=-0.73
1789	2	3	24	0	day	2.5	correction=-0.73
1789	2	4	24	0	day	7.2	correction=-0.74
1789	2	5	24	0	day	2.2	correction=-0.74
1789	2	6	24	0	day	-0.4	correction=-0.74
1789	2	7	24	0	day	0.1	correction=-0.75
1789	2	8	24	0	day	2.6	correction=-0.75
1789	2	9	24	0	day	1.6	correction=-0.75
1789	2	10	24	0	day	1.6	correction=-0.75
1789	2	11	24	0	day	1.3	correction=-0.75
1789	2	12	24	0	day	-1.6	correction=-0.75
1789	2	13	24	0	day	-1.5	correction=-0.75
1789	2	14	24	0	day	0.2	correction=-0.75
1789	2	15	24	0	day	2	correction=-0.75
1789	2	16	24	0	day	0.7	correction=-0.75
1789	2	17	24	0	day	1.7	correction=-0.75
1789	2	18	24	0	day	-0.2	correction=-0.75
1789	2	19	24	0	day	-0.2	correction=-0.74
1789	2	20	24	0	day	0.7	correction=-0.74
1789	2	21	24	0	day	1.3	correction=-0.74
1789	2	22	24	0	day	3.4	correction=-0.73
1789	2	23	24	0	day	3.9	correction=-0.73
1789	2	24	24	0	day	5.2	correction=-0.73
1789	2	25	24	0	day	2.7	correction=-0.72
1789	2	26	24	0	day	-0.3	correction=-0.72
1789	2	27	24	0	day	0.1	correction=-0.71
1789	2	28	24	0	day	1.6	correction=-0.7
1789	3	1	24	0	day	0.7	correction=-0.7
1789	3	2	24	0	day	-0.2	correction=-0.69
1789	3	3	24	0	day	-0.1	correction=-0.68
1789	3	4	24	0	day	-1.5	correction=-0.68
1789	3	5	24	0	day	-1.5	correction=-0.67
1789	3	6	24	0	day	-2.7	correction=-0.66
1789	3	7	24	0	day	-2	correction=-0.65
1789	3	9	24	0	day	-5.3	correction=-0.64
1789	3	10	24	0	day	-4.3	correction=-0.63
1789	3	11	24	0	day	-2.9	correction=-0.62
1789	3	12	24	0	day	-2	correction=-0.61
1789	3	13	24	0	day	-2.6	correction=-0.6
1789	3	14	24	0	day	5.2	correction=-0.59
1789	3	15	24	0	day	1	correction=-0.58
1789	3	16	24	0	day	2.5	correction=-0.57
1789	3	17	24	0	day	3.3	correction=-0.55
1789	3	18	24	0	day	1	correction=-0.54
1789	3	19	24	0	day	0.5	correction=-0.53
1789	3	20	24	0	day	1	correction=-0.52
1789	3	21	24	0	day	2	correction=-0.51
1789	3	22	24	0	day	3.4	correction=-0.5
1789	3	23	24	0	day	4.8	correction=-0.48
1789	3	24	24	0	day	4.1	correction=-0.47
1789	3	25	24	0	day	4.6	correction=-0.46
1789	3	26	24	0	day	3.7	correction=-0.44
1789	3	27	24	0	day	-0.3	correction=-0.43
1789	3	28	24	0	day	-1.3	correction=-0.42
1789	3	29	24	0	day	-1.2	correction=-0.4
1789	3	30	24	0	day	0.9	correction=-0.39
1789	3	31	24	0	day	-0.1	correction=-0.38
1789	4	1	24	0	day	2	correction=-0.36
1789	4	2	24	0	day	7.8	correction=-0.35
1789	4	3	24	0	day	10	correction=-0.33
1789	4	4	24	0	day	12.8	correction=-0.32
1789	4	5	24	0	day	13.7	correction=-0.31
1789	4	6	24	0	day	8.9	correction=-0.29
1789	4	7	24	0	day	8.8	correction=-0.28
1789	4	8	24	0	day	7.6	correction=-0.26
1789	4	9	24	0	day	9.8	correction=-0.25
1789	4	10	24	0	day	12.3	correction=-0.23
1789	4	11	24	0	day	8	correction=-0.22
1789	4	12	24	0	day	11.3	correction=-0.21
1789	4	13	24	0	day	10.6	correction=-0.19
1789	4	14	24	0	day	8.1	correction=-0.18
1789	4	15	24	0	day	10.4	correction=-0.16
1789	4	16	24	0	day	12	correction=-0.15
1789	4	17	24	0	day	12.2	correction=-0.14
1789	4	18	24	0	day	10.5	correction=-0.12
1789	4	19	24	0	day	11.9	correction=-0.11
1789	4	20	24	0	day	10.7	correction=-0.09
1789	4	21	24	0	day	12.3	correction=-0.08
1789	4	22	24	0	day	12	correction=-0.07
1789	4	23	24	0	day	13.3	correction=-0.05
1789	4	24	24	0	day	8	correction=-0.04
1789	4	25	24	0	day	5.7	correction=-0.03
1789	4	26	24	0	day	10.9	correction=-0.01
1789	4	27	24	0	day	12.4	correction=0
1789	4	28	24	0	day	10.8	correction=0.01
1789	4	29	24	0	day	8.4	correction=0.02
1789	4	30	24	0	day	8	correction=0.03
1789	6	1	24	0	day	14.1	correction=0.28
1789	6	2	24	0	day	7.4	correction=0.29
1789	6	3	24	0	day	9.2	correction=0.29
1789	6	4	24	0	day	8.6	correction=0.29
1789	6	5	24	0	day	7.7	correction=0.29
1789	6	6	24	0	day	12.1	correction=0.29
1789	6	7	24	0	day	10.3	correction=0.3
1789	6	8	24	0	day	9.5	correction=0.3
1789	6	9	24	0	day	11.2	correction=0.3
1789	6	10	24	0	day	11.2	correction=0.3
1789	6	11	24	0	day	13.3	correction=0.3
1789	6	12	24	0	day	15.3	correction=0.3
1789	6	13	24	0	day	13.7	correction=0.3
1789	6	14	24	0	day	14.6	correction=0.3
1789	6	15	24	0	day	15.5	correction=0.3
1789	6	16	24	0	day	16.4	correction=0.29
1789	6	17	24	0	day	17.9	correction=0.29
1789	6	18	24	0	day	18.7	correction=0.29
1789	6	19	24	0	day	21.7	correction=0.29
1789	6	20	24	0	day	22.1	correction=0.29
1789	6	21	24	0	day	16.5	correction=0.29
1789	6	22	24	0	day	16	correction=0.28
1789	6	23	24	0	day	16.9	correction=0.28
1789	6	24	24	0	day	18.3	correction=0.28
1789	6	25	24	0	day	13.8	correction=0.27
1789	6	26	24	0	day	15.8	correction=0.27
1789	6	27	24	0	day	16.3	correction=0.27
1789	6	28	24	0	day	13.8	correction=0.26
1789	6	29	24	0	day	10.7	correction=0.26
1789	6	30	24	0	day	10.2	correction=0.26
1789	7	1	24	0	day	13	correction=0.25
1789	7	2	24	0	day	14.7	correction=0.25
1789	7	3	24	0	day	16.4	correction=0.24
1789	7	4	24	0	day	17.2	correction=0.24
1789	7	5	24	0	day	19.6	correction=0.23
1789	7	6	24	0	day	13.3	correction=0.23
1789	7	7	24	0	day	16.5	correction=0.23
1789	7	8	24	0	day	18.5	correction=0.22
1789	7	9	24	0	day	21.6	correction=0.22
1789	7	10	24	0	day	22.6	correction=0.21
1789	7	11	24	0	day	22.6	correction=0.21
1789	7	12	24	0	day	20.2	correction=0.2
1789	7	13	24	0	day	15.9	correction=0.2
1789	7	14	24	0	day	16.4	correction=0.19
1789	7	15	24	0	day	16.6	correction=0.19
1789	7	16	24	0	day	18.8	correction=0.18
1789	7	17	24	0	day	18.6	correction=0.18
1789	7	18	24	0	day	17.1	correction=0.17
1789	7	19	24	0	day	15.8	correction=0.17
1789	7	20	24	0	day	17.6	correction=0.16
1789	7	21	24	0	day	16.7	correction=0.16
1789	7	22	24	0	day	18.2	correction=0.15
1789	7	23	24	0	day	15.3	correction=0.15
1789	7	24	24	0	day	16.7	correction=0.14
1789	7	25	24	0	day	18.1	correction=0.14
1789	7	26	24	0	day	20.2	correction=0.13
1789	7	27	24	0	day	15.4	correction=0.13
1789	7	28	24	0	day	12.9	correction=0.12
1789	7	29	24	0	day	13.8	correction=0.12
1789	7	30	24	0	day	15.7	correction=0.11
1789	7	31	24	0	day	17.7	correction=0.11
1789	8	1	24	0	day	17.7	correction=0.1
1789	8	2	24	0	day	15.6	correction=0.1
1789	8	3	24	0	day	16.6	correction=0.09
1789	8	4	24	0	day	18.1	correction=0.09
1789	8	5	24	0	day	20.2	correction=0.09
1789	8	6	24	0	day	22.5	correction=0.08
1789	8	7	24	0	day	21.6	correction=0.08
1789	8	8	24	0	day	22.1	correction=0.08
1789	8	9	24	0	day	21.6	correction=0.07
1789	8	10	24	0	day	21.1	correction=0.07
1789	8	11	24	0	day	21.7	correction=0.07
1789	8	12	24	0	day	18.6	correction=0.06
1789	8	13	24	0	day	19.7	correction=0.06
1789	8	14	24	0	day	18	correction=0.06
1789	8	15	24	0	day	16.6	correction=0.06
1789	8	16	24	0	day	15.6	correction=0.05
