SEF	1.0.0
ID	Genthod
Name	Genthod
Lat	46.2644
Lon	6.158
Alt	405
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Maurice | Address=Maison Bonnet
Year	Month	Day	Hour	Minute	Period	Value	Meta
1796	1	NA	NA	NA	month	2.2	
1796	2	NA	NA	NA	month	1.5	
1796	3	NA	NA	NA	month	1.6	
1796	4	NA	NA	NA	month	8.8	
1796	5	NA	NA	NA	month	12.9	
1796	6	NA	NA	NA	month	16.3	
1796	7	NA	NA	NA	month	17.6	
1796	8	NA	NA	NA	month	18.6	
1796	9	NA	NA	NA	month	15.9	
1796	10	NA	NA	NA	month	10.1	
1796	11	NA	NA	NA	month	4.7	
1796	12	NA	NA	NA	month	-0.5	
1797	1	NA	NA	NA	month	0.1	
1797	2	NA	NA	NA	month	0.4	
1797	3	NA	NA	NA	month	3.4	
1797	4	NA	NA	NA	month	9.8	
1797	5	NA	NA	NA	month	14.9	
1797	6	NA	NA	NA	month	14	
1797	7	NA	NA	NA	month	20.5	
1797	8	NA	NA	NA	month	19.4	
1797	9	NA	NA	NA	month	14.4	
1797	10	NA	NA	NA	month	9.5	
1797	11	NA	NA	NA	month	5.9	
1797	12	NA	NA	NA	month	3.3	
1798	1	NA	NA	NA	month	0.5	
1798	2	NA	NA	NA	month	0.9	
1798	3	NA	NA	NA	month	4	
1798	4	NA	NA	NA	month	10	
1798	5	NA	NA	NA	month	13.6	
1798	6	NA	NA	NA	month	17.3	
1798	7	NA	NA	NA	month	18.1	
1798	9	NA	NA	NA	month	15.2	
1798	10	NA	NA	NA	month	9.7	
1798	11	NA	NA	NA	month	5.2	
