SEF	1.0.0
ID	Genthod
Name	Genthod
Lat	46.2644
Lon	6.158
Alt	405
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Maurice | Address=Maison Bonnet
Year	Month	Day	Hour	Minute	Period	Value	Meta
1796	1	1	24	0	day	-1.3	correction=-0.14
1796	1	2	24	0	day	1.1	correction=-0.16
1796	1	3	24	0	day	3.7	correction=-0.17
1796	1	4	24	0	day	5.6	correction=-0.18
1796	1	5	24	0	day	4.8	correction=-0.2
1796	1	6	24	0	day	5.4	correction=-0.21
1796	1	7	24	0	day	-0.2	correction=-0.22
1796	1	8	24	0	day	-3.3	correction=-0.24
1796	1	9	24	0	day	-0.5	correction=-0.25
1796	1	10	24	0	day	-0.1	correction=-0.27
1796	1	11	24	0	day	4.2	correction=-0.28
1796	1	12	24	0	day	6.6	correction=-0.29
1796	1	13	24	0	day	1.3	correction=-0.31
1796	1	14	24	0	day	-1.3	correction=-0.32
1796	1	15	24	0	day	-1	correction=-0.34
1796	1	16	24	0	day	-0.2	correction=-0.35
1796	1	17	24	0	day	0.7	correction=-0.37
1796	1	18	24	0	day	-2	correction=-0.38
1796	1	19	24	0	day	-0.8	correction=-0.4
1796	1	20	24	0	day	0.7	correction=-0.41
1796	1	21	24	0	day	4.8	correction=-0.43
1796	1	22	24	0	day	2.6	correction=-0.44
1796	1	23	24	0	day	2.9	correction=-0.46
1796	1	24	24	0	day	8.4	correction=-0.47
1796	1	25	24	0	day	5.3	correction=-0.49
1796	1	26	24	0	day	3.5	correction=-0.5
1796	1	27	24	0	day	1	correction=-0.51
1796	1	28	24	0	day	2.7	correction=-0.53
1796	1	29	24	0	day	6.2	correction=-0.54
1796	1	30	24	0	day	4.5	correction=-0.56
1796	1	31	24	0	day	2.2	correction=-0.57
1796	2	1	24	0	day	2.9	correction=-0.58
1796	2	2	24	0	day	0.7	correction=-0.6
1796	2	3	24	0	day	1.6	correction=-0.61
1796	2	4	24	0	day	2.5	correction=-0.62
1796	2	5	24	0	day	-1.7	correction=-0.64
1796	2	6	24	0	day	0.9	correction=-0.65
1796	2	7	24	0	day	0.7	correction=-0.66
1796	2	8	24	0	day	5.2	correction=-0.68
1796	2	9	24	0	day	5.5	correction=-0.69
1796	2	10	24	0	day	3.2	correction=-0.7
1796	2	11	24	0	day	1.6	correction=-0.71
1796	2	12	24	0	day	2.3	correction=-0.72
1796	2	13	24	0	day	3.5	correction=-0.73
1796	2	14	24	0	day	0.2	correction=-0.74
1796	2	15	24	0	day	1.2	correction=-0.76
1796	2	16	24	0	day	1.2	correction=-0.77
1796	2	17	24	0	day	0.2	correction=-0.78
1796	2	18	24	0	day	2.6	correction=-0.78
1796	2	19	24	0	day	3.6	correction=-0.79
1796	2	20	24	0	day	5.4	correction=-0.8
1796	2	21	24	0	day	5.1	correction=-0.81
1796	2	22	24	0	day	4.7	correction=-0.82
1796	2	23	24	0	day	4.9	correction=-0.83
1796	2	24	24	0	day	2.5	correction=-0.83
1796	2	25	24	0	day	-1.2	correction=-0.84
1796	2	26	24	0	day	-2.3	correction=-0.85
1796	2	27	24	0	day	-1.8	correction=-0.85
1796	2	28	24	0	day	-5.9	correction=-0.86
1796	2	29	24	0	day	-6.8	correction=-0.86
1796	3	1	24	0	day	-4.7	correction=-0.87
1796	3	2	24	0	day	-4.9	correction=-0.87
1796	3	3	24	0	day	-4	correction=-0.88
1796	3	4	24	0	day	-3.6	correction=-0.88
1796	3	5	24	0	day	-7.6	correction=-0.88
1796	3	6	24	0	day	-7.5	correction=-0.89
1796	3	7	24	0	day	-4.7	correction=-0.89
1796	3	8	24	0	day	-3	correction=-0.89
1796	3	9	24	0	day	-0.5	correction=-0.89
1796	3	10	24	0	day	0.4	correction=-0.89
1796	3	11	24	0	day	2.6	correction=-0.89
1796	3	12	24	0	day	3.8	correction=-0.89
1796	3	13	24	0	day	6	correction=-0.89
1796	3	14	24	0	day	6.5	correction=-0.89
1796	3	15	24	0	day	5.5	correction=-0.89
1796	3	16	24	0	day	5.2	correction=-0.89
1796	3	17	24	0	day	5.2	correction=-0.89
1796	3	18	24	0	day	4.1	correction=-0.88
1796	3	19	24	0	day	3.8	correction=-0.88
1796	3	20	24	0	day	5.2	correction=-0.87
1796	3	21	24	0	day	5.6	correction=-0.87
1796	3	22	24	0	day	4.8	correction=-0.87
1796	3	23	24	0	day	4.6	correction=-0.86
1796	3	24	24	0	day	4.5	correction=-0.85
1796	3	25	24	0	day	6.4	correction=-0.85
1796	3	26	24	0	day	4.7	correction=-0.84
1796	3	27	24	0	day	4.3	correction=-0.84
1796	3	28	24	0	day	-1.2	correction=-0.83
1796	3	29	24	0	day	-0.4	correction=-0.82
1796	3	30	24	0	day	3.2	correction=-0.81
1796	3	31	24	0	day	6	correction=-0.8
1796	4	1	24	0	day	7.5	correction=-0.79
1796	4	2	24	0	day	8.7	correction=-0.78
1796	4	3	24	0	day	9.6	correction=-0.77
1796	4	4	24	0	day	8.9	correction=-0.76
1796	4	5	24	0	day	7	correction=-0.75
1796	4	6	24	0	day	6.8	correction=-0.74
1796	4	7	24	0	day	6.9	correction=-0.73
1796	4	8	24	0	day	5.8	correction=-0.72
1796	4	9	24	0	day	6.5	correction=-0.71
1796	4	10	24	0	day	8	correction=-0.69
