Date,Ta_mean,Std_err
1768-01,-1.5,0.25
1768-02,0.8,0.34
1768-03,1.3,0.37
1768-04,9.9,0.41
1768-05,14.6,0.38
1768-06,16.5,0.39
1768-07,18.5,0.4
1768-08,17.4,0.41
1768-09,13.6,0.38
1768-10,11.7,0.32
1768-11,6.6,0.28
1768-12,1.7,0.25
1769-01,0.6,0.25
1769-02,1.1,0.36
1769-03,3,0.37
1769-04,9.9,0.38
1769-05,14.4,0.38
1769-06,16.8,0.39
1769-07,18.3,0.4
1769-08,17.3,0.41
1769-09,14.2,0.38
1769-10,7.2,0.3
1769-11,7.6,0.28
1769-12,3.1,0.25
1770-01,-0.4,0.26
1770-02,-0.5,0.36
1770-03,2.1,0.35
1770-04,7.5,0.41
1770-05,14,0.38
1770-06,16.9,0.39
1770-07,16.5,0.4
1770-08,17.4,0.41
1770-09,15.6,0.38
1770-10,9.9,0.33
1770-11,6.3,0.29
1770-12,2.4,0.25
1771-01,0.6,0.26
1771-02,0,0.36
1771-03,4.2,0.35
1771-04,6.9,0.38
1771-05,15.5,0.38
1771-06,16.4,0.39
1771-07,19.6,0.4
1771-08,17.2,0.41
1771-09,14.8,0.4
1771-10,10.7,0.34
1771-11,3.5,0.28
1771-12,3.7,0.25
1772-01,0.6,0.26
1772-02,3.8,0.35
1772-03,5.9,0.35
1772-04,9.2,0.38
1772-05,12.7,0.37
1772-06,18.8,0.39
1772-07,18.7,0.4
1772-08,18.2,0.41
1772-09,15.8,0.39
1772-10,12,0.32
1772-11,7.1,0.28
1772-12,3.1,0.25
1773-01,1.5,0.26
1773-02,-1.1,0.36
1773-03,2.7,0.35
1773-04,8.5,0.38
1773-05,13.5,0.38
1773-06,17.4,0.39
1773-07,17.7,0.4
1773-08,17,0.41
1773-09,15,0.38
1773-10,10.2,0.32
1773-11,5.6,0.28
1773-12,3,0.25
1774-01,1.2,0.26
1774-02,1.9,0.36
1774-03,6.6,0.35
1774-04,10.5,0.38
1774-05,14.2,0.38
1774-06,17.8,0.39
1774-07,18.5,0.4
1774-08,19.4,0.41
1774-09,14,0.39
1774-10,9.1,0.32
1774-11,4.2,0.28
1774-12,-0.4,0.25
1775-01,0.9,0.26
1775-02,3,0.36
1775-03,5.1,0.35
1775-04,8,0.38
1775-05,13.3,0.38
1775-06,18.8,0.39
1775-07,18.6,0.4
1775-08,17.9,0.41
1775-09,15.1,0.38
1775-10,10,0.32
1775-11,5.8,0.28
1775-12,0.8,0.25
1776-01,-2.3,0.26
1776-02,2.8,0.35
1776-03,5.8,0.35
1776-04,9.7,0.38
1776-05,12.6,0.38
1776-06,17.5,0.39
1776-07,18.8,0.4
1776-08,18.3,0.41
1776-09,13.1,0.38
1776-10,10.6,0.32
1776-11,5.2,0.28
1776-12,1.4,0.25
1777-01,-1.1,0.26
1777-02,0.1,0.36
1777-03,6.5,0.35
1777-04,8.4,0.41
1777-05,13.1,0.38
1777-06,17.1,0.39
1777-07,17.5,0.4
1777-08,18.5,0.41
1777-09,14.4,0.4
1777-10,11.6,0.32
1777-11,5.7,0.28
1777-12,-0.4,0.25
1778-01,-0.4,0.26
1778-02,-0.3,0.36
1778-03,4.7,0.35
1778-04,10.4,0.38
1778-05,14.5,0.38
1778-06,16.6,0.39
1778-07,20.2,0.4
1778-08,18.7,0.41
1778-09,12.9,0.4
1778-10,10.6,0.32
1778-11,6.3,0.28
1778-12,3.6,0.25
1779-01,-4.2,0.26
1779-02,0.3,0.36
1779-03,3.8,0.36
1779-04,11.2,0.38
1779-05,15.6,0.38
1779-06,16.2,0.39
1779-07,18,0.4
1779-08,17.5,0.41
1779-09,15.3,0.4
1779-10,12.4,0.34
1779-11,6,0.28
1779-12,4.5,0.25
1780-01,-2,0.26
1780-02,-0.6,0.35
1780-03,6.1,0.35
1780-04,8.5,0.38
1780-05,15.6,0.38
1780-06,18.6,0.39
1780-07,19.6,0.39
1780-08,19.2,0.41
1780-09,15,0.39
1780-10,10.8,0.32
1780-11,4.3,0.28
1780-12,0.2,0.25
1781-01,0.6,0.26
1781-02,2,0.36
1781-03,4.3,0.35
1781-04,11.7,0.38
1781-05,16.4,0.38
1781-06,17.7,0.38
1781-07,19.2,0.34
1781-08,18.6,0.41
1781-09,15.2,0.38
1781-10,8.9,0.29
1781-11,6.7,0.28
1781-12,4.3,0.25
1782-01,1.4,0.11
1782-02,-4.3,0.14
1782-03,2.6,0.17
1782-04,7.4,0.21
1782-05,12.7,0.23
1782-06,19.3,0.25
1782-07,21.6,0.24
1782-08,18.3,0.22
1782-09,13.9,0.19
1782-10,7.4,0.14
1782-11,2.1,0.12
1782-12,-1,0.1
1783-01,2.4,0.11
1783-02,1.9,0.14
1783-03,2.9,0.17
1783-04,9.1,0.21
1783-05,14.4,0.23
1783-06,16.9,0.25
1783-07,21.4,0.24
1783-08,18.3,0.22
1783-09,15,0.19
1783-10,11.1,0.14
1783-11,5.9,0.11
1783-12,2,0.1
1784-01,-1.5,0.11
1784-02,-1.4,0.13
1784-03,3.5,0.17
1784-04,6,0.21
1784-05,16,0.23
1784-06,18.8,0.25
1784-07,19.9,0.36
1784-08,17.3,0.22
1784-09,16.7,0.21
1784-10,7.1,0.21
1784-11,4,0.11
1784-12,-3.2,0.1
1785-01,-0.1,0.11
1785-02,-3.1,0.14
1785-03,-3.3,0.17
1785-04,4,0.21
1785-05,14.6,0.23
1785-06,17.7,0.25
1785-07,18.6,0.24
1785-08,17,0.22
1785-09,16.9,0.19
1785-10,9.9,0.14
1785-11,4.5,0.11
1785-12,1.2,0.1
1786-01,0.1,0.11
1786-02,1,0.14
1786-03,1.4,0.17
1786-04,9.8,0.21
1786-05,13.2,0.23
1786-06,18.8,0.25
1786-07,17.6,0.24
1786-08,16.9,0.22
1786-09,14,0.19
1786-10,7.1,0.14
1786-11,3.4,0.11
1786-12,1.1,0.1
1787-01,-2.9,0.26
1787-02,-0.5,0.36
1787-03,5.7,0.35
1787-04,8.3,0.34
1787-05,12,0.38
1787-06,17.7,0.39
1787-07,17.8,0.37
1787-08,19.6,0.22
1787-09,14.7,0.19
1787-10,10.1,0.16
1787-11,4.9,0.15
1787-12,4,0.13
1788-01,0.3,0.14
1788-02,3.1,0.15
1788-03,6.4,0.17
1788-04,9,0.21
1788-05,14.5,0.23
1788-06,17,0.24
1788-07,19.8,0.24
1788-08,17.5,0.22
1788-09,15.4,0.19
1788-10,8.8,0.16
1788-11,1.6,0.15
1788-12,-5.2,0.13
1789-01,-1.8,0.14
1789-02,2.1,0.15
1789-03,0.7,0.17
1789-04,9.9,0.2
1789-05,14.7,0.23
1789-06,13.8,0.24
1789-07,17.2,0.24
1789-08,17.6,0.22
1789-09,13.9,0.19
1789-10,8.6,0.16
1789-11,2.3,0.15
1789-12,0.4,0.13
1790-01,-0.7,0.14
1790-02,1.8,0.15
1790-03,4.6,0.17
1790-04,7.5,0.2
1790-05,13.8,0.23
1790-06,17.6,0.24
1790-07,17.6,0.24
1790-08,19,0.22
1790-09,13.7,0.19
1790-10,11.4,0.16
1790-11,5.4,0.15
1790-12,1.4,0.13
1791-01,2,0.14
1791-02,0.4,0.15
1791-03,4.3,0.17
1791-04,11.5,0.2
1791-05,13.4,0.23
1791-06,17.1,0.24
1791-07,18.7,0.25
1791-08,19.3,0.34
1791-09,14.8,0.34
1791-10,9.9,0.29
1791-11,2.9,0.28
1791-12,2.1,0.25
1792-01,0.6,0.26
1792-02,0.5,0.35
1792-03,6.1,0.35
1792-04,10.6,0.34
1792-05,12.8,0.33
1792-06,16.9,0.35
1792-07,18.2,0.34
1792-08,17.7,0.34
1792-09,13.5,0.34
1792-10,10.7,0.29
1792-11,5.3,0.28
1792-12,1.2,0.25
1793-01,-1.3,0.26
1793-02,1.9,0.36
1793-03,5.7,0.35
1793-04,8.7,0.34
1793-05,12.9,0.33
1793-06,15.9,0.35
1793-07,20.5,0.34
1793-08,19.5,0.34
1793-09,13.4,0.34
1793-10,10.5,0.29
1793-11,5.1,0.28
1793-12,2,0.25
1794-01,-0.6,0.26
1794-02,3.2,0.36
1794-03,6.4,0.33
1794-04,12.5,0.34
1794-05,14.2,0.33
1794-06,17.3,0.35
1794-07,21.4,0.33
1794-08,NA,NA
1794-09,13.2,0.34
1794-10,9.4,0.29
1794-11,5.8,0.28
1794-12,-0.9,0.25
1795-01,-5.9,0.26
