Date,Ta_mean,Std_err
1756-01,NA,NA
1756-02,NA,NA
1756-03,NA,NA
1756-04,NA,NA
1756-05,NA,NA
1756-06,NA,NA
1756-07,NA,NA
1756-08,16.5,0.16
1756-09,14.1,0.14
1756-10,7.8,0.13
1756-11,2.3,0.12
1756-12,-2.3,0.12
1757-01,-2,0.12
1757-02,-0.4,0.13
1757-03,3.1,0.14
1757-04,9.2,0.16
1757-05,12.3,0.17
1757-06,16.8,0.18
1757-07,19.7,0.17
1757-08,16.4,0.16
1757-09,10.8,0.14
1757-10,4.1,0.12
1757-11,4.3,0.12
1757-12,-0.7,0.11
1758-01,-3.8,0.11
1758-02,1,0.13
1758-03,5.6,0.14
1758-04,7.1,0.16
1758-05,12.9,0.17
1758-06,16.5,0.18
1758-07,14.5,0.17
1758-08,16.1,0.16
1758-09,11.8,0.15
1758-10,6.4,0.12
1758-11,3.2,0.12
1758-12,1.9,0.11
1759-01,1.1,0.11
1759-02,3.5,0.13
1759-03,5.4,0.14
1759-04,9.8,0.16
1759-05,12.8,0.17
1759-06,17.2,0.25
1759-07,21.2,0.24
1759-08,16.7,0.22
1759-09,14.4,0.14
1759-10,9,0.11
1759-11,0.3,0.1
1759-12,-0.6,0.1
1760-01,-0.1,0.09
1760-02,1.6,0.11
1760-03,2.7,0.13
1760-04,12.8,0.23
1760-05,14.1,0.21
1760-06,17,0.22
1760-07,17,0.22
1760-08,16,0.19
1760-09,13.9,0.13
1760-10,8.9,0.11
1760-11,4.6,0.09
1760-12,3.2,0.09
1761-01,-2.5,0.08
1761-02,3.8,0.1
1761-03,6.5,0.12
1761-04,8.4,0.17
1761-05,13.8,0.2
1761-06,17.1,0.21
1761-07,18.4,0.2
1761-08,18.5,0.18
1761-09,14.7,0.12
1761-10,7.5,0.1
1761-11,3.2,0.08
1761-12,-3.1,0.07
1762-01,1.3,0.08
1762-02,1,0.1
1762-03,1.7,0.12
1762-04,11.5,0.17
1762-05,14.7,0.2
1762-06,15.6,0.2
1762-07,19.4,0.2
1762-08,16.7,0.18
1762-09,13.1,0.12
1762-10,7.2,0.1
1762-11,3,0.08
1762-12,-3.5,0.08
1763-01,-4.2,0.08
1763-02,4.4,0.1
1763-03,3.4,0.21
1763-04,9,0.24
1763-05,12.6,0.24
1763-06,17.4,0.18
1763-07,18.2,0.21
1763-08,19.1,0.19
1763-09,12.7,0.13
1763-10,7.7,0.1
1763-11,3.2,0.09
1763-12,2.7,0.08
1764-01,3.7,0.09
1764-02,3.6,0.1
1764-03,1.8,0.13
1764-04,7.4,0.18
1764-05,14.4,0.21
1764-06,17.1,0.22
1764-07,18.5,0.21
1764-08,15.5,0.18
1764-09,12,0.13
1764-10,7.1,0.11
1764-11,3.8,0.09
1764-12,1.6,0.08
1765-01,1.5,0.08
1765-02,-0.6,0.1
1765-03,6.6,0.21
1765-04,9.1,0.24
1765-05,13,0.24
1765-06,17.3,0.18
1765-07,17.1,0.17
1765-08,17,0.15
1765-09,13.5,0.12
1765-10,9.8,0.1
1765-11,3.1,0.09
1765-12,-1.5,0.08
1766-01,-8,0.08
1766-02,-2.4,0.1
1766-03,3.7,0.21
1766-04,9.8,0.24
1766-05,13.3,0.18
1766-06,16.6,0.19
1766-07,16.9,0.16
1766-08,17.8,0.14
1766-09,14.5,0.12
1766-10,10.1,0.11
1766-11,3.2,0.09
1766-12,-1.2,0.08
1767-01,-5.9,0.09
1767-02,5.1,0.1
1767-03,4.5,0.28
1767-04,7.3,0.3
1767-05,11,0.19
1767-06,15,0.18
1767-07,18.2,0.17
1767-08,17.1,0.14
1767-09,13.6,0.13
1767-10,8.8,0.1
1767-11,5.7,0.08
1767-12,-1.6,0.08
1768-01,-2.3,0.09
1768-02,0.6,0.1
1768-03,1.5,0.27
1768-04,8.5,0.3
1768-05,13.9,0.24
1768-06,14.7,0.24
1768-07,18.6,0.17
1768-08,17.8,0.15
1768-09,12.2,0.14
1768-10,6.3,0.15
1768-11,3.9,0.08
1768-12,-0.5,0.08
1769-01,1,0.09
1769-02,2.2,0.1
1769-03,4.1,0.12
1769-04,9.7,0.15
1769-05,13.4,0.17
1769-06,14.5,0.19
1769-07,17.3,0.17
1769-08,16.7,0.16
1769-09,13.9,0.12
1769-10,4,0.1
1769-11,4.8,0.08
1769-12,0.4,0.08
1770-01,-1.4,0.08
1770-02,-0.3,0.1
1770-03,2.3,0.12
1770-04,6,0.15
1770-05,12.8,0.17
1770-06,14.7,0.19
1770-07,15.2,0.17
1770-08,17,0.16
1770-09,14.8,0.14
1770-10,7.7,0.11
1770-11,4.8,0.1
1770-12,1.6,0.11
1771-01,0.1,0.1
1771-02,0.3,0.11
1771-03,3.2,0.14
1771-04,6.2,0.16
1771-05,16.1,0.16
1771-06,13.5,0.18
1771-07,17.9,0.17
1771-08,16.2,0.16
1771-09,13.4,0.13
1771-10,8.7,0.11
1771-11,0.9,0.1
1771-12,1.5,0.08
1772-01,-0.3,0.09
1772-02,3.8,0.11
1772-03,6.2,0.14
1772-04,7.9,0.15
1772-05,10.6,0.17
1772-06,17.5,0.18
1772-07,17.2,0.17
1772-08,17.2,0.16
1772-09,15.1,0.13
1772-10,9.9,0.12
1772-11,5.4,0.09
1772-12,1.6,0.11
1773-01,2.2,0.09
1773-02,-2.1,0.1
1773-03,4.3,0.15
1773-04,8.2,0.15
1773-05,12.5,0.18
1773-06,14.6,0.18
1773-07,15.4,0.18
1773-08,16.3,0.16
1773-09,14.1,0.15
1773-10,8.9,0.11
1773-11,3.7,0.1
1773-12,2.3,0.11
1774-01,0.4,0.1
1774-02,2,0.11
1774-03,7.3,0.14
1774-04,10.2,0.16
1774-05,13.7,0.17
