Date,Ta_mean,Recon
1756-01,2.7,*
1756-02,2.2,*
1756-03,4.5,*
1756-04,7.2,*
1756-05,10.9,*
1756-06,17.8,*
1756-07,17.7,*
1756-08,16.5,
1756-09,14.1,
1756-10,7.8,
1756-11,2.3,
1756-12,-2.3,
1757-01,-2,
1757-02,-0.4,
1757-03,3.1,
1757-04,9.2,
1757-05,12.3,
1757-06,16.8,
1757-07,19.7,
1757-08,16.4,
1757-09,10.8,
1757-10,4.1,
1757-11,4.3,
1757-12,-0.7,
1758-01,-3.8,
1758-02,1,
1758-03,5.6,
1758-04,7.1,
1758-05,12.9,
1758-06,16.5,
1758-07,14.5,
1758-08,16.1,
1758-09,11.8,
1758-10,6.4,
1758-11,3.2,
1758-12,1.9,
1759-01,1.1,
1759-02,3.5,
1759-03,5.4,
1759-04,9.8,
1759-05,12.8,
1759-06,17.2,
1759-07,21.2,
1759-08,16.7,
1759-09,14.4,
1759-10,9,
1759-11,0.3,
1759-12,-0.6,
1760-01,-0.1,
1760-02,1.6,
1760-03,2.7,
1760-04,12.8,
1760-05,14.1,
1760-06,17,
1760-07,17,
1760-08,16,
1760-09,13.9,
1760-10,8.9,
1760-11,4.6,
1760-12,3.2,
1761-01,-2.5,
1761-02,3.8,
1761-03,6.5,
1761-04,8.4,
1761-05,13.8,
1761-06,17.1,
1761-07,18.4,
1761-08,18.5,
1761-09,14.7,
1761-10,7.5,
1761-11,3.2,
1761-12,-3.1,
1762-01,1.3,
1762-02,1,
1762-03,1.7,
1762-04,11.5,
1762-05,14.7,
1762-06,15.6,
1762-07,19.4,
1762-08,16.7,
1762-09,13.1,
1762-10,7.2,
1762-11,3,
1762-12,-3.5,
1763-01,-4.2,
1763-02,4.4,
1763-03,3.4,
1763-04,9,
1763-05,12.6,
1763-06,17.4,
1763-07,18.2,
1763-08,19.1,
1763-09,12.7,
1763-10,7.7,
1763-11,3.2,
1763-12,2.7,
1764-01,3.7,
1764-02,3.6,
1764-03,1.8,
1764-04,7.4,
1764-05,14.4,
1764-06,17.1,
1764-07,18.5,
1764-08,15.5,
1764-09,12,
1764-10,7.1,
1764-11,3.8,
1764-12,1.6,
1765-01,1.5,
1765-02,-0.6,
1765-03,6.6,
1765-04,9.1,
1765-05,13,
1765-06,17.3,
1765-07,17.1,
1765-08,17,
1765-09,13.5,
1765-10,9.8,
1765-11,3.1,
1765-12,-1.5,
1766-01,-8,
1766-02,-2.4,
1766-03,3.7,
1766-04,9.8,
1766-05,13.3,
1766-06,16.6,
1766-07,16.9,
1766-08,17.8,
1766-09,14.5,
1766-10,10.1,
1766-11,3.2,
1766-12,-1.2,
1767-01,-5.9,
1767-02,5.1,
1767-03,4.5,
1767-04,7.3,
1767-05,11,
1767-06,15,
1767-07,18.2,
1767-08,17.1,
1767-09,13.6,
1767-10,8.8,
1767-11,5.7,
1767-12,-1.6,
1768-01,-2.3,
1768-02,0.6,
1768-03,1.5,
1768-04,8.5,
1768-05,13.9,
1768-06,14.7,
