SEF	1.0.0
ID	Zurich_Bruegger
Name	Zürich
Lat	47.371011
Lon	8.533664
Alt	420
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Brügger|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1860	7	1	24	0	day	14.1	
1860	7	2	24	0	day	16.5	
1860	7	3	24	0	day	19.1	
1860	7	4	24	0	day	16.2	
1860	7	5	24	0	day	18.7	
1860	7	6	24	0	day	20.7	
1860	7	7	24	0	day	17.9	
1860	7	8	24	0	day	19.1	
1860	7	9	24	0	day	18.7	
1860	7	10	24	0	day	17.9	
1860	7	11	24	0	day	17.3	
1860	7	12	24	0	day	19.5	
1860	7	13	24	0	day	16.3	
1860	7	14	24	0	day	17.2	
1860	7	15	24	0	day	20.5	
1860	7	16	24	0	day	23	
1860	7	17	24	0	day	22.9	
1860	7	18	24	0	day	19.9	
1860	7	19	24	0	day	22	
1860	7	20	24	0	day	16	
1860	7	21	24	0	day	15.9	
1860	7	22	24	0	day	18.5	
1860	7	23	24	0	day	15.4	
1860	7	24	24	0	day	16.7	
1860	7	25	24	0	day	16.1	
1860	7	26	24	0	day	16.7	
1860	7	27	24	0	day	14.7	
1860	7	28	24	0	day	18	
1860	7	29	24	0	day	14.3	
1860	7	30	24	0	day	13.6	
1860	7	31	24	0	day	13.6	
1860	8	1	24	0	day	13.9	
1860	8	2	24	0	day	14	
1860	8	3	24	0	day	14.9	
1860	8	4	24	0	day	15.5	
1860	8	5	24	0	day	17.8	
1860	8	6	24	0	day	16.8	
1860	8	7	24	0	day	12.7	
1860	8	8	24	0	day	14	
1860	8	9	24	0	day	12.1	
1860	8	10	24	0	day	15.3	
1860	8	11	24	0	day	16.8	
1860	8	12	24	0	day	16.4	
1860	8	13	24	0	day	16.3	
1860	8	14	24	0	day	15.4	
1860	8	15	24	0	day	16.7	
1860	8	16	24	0	day	16.2	
1860	8	17	24	0	day	17.5	
1860	8	18	24	0	day	15.7	
1860	8	19	24	0	day	15.9	
1860	8	20	24	0	day	16	
1860	8	21	24	0	day	17.2	
1860	8	22	24	0	day	15.4	
1860	8	23	24	0	day	16.5	
1860	8	24	24	0	day	15.8	
1860	9	1	24	0	day	21.7	
1860	9	2	24	0	day	20	
1860	9	3	24	0	day	20	
1860	9	4	24	0	day	19	
1860	9	5	24	0	day	18.1	
1860	9	6	24	0	day	17.2	
1860	9	7	24	0	day	16.3	
1860	9	8	24	0	day	16.3	
1860	9	9	24	0	day	16.3	
1860	9	10	24	0	day	16.2	
1860	9	11	24	0	day	15.3	
1860	9	12	24	0	day	15.3	
1860	9	13	24	0	day	16.2	
1860	9	16	24	0	day	20.5	
1860	9	17	24	0	day	18.7	
1860	9	18	24	0	day	16.9	
1860	9	19	24	0	day	16.8	
1860	9	20	24	0	day	15.9	
1862	2	5	24	0	day	8.2	
1862	2	6	24	0	day	7.5	
1862	2	7	24	0	day	0.4	
1862	2	8	24	0	day	-2.7	
1862	2	9	24	0	day	-4.9	
1862	2	10	24	0	day	-3.6	
1862	2	11	24	0	day	-0.9	
1862	2	12	24	0	day	1.3	
1862	2	13	24	0	day	2.3	
1862	2	14	24	0	day	4	
1862	2	15	24	0	day	4	
1862	2	16	24	0	day	4	
1862	2	17	24	0	day	2.8	
1862	2	19	24	0	day	7.6	
1862	2	20	24	0	day	5.9	
1862	2	21	24	0	day	8.6	
1862	2	22	24	0	day	6	
1862	2	23	24	0	day	6	
1862	2	24	24	0	day	7.6	
1862	2	25	24	0	day	3.3	
1862	2	26	24	0	day	4.2	
1862	2	27	24	0	day	2.5	
1862	2	28	24	0	day	6.1	
1862	3	1	24	0	day	4.2	
1862	3	2	24	0	day	4.2	
1862	3	3	24	0	day	7.4	
1862	3	4	24	0	day	1.6	
1862	3	5	24	0	day	1.7	
1862	3	6	24	0	day	1.3	
1862	3	8	24	0	day	14.2	
1862	3	10	24	0	day	12.4	
1862	3	11	24	0	day	13.8	
1862	3	12	24	0	day	13.4	
1862	3	15	24	0	day	13.5	
1862	3	16	24	0	day	10.8	
1862	3	17	24	0	day	11.7	
1862	3	18	24	0	day	9.5	
1862	3	19	24	0	day	10	
1862	3	20	24	0	day	11.7	
1862	3	21	24	0	day	5.1	
1862	3	22	24	0	day	11.8	
1862	3	23	24	0	day	13.6	
1862	3	24	24	0	day	14.5	
1862	3	25	24	0	day	14.5	
1862	3	26	24	0	day	14.6	
1862	3	27	24	0	day	12.8	
1862	3	28	24	0	day	11.9	
1862	3	29	24	0	day	8.4	
1862	3	30	24	0	day	7.6	
1862	3	31	24	0	day	7.6	
1862	4	1	24	0	day	7.6	
1862	4	2	24	0	day	12	
1862	4	3	24	0	day	14.8	
1862	4	4	24	0	day	14.4	
1862	4	5	24	0	day	11.3	
1862	4	6	24	0	day	14	
1862	4	7	24	0	day	16.7	
1862	4	8	24	0	day	16.3	
1862	4	9	24	0	day	18.5	
1862	4	10	24	0	day	16.7	
1862	4	13	24	0	day	7.1	
1862	4	14	24	0	day	2.2	
1862	4	15	24	0	day	7.1	
1862	4	16	24	0	day	5.3	
1862	4	17	24	0	day	8	
1862	4	18	24	0	day	16	
1862	5	8	24	0	day	16.6	
1862	5	10	24	0	day	15	
1863	2	12	24	0	day	6.7	
1863	2	13	24	0	day	8.3	
1863	2	14	24	0	day	6.7	
1863	2	17	24	0	day	5	
1863	2	18	24	0	day	6.8	
1863	2	19	24	0	day	6.8	
1863	2	20	24	0	day	8.6	
