SEF	1.0.0
ID	Zurich_Escher
Name	Zürich
Lat	47.37326
Lon	8.53952
Alt	430
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Escher
Year	Month	Day	Hour	Minute	Period	Value	Meta
1816	6	1	24	0	day	10.7	
1816	6	2	24	0	day	15	
1816	6	3	24	0	day	17.1	
1816	6	4	24	0	day	16.6	
1816	6	5	24	0	day	15.6	
1816	6	6	24	0	day	5.8	
1816	6	7	24	0	day	11.6	
1816	6	8	24	0	day	8.9	
1816	6	9	24	0	day	13.2	
1816	6	10	24	0	day	11.7	
1816	6	11	24	0	day	9.9	
1816	6	12	24	0	day	15.3	
1816	6	13	24	0	day	18.3	
1816	6	14	24	0	day	18.5	
1816	6	15	24	0	day	17.6	
1816	6	16	24	0	day	16.2	
1816	6	17	24	0	day	12.8	
1816	6	18	24	0	day	14.9	
1816	6	19	24	0	day	15.8	
1816	6	20	24	0	day	17.1	
1816	6	21	24	0	day	18.5	
1816	6	22	24	0	day	19.3	
1816	6	23	24	0	day	17.9	
1816	6	24	24	0	day	16.1	
1816	6	25	24	0	day	9.9	
1816	6	26	24	0	day	16.2	
1816	6	27	24	0	day	11.5	
1816	6	28	24	0	day	12.5	
1816	6	29	24	0	day	15.9	
1816	6	30	24	0	day	18.3	
1816	7	1	24	0	day	19.6	
1816	7	2	24	0	day	9.4	
1816	7	3	24	0	day	15.2	
1816	7	4	24	0	day	12.8	
1816	7	5	24	0	day	15	
1816	7	6	24	0	day	17.1	
1816	7	7	24	0	day	18.4	
1816	7	8	24	0	day	18.8	
1816	7	9	24	0	day	21.7	
1816	7	10	24	0	day	22.1	
1816	7	11	24	0	day	14.1	
1816	7	12	24	0	day	12.5	
1816	7	13	24	0	day	12.4	
1816	7	14	24	0	day	16.8	
1816	7	15	24	0	day	18.5	
1816	7	16	24	0	day	19.8	
1816	7	17	24	0	day	13.8	
1816	7	18	24	0	day	16.2	
1816	7	19	24	0	day	20.5	
1816	7	20	24	0	day	22.4	
1816	7	21	24	0	day	22.9	
1816	7	22	24	0	day	16.7	
1816	7	23	24	0	day	18.9	
1816	7	24	24	0	day	17.9	
1816	7	25	24	0	day	18.3	
1816	7	26	24	0	day	15	
1816	7	27	24	0	day	17.5	
1816	7	28	24	0	day	20.5	
1816	7	29	24	0	day	18	
1816	7	30	24	0	day	10.3	
1816	7	31	24	0	day	13.8	
1816	8	1	24	0	day	15.2	
1816	8	2	24	0	day	16.9	
1816	8	3	24	0	day	16.2	
1816	8	4	24	0	day	20.2	
1816	8	5	24	0	day	23.4	
1816	8	6	24	0	day	16.7	
1816	8	7	24	0	day	18.6	
1816	8	8	24	0	day	19.9	
1816	8	9	24	0	day	21.7	
1816	8	10	24	0	day	13.3	
1816	8	11	24	0	day	16.9	
1816	8	12	24	0	day	18.6	
1816	8	13	24	0	day	21.5	
1816	8	14	24	0	day	22.6	
1816	8	15	24	0	day	20.9	
1816	8	16	24	0	day	15.3	
1816	8	17	24	0	day	14.3	
1816	8	18	24	0	day	13.4	
1816	8	19	24	0	day	13.7	
1816	8	20	24	0	day	14.6	
1816	8	21	24	0	day	14.6	
1816	8	22	24	0	day	15.4	
1816	8	23	24	0	day	15.1	
1816	8	24	24	0	day	15.1	
1816	8	25	24	0	day	13.8	
1816	8	26	24	0	day	14	
1816	8	27	24	0	day	15.2	
1816	8	28	24	0	day	16.3	
1816	8	29	24	0	day	16.9	
1816	8	30	24	0	day	18.4	
1816	8	31	24	0	day	15	
1816	9	1	24	0	day	15	
1816	9	2	24	0	day	11.6	
1816	9	3	24	0	day	11.7	
1816	9	4	24	0	day	11.6	
1816	9	5	24	0	day	12.6	
1816	9	6	24	0	day	14.7	
1816	9	7	24	0	day	12.7	
1816	9	8	24	0	day	17	
1816	9	9	24	0	day	14.6	
1816	9	10	24	0	day	16.8	
1816	9	11	24	0	day	18.7	
1816	9	12	24	0	day	15.9	
1816	9	13	24	0	day	14.8	
1816	9	14	24	0	day	14.3	
1816	9	15	24	0	day	14	
1816	9	16	24	0	day	16	
1816	9	17	24	0	day	17.3	
1816	9	18	24	0	day	17	
1816	9	19	24	0	day	17.7	
1816	9	20	24	0	day	14.6	
1816	9	21	24	0	day	16.1	
1816	9	22	24	0	day	15.2	
1816	9	23	24	0	day	16.1	
1816	9	24	24	0	day	12.9	
1816	9	25	24	0	day	13.6	
1816	9	26	24	0	day	14.5	
1816	9	27	24	0	day	11.1	
1816	9	28	24	0	day	12.3	
1816	9	29	24	0	day	14	
1816	9	30	24	0	day	14.8	
1816	10	1	24	0	day	13.2	
1816	10	2	24	0	day	15.8	
1816	10	3	24	0	day	15.9	
